Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
89.0,89.72810617167823,80.55133525354293,98.90487708981354,2015-06-01 00:00:00-04:00
87.0,89.30479571619324,80.1281703737874,98.48142105859908,2015-06-01 01:00:00-04:00
87.0,89.83807110076248,80.66142883226809,99.01471336925687,2015-06-01 02:00:00-04:00
87.0,89.06794619650552,79.8913110910753,98.24458130193574,2015-06-01 03:00:00-04:00
86.0,88.86160417559552,79.68497077760387,98.03823757358717,2015-06-01 04:00:00-04:00
86.0,88.48505300127961,79.30833693116489,97.66176907139433,2015-06-01 05:00:00-04:00
88.0,88.65797710070005,79.48123275713448,97.83472144426563,2015-06-01 06:00:00-04:00
85.0,88.97985583737731,79.80294311911273,98.1567685556419,2015-06-01 07:00:00-04:00
87.0,89.49576349257958,80.31881439926278,98.67271258589639,2015-06-01 08:00:00-04:00
88.0,90.01256066291756,80.8356083782648,99.18951294757034,2015-06-01 09:00:00-04:00
86.0,90.50906165227828,81.33186856279269,99.68625474176386,2015-06-01 10:00:00-04:00
92.0,91.59969272758823,82.42195237158163,100.77743308359484,2015-06-01 11:00:00-04:00
86.0,92.07729418579925,82.89916930952437,101.25541906207413,2015-06-01 12:00:00-04:00
93.0,93.14001606300535,83.96055861804979,102.31947350796091,2015-06-01 13:00:00-04:00
89.0,92.3464292726728,83.16901743229496,101.52384111305062,2015-06-01 14:00:00-04:00
86.0,91.7802667431068,82.60230883779542,100.95822464841817,2015-06-01 15:00:00-04:00
93.0,92.72552450034323,83.54602987923585,101.90501912145061,2015-06-01 16:00:00-04:00
87.0,92.29498819496881,83.11412214347828,101.47585424645933,2015-06-01 17:00:00-04:00
91.0,90.20019649534456,81.02167336492766,99.37871962576145,2015-06-01 18:00:00-04:00
87.0,90.42528465804828,81.24828685774452,99.60228245835205,2015-06-01 19:00:00-04:00
85.0,89.77660434252786,80.59968663413979,98.95352205091594,2015-06-01 20:00:00-04:00
87.0,89.51891258368454,80.34211469039418,98.6957104769749,2015-06-01 21:00:00-04:00
86.0,89.71678925752099,80.5399830390997,98.89359547594228,2015-06-01 22:00:00-04:00
87.0,89.45270058111588,80.27604567943486,98.6293554827969,2015-06-01 23:00:00-04:00
85.0,89.41905757190547,80.219653247264,98.61846189654693,2015-06-02 00:00:00-04:00
