Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
29.0,26.25995228377962,13.457291049988584,39.062613517570654,2015-06-01 00:00:00-04:00
28.0,25.25347379851359,12.45090496469537,38.05604263233181,2015-06-01 01:00:00-04:00
28.0,24.664368071283477,11.861894134721602,37.46684200784535,2015-06-01 02:00:00-04:00
26.0,24.393535140899672,11.591304896749596,37.19576538504975,2015-06-01 03:00:00-04:00
30.0,27.706673685250017,14.90444507364954,40.50890229685049,2015-06-01 04:00:00-04:00
36.0,29.150918632753772,16.348473820671426,41.953363444836114,2015-06-01 05:00:00-04:00
36.0,30.833214456974744,18.030729134964343,43.63569977898514,2015-06-01 06:00:00-04:00
38.0,34.081149954861985,21.27841865296827,46.8838812567557,2015-06-01 07:00:00-04:00
43.0,36.66421135251697,23.861421144901392,49.46700156013255,2015-06-01 08:00:00-04:00
43.0,37.252770845029005,24.450094132066145,50.05544755799187,2015-06-01 09:00:00-04:00
44.0,37.08898117065877,24.286087634197862,49.891874707119676,2015-06-01 10:00:00-04:00
56.0,37.01953714615699,24.215876627676018,49.823197664637966,2015-06-01 11:00:00-04:00
47.0,37.31464657781163,24.51035205643064,50.11894109919262,2015-06-01 12:00:00-04:00
52.0,37.84439737546545,25.038226218554815,50.650568532376084,2015-06-01 13:00:00-04:00
46.0,37.92607926901384,25.122882517139786,50.729276020887895,2015-06-01 14:00:00-04:00
45.0,39.033716788655425,26.22975491096507,51.83767866634578,2015-06-01 15:00:00-04:00
45.0,41.07017334883055,28.264052872610613,53.87629382505049,2015-06-01 16:00:00-04:00
52.0,38.21099572978092,25.402855769322933,51.019135690238905,2015-06-01 17:00:00-04:00
56.0,35.726036717324064,22.92115232222884,48.53092111241929,2015-06-01 18:00:00-04:00
40.0,32.66107574930356,19.858339688799447,45.46381180980768,2015-06-01 19:00:00-04:00
38.0,32.95614593471528,20.15363529673506,45.7586565726955,2015-06-01 20:00:00-04:00
35.0,32.35614906840003,19.553806449928718,45.15849168687134,2015-06-01 21:00:00-04:00
31.0,31.18307341939682,18.380719491579285,43.985427347214355,2015-06-01 22:00:00-04:00
29.0,29.94475294251272,17.14261093816056,42.746894946864884,2015-06-01 23:00:00-04:00
27.0,27.899586892934778,15.064602771021006,40.73457101484855,2015-06-02 00:00:00-04:00
27.0,26.086622736390986,13.251675241895764,38.9215702308862,2015-06-02 01:00:00-04:00
27.0,25.479660976510736,12.644628496405138,38.31469345661633,2015-06-02 02:00:00-04:00
27.0,24.799514677428718,11.965154930885618,37.63387442397182,2015-06-02 03:00:00-04:00
31.0,28.355022786170785,15.520707091388084,41.18933848095349,2015-06-02 04:00:00-04:00
31.0,29.957543506057235,17.123264295957025,42.79182271615744,2015-06-02 05:00:00-04:00
34.0,29.64972478732703,16.81599406050961,42.48345551414445,2015-06-02 06:00:00-04:00
34.0,31.899976061693067,19.066215108638644,44.73373701474749,2015-06-02 07:00:00-04:00
38.0,35.10255482182684,22.268092027317465,47.93701761633622,2015-06-02 08:00:00-04:00
41.0,37.30904887515413,24.473968292782256,50.144129457526006,2015-06-02 09:00:00-04:00
52.0,37.33366314621104,24.49854803545457,50.16877825696751,2015-06-02 10:00:00-04:00
42.0,35.61331045256806,22.77741877743174,48.449202127704375,2015-06-02 11:00:00-04:00
47.0,35.54962355803623,22.71352405711826,48.3857230589542,2015-06-02 12:00:00-04:00
42.0,36.78634504938424,23.943576883299833,49.62911321546864,2015-06-02 13:00:00-04:00
44.0,36.56859651656757,23.729449664322466,49.40774336881267,2015-06-02 14:00:00-04:00
41.0,37.92050121883797,25.08230216415825,50.75870027351769,2015-06-02 15:00:00-04:00
42.0,37.67739044209429,24.842619249213527,50.51216163497506,2015-06-02 16:00:00-04:00
41.0,36.62389359484837,23.78898684231695,49.458800347379785,2015-06-02 17:00:00-04:00
39.0,34.93977399389358,22.104494638539272,47.77505334924789,2015-06-02 18:00:00-04:00
53.0,34.88026239210019,22.045629136856757,47.714895647343624,2015-06-02 19:00:00-04:00
44.0,33.87956571340219,21.04524452733054,46.713886899473835,2015-06-02 20:00:00-04:00
36.0,32.51508842730402,19.680896081500155,45.34928077310789,2015-06-02 21:00:00-04:00
29.0,30.50999879540292,17.67459492938049,43.345402661425354,2015-06-02 22:00:00-04:00
