Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
13.0,10.748332739018892,8.167679596526291,13.328985881511493,2015-06-01 00:00:00-04:00
13.0,10.782029571995825,8.201370922528358,13.36268822146329,2015-06-01 01:00:00-04:00
14.0,10.832643008223448,8.251979308524843,13.413306707922052,2015-06-01 02:00:00-04:00
13.0,10.80252521679518,8.221863782726878,13.383186650863482,2015-06-01 03:00:00-04:00
14.0,10.743201590817495,8.16254077023981,13.323862411395181,2015-06-01 04:00:00-04:00
13.0,10.738256762746026,8.15759593576874,13.318917589723313,2015-06-01 05:00:00-04:00
13.0,10.713379383281325,8.13271069012508,13.29404807643757,2015-06-01 06:00:00-04:00
13.0,10.752533043275559,8.17183983932589,13.333226247225227,2015-06-01 07:00:00-04:00
13.0,10.795061900983052,8.21435857353715,13.375765228428955,2015-06-01 08:00:00-04:00
12.0,11.854060611369182,9.273356418739361,14.434764803999002,2015-06-01 09:00:00-04:00
13.0,12.638945465244909,10.058173126459497,15.21971780403032,2015-06-01 10:00:00-04:00
15.0,12.88715756152991,10.30622979551635,15.468085327543472,2015-06-01 11:00:00-04:00
15.0,12.70161022212264,10.120574216454273,15.282646227791009,2015-06-01 12:00:00-04:00
15.0,12.610163865778357,10.02874726724416,15.191580464312555,2015-06-01 13:00:00-04:00
15.0,12.669242673318891,10.088407522597103,15.250077824040678,2015-06-01 14:00:00-04:00
15.0,12.489989672999112,9.908999215220481,15.070980130777743,2015-06-01 15:00:00-04:00
14.0,12.143883294266931,9.562438886710247,14.725327701823616,2015-06-01 16:00:00-04:00
14.0,11.892373597218771,9.310516100746124,14.474231093691419,2015-06-01 17:00:00-04:00
14.0,11.689785159885734,9.108588391363275,14.270981928408192,2015-06-01 18:00:00-04:00
13.0,11.429344194672383,8.848580086354666,14.010108302990101,2015-06-01 19:00:00-04:00
13.0,11.355074640183174,8.774355284667106,13.935793995699242,2015-06-01 20:00:00-04:00
14.0,11.308479694091114,8.727793961015385,13.889165427166843,2015-06-01 21:00:00-04:00
12.0,11.190987350795275,8.61029838281974,13.77167631877081,2015-06-01 22:00:00-04:00
13.0,11.021384848459727,8.440739006448291,13.602030690471162,2015-06-01 23:00:00-04:00
13.0,11.299570933645686,8.71232427435856,13.886817592932813,2015-06-02 00:00:00-04:00
13.0,11.207757938403294,8.620639512081032,13.794876364725555,2015-06-02 01:00:00-04:00
13.0,11.433663033792932,8.846526325562987,14.020799742022877,2015-06-02 02:00:00-04:00
12.0,11.25243624149511,8.66532260886225,13.83954987412797,2015-06-02 03:00:00-04:00
13.0,11.28771882237368,8.700724805762205,13.874712838985156,2015-06-02 04:00:00-04:00
12.0,11.263941884722287,8.676953935781501,13.850929833663074,2015-06-02 05:00:00-04:00
13.0,11.215112542917964,8.628124924248555,13.802100161587374,2015-06-02 06:00:00-04:00
13.0,11.21521724715502,8.628114637968423,13.802319856341619,2015-06-02 07:00:00-04:00
12.0,11.183663255862399,8.596416784054522,13.770909727670276,2015-06-02 08:00:00-04:00
14.0,11.623638769294402,9.03637904730681,14.210898491281995,2015-06-02 09:00:00-04:00
15.0,11.751740767700134,9.164473957514796,14.339007577885473,2015-06-02 10:00:00-04:00
14.0,12.011038520582602,9.423497955995833,14.598579085169371,2015-06-02 11:00:00-04:00
14.0,12.20629207629231,9.618591881301612,14.79399227128301,2015-06-02 12:00:00-04:00
15.0,12.15068046502072,9.561733322907163,14.739627607134278,2015-06-02 13:00:00-04:00
14.0,12.108295766884925,9.520098251585859,14.696493282183992,2015-06-02 14:00:00-04:00
14.0,11.998187650930088,9.410293645771667,14.58608165608851,2015-06-02 15:00:00-04:00
13.0,11.807949442723787,9.220638875234144,14.39526001021343,2015-06-02 16:00:00-04:00
12.0,11.4823626153976,8.895025357237232,14.069699873557967,2015-06-02 17:00:00-04:00
