Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
55.0,52.79516339267002,30.125253809007138,75.4650729763329,2015-06-01 00:00:00-04:00
59.0,55.9733744093069,33.30404014834081,78.64270867027298,2015-06-01 01:00:00-04:00
62.0,61.74061450666824,39.07124063448161,84.40998837885486,2015-06-01 02:00:00-04:00
62.0,59.771178317385136,37.10181966816502,82.44053696660525,2015-06-01 03:00:00-04:00
62.0,59.41481459296298,36.745461420205515,82.08416776572045,2015-06-01 04:00:00-04:00
64.0,61.06718581794553,38.397412454622454,83.7369591812686,2015-06-01 05:00:00-04:00
64.0,63.27141578714807,40.60158110396344,85.9412504703327,2015-06-01 06:00:00-04:00
65.0,64.36753522891311,41.69748772189038,87.03758273593584,2015-06-01 07:00:00-04:00
67.0,68.71952764075974,46.049374241796286,91.38968103972319,2015-06-01 08:00:00-04:00
76.0,72.4353364644411,49.76518569583922,95.10548723304296,2015-06-01 09:00:00-04:00
73.0,74.56640058514347,51.895656547254994,97.23714462303195,2015-06-01 10:00:00-04:00
74.0,75.79946148919251,53.12734453585106,98.47157844253397,2015-06-01 11:00:00-04:00
70.0,74.1818938891586,51.50859076295086,96.85519701536634,2015-06-01 12:00:00-04:00
70.0,72.1581978953457,49.48164203714532,94.83475375354607,2015-06-01 13:00:00-04:00
72.0,72.10714173123654,49.43565083666627,94.77863262580681,2015-06-01 14:00:00-04:00
72.0,73.62108295576078,50.94822882840157,96.29393708312,2015-06-01 15:00:00-04:00
69.0,72.0565413599411,49.379817302524195,94.73326541735798,2015-06-01 16:00:00-04:00
65.0,61.83657653970701,39.15631417037224,84.51683890904178,2015-06-01 17:00:00-04:00
65.0,59.69214856439751,37.01782683497649,82.36647029381854,2015-06-01 18:00:00-04:00
63.0,59.34121750297845,36.6707441680164,82.0116908379405,2015-06-01 19:00:00-04:00
63.0,60.153305632928465,37.483242124623075,82.82336914123385,2015-06-01 20:00:00-04:00
64.0,60.31326681396274,37.643511570788604,82.98302205713688,2015-06-01 21:00:00-04:00
57.0,54.21738695741789,31.54760798264095,76.88716593219482,2015-06-01 22:00:00-04:00
55.0,52.724442278280435,30.05503419885085,75.39385035771002,2015-06-01 23:00:00-04:00
55.0,53.56958287960282,30.843400781874553,76.29576497733109,2015-06-02 00:00:00-04:00
55.0,54.086147248171415,31.3600457410551,76.81224875528773,2015-06-02 01:00:00-04:00
55.0,54.46692675750765,31.740656890846,77.1931966241693,2015-06-02 02:00:00-04:00
67.0,62.16554224991128,39.439490734305096,84.89159376551747,2015-06-02 03:00:00-04:00
65.0,63.011391295607126,40.28541005113968,85.73737254007457,2015-06-02 04:00:00-04:00
66.0,63.61616544953796,40.89024381575751,86.3420870833184,2015-06-02 05:00:00-04:00
67.0,64.82546184239763,42.098560500000865,87.55236318479439,2015-06-02 06:00:00-04:00
68.0,66.03486588280683,43.306908360590725,88.76282340502293,2015-06-02 07:00:00-04:00
71.0,68.37916371059927,45.6509371248841,91.10739029631443,2015-06-02 08:00:00-04:00
70.0,71.15774072501557,48.42943304391491,93.88604840611623,2015-06-02 09:00:00-04:00
88.0,82.20661880508715,59.47819096346687,104.93504664670742,2015-06-02 10:00:00-04:00
86.0,82.38096207610428,59.65113727000838,105.11078688220019,2015-06-02 11:00:00-04:00
84.0,80.73557391657616,58.00537789279259,103.46576994035973,2015-06-02 12:00:00-04:00
