Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
33.0,31.631757046522807,12.684766052962011,50.5787480400836,2015-06-01 00:00:00-04:00
32.0,31.86704403302666,12.920561679318812,50.81352638673451,2015-06-01 01:00:00-04:00
31.0,33.77925826612879,14.83273910436862,52.725777427888964,2015-06-01 02:00:00-04:00
31.0,35.445368910914084,16.498865831610594,54.391871990217574,2015-06-01 03:00:00-04:00
59.0,57.47946706814644,38.532965903473986,76.42596823281889,2015-06-01 04:00:00-04:00
64.0,62.35022366410713,43.40355150043836,81.2968958277759,2015-06-01 05:00:00-04:00
67.0,62.79253930069927,43.845809398512074,81.73926920288646,2015-06-01 06:00:00-04:00
66.0,65.36796720717331,46.420714382190845,84.31522003215576,2015-06-01 07:00:00-04:00
69.0,72.24746383062686,53.30014089881786,91.19478676243585,2015-06-01 08:00:00-04:00
72.0,78.96125367149907,60.014091185122076,97.90841615787605,2015-06-01 09:00:00-04:00
81.0,82.18960016277597,63.241929397988216,101.13727092756373,2015-06-01 10:00:00-04:00
77.0,82.4989519349552,63.55012844385793,101.44777542605247,2015-06-01 11:00:00-04:00
77.0,81.4326686645912,62.4830450080819,100.38229232110051,2015-06-01 12:00:00-04:00
77.0,81.15797567532906,62.205780295210985,100.11017105544713,2015-06-01 13:00:00-04:00
78.0,79.58458089474463,60.636637749223475,98.5325240402658,2015-06-01 14:00:00-04:00
77.0,79.22440870737424,60.27518370060861,98.17363371413987,2015-06-01 15:00:00-04:00
76.0,77.05971942433715,58.10696829530383,96.01247055337046,2015-06-01 16:00:00-04:00
74.0,73.25675726212668,54.300952450276746,92.21256207397661,2015-06-01 17:00:00-04:00
68.0,69.29731780032219,50.346581498577386,88.24805410206699,2015-06-01 18:00:00-04:00
62.0,67.01942368010131,48.07201450662187,85.96683285358075,2015-06-01 19:00:00-04:00
60.0,65.38229064920206,46.43537214375292,84.32920915465121,2015-06-01 20:00:00-04:00
60.0,62.507188099641084,43.56051822339012,81.45385797589205,2015-06-01 21:00:00-04:00
32.0,31.93815959018781,12.991471984599276,50.884847195776345,2015-06-01 22:00:00-04:00
31.0,29.490646096110837,10.54410858348043,48.43718360874124,2015-06-01 23:00:00-04:00
32.0,36.04665113242045,17.05251513603959,55.04078712880131,2015-06-02 00:00:00-04:00
31.0,36.20556804819039,17.21228716932099,55.1988489270598,2015-06-02 01:00:00-04:00
33.0,37.21903558040524,18.22561261040783,56.21245855040265,2015-06-02 02:00:00-04:00
31.0,41.213305957873025,22.22006326182221,60.20654865392384,2015-06-02 03:00:00-04:00
59.0,61.34428912666006,42.35112191782349,80.33745633549663,2015-06-02 04:00:00-04:00
64.0,66.64352140497627,47.6503988011521,85.63664400880043,2015-06-02 05:00:00-04:00
64.0,67.52431320396406,48.53119396103993,86.51743244688818,2015-06-02 06:00:00-04:00
65.0,69.1325104875235,50.13934602074164,88.12567495430537,2015-06-02 07:00:00-04:00
69.0,72.11558893767938,53.12138585807582,91.10979201728293,2015-06-02 08:00:00-04:00
74.0,74.42139374992111,55.425445574267556,93.41734192557466,2015-06-02 09:00:00-04:00
77.0,76.27355039385523,57.276656590962205,95.27044419674826,2015-06-02 10:00:00-04:00
79.0,76.36874596651396,57.371544331658875,95.36594760136904,2015-06-02 11:00:00-04:00
77.0,76.5046150363419,57.5079855421849,95.50124453049891,2015-06-02 12:00:00-04:00
79.0,77.16770590241136,58.16114935634734,96.17426244847537,2015-06-02 13:00:00-04:00
74.0,75.78572124772367,56.78373702352586,94.78770547192148,2015-06-02 14:00:00-04:00
75.0,75.01080013127493,56.01035654802692,94.01124371452295,2015-06-02 15:00:00-04:00
78.0,73.96906999403048,54.97440836698377,92.96373162107719,2015-06-02 16:00:00-04:00
73.0,71.05150731514271,52.05664349058186,90.04637113970357,2015-06-02 17:00:00-04:00
70.0,65.35939771703238,46.36316817544016,84.3556272586246,2015-06-02 18:00:00-04:00
67.0,63.84505882712341,44.849798717174494,82.84031893707233,2015-06-02 19:00:00-04:00
65.0,62.62644636661761,43.63245543798725,81.62043729524797,2015-06-02 20:00:00-04:00
65.0,61.428446902315734,42.43464765093796,80.42224615369351,2015-06-02 21:00:00-04:00
39.0,35.76134211253343,16.765756843096085,54.75692738197077,2015-06-02 22:00:00-04:00
37.0,34.95063090237892,15.956501176218271,53.94476062853957,2015-06-02 23:00:00-04:00
35.0,34.86267469884365,15.868095668366177,53.857253729321116,2015-06-03 00:00:00-04:00
36.0,34.54738587112237,15.55381702887082,53.54095471337392,2015-06-03 01:00:00-04:00
36.0,34.84645557070617,15.852222925937308,53.840688215475026,2015-06-03 02:00:00-04:00
35.0,38.296134523415745,19.301779055734638,57.29048999109685,2015-06-03 03:00:00-04:00
63.0,61.504507770222375,42.510612180521576,80.49840335992317,2015-06-03 04:00:00-04:00
68.0,66.6478474148454,47.65253734704268,85.64315748264812,2015-06-03 05:00:00-04:00
67.0,67.18163989040393,48.184318594455334,86.17896118635252,2015-06-03 06:00:00-04:00
64.0,68.49290527603348,49.49654437726386,87.4892661748031,2015-06-03 07:00:00-04:00
68.0,72.24813992873038,53.25031564568667,91.2459642117741,2015-06-03 08:00:00-04:00
73.0,74.96823685068892,55.96984142004,93.96663228133785,2015-06-03 09:00:00-04:00
