Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
287.0,297.37167733184083,140.98415443293845,453.7592002307432,2015-06-01 00:00:00-04:00
275.0,294.78268176138135,138.39763697933665,451.16772654342606,2015-06-01 01:00:00-04:00
276.0,296.53253032203327,140.14576305927295,452.9192975847936,2015-06-01 02:00:00-04:00
277.0,294.6238416408987,138.23860679360894,451.0090764881885,2015-06-01 03:00:00-04:00
276.0,294.83957028248676,138.45578868790932,451.2233518770642,2015-06-01 04:00:00-04:00
278.0,296.31391830253244,139.9287176613053,452.6991189437596,2015-06-01 05:00:00-04:00
278.0,297.53822013921024,141.15111630879497,453.92532396962554,2015-06-01 06:00:00-04:00
285.0,303.8033088999356,147.41329796765243,460.1933198322188,2015-06-01 07:00:00-04:00
301.0,314.02842639359653,157.63925760700656,470.4175951801865,2015-06-01 08:00:00-04:00
319.0,323.41657112911287,167.02736529184546,479.8057769663803,2015-06-01 09:00:00-04:00
337.0,331.37155295305104,174.97822716953397,487.7648787365681,2015-06-01 10:00:00-04:00
344.0,334.5225333487542,178.11983549234986,490.9252312051586,2015-06-01 11:00:00-04:00
343.0,337.40079334141797,180.99150847310108,493.81007820973485,2015-06-01 12:00:00-04:00
336.0,347.5119370653489,191.07963047671373,503.944243653984,2015-06-01 13:00:00-04:00
342.0,349.1726443030093,192.77553579431827,505.5697528117003,2015-06-01 14:00:00-04:00
338.0,334.0530916404706,177.64657489804713,490.4596083828941,2015-06-01 15:00:00-04:00
329.0,336.1416923589768,179.70893808954034,492.5744466284133,2015-06-01 16:00:00-04:00
314.0,327.49554468456665,171.0377806926382,483.9533086764951,2015-06-01 17:00:00-04:00
315.0,311.3955585318581,154.97787896312323,467.813238100593,2015-06-01 18:00:00-04:00
311.0,307.0322965706192,150.64090153549662,463.42369160574185,2015-06-01 19:00:00-04:00
305.0,306.38503662864537,149.99640392812466,462.77366932916607,2015-06-01 20:00:00-04:00
297.0,305.35437692574385,148.96778562603959,461.7409682254481,2015-06-01 21:00:00-04:00
301.0,300.0841903516048,143.69745732429888,456.4709233789107,2015-06-01 22:00:00-04:00
294.0,300.6808071760064,144.29519772465014,457.0664166273626,2015-06-01 23:00:00-04:00
298.0,307.414221307773,150.6355706218901,464.1928719936559,2015-06-02 00:00:00-04:00
285.0,303.12001140643906,146.341903154789,459.8981196580891,2015-06-02 01:00:00-04:00
284.0,303.5869195344817,146.8143982926263,460.3594407763371,2015-06-02 02:00:00-04:00
287.0,301.01778077276765,144.2467356663363,457.788825879199,2015-06-02 03:00:00-04:00
289.0,300.5207220484931,143.75029054168098,457.2911535553052,2015-06-02 04:00:00-04:00
286.0,301.78956546887036,145.0195031893147,458.559627748426,2015-06-02 05:00:00-04:00
285.0,303.115741416716,146.34569668632372,459.88578614710826,2015-06-02 06:00:00-04:00
295.0,306.49426277672296,149.71010569989775,463.27841985354814,2015-06-02 07:00:00-04:00
312.0,314.95429832452817,158.15387988161106,471.7547167674453,2015-06-02 08:00:00-04:00
332.0,325.1048877401572,168.31104038039354,481.8987350999209,2015-06-02 09:00:00-04:00
341.0,337.73710596991043,180.95008153724362,494.52413040257727,2015-06-02 10:00:00-04:00
365.0,338.7374501386555,181.94093698640614,495.53396329090486,2015-06-02 11:00:00-04:00
358.0,336.93106193363485,180.12487976114707,493.7372441061226,2015-06-02 12:00:00-04:00
360.0,334.0951801215607,177.20712242347324,490.98323781964814,2015-06-02 13:00:00-04:00
359.0,326.86097063458453,170.0247490675126,483.69719220165643,2015-06-02 14:00:00-04:00
350.0,325.8797745475458,169.04813343468115,482.71141566041047,2015-06-02 15:00:00-04:00
333.0,327.11447731565397,170.32474262907195,483.904212002236,2015-06-02 16:00:00-04:00
335.0,317.9847444928845,161.2002980532889,474.7691909324801,2015-06-02 17:00:00-04:00
316.0,316.7058963083906,159.91692574913864,473.4948668676426,2015-06-02 18:00:00-04:00
318.0,306.99968060182334,150.21857756089474,463.78078364275194,2015-06-02 19:00:00-04:00
318.0,311.44380008319683,154.66653075229075,468.2210694141029,2015-06-02 20:00:00-04:00
310.0,306.8300571992538,150.0543645038186,463.60574989468904,2015-06-02 21:00:00-04:00
305.0,305.99761691651656,149.20712490424143,462.7881089287917,2015-06-02 22:00:00-04:00
314.0,302.47623422260665,145.69778856167719,459.25467988353614,2015-06-02 23:00:00-04:00
308.0,300.7174373869922,143.93531626158241,457.4995585124019,2015-06-03 00:00:00-04:00
296.0,298.9584311526968,142.18464492639987,455.7322173789937,2015-06-03 01:00:00-04:00
299.0,305.362769299971,148.58344992750102,462.14208867244093,2015-06-03 02:00:00-04:00
298.0,300.7949264105283,144.02147787467794,457.5683749463787,2015-06-03 03:00:00-04:00
293.0,299.3249050410012,142.5484384292677,456.10137165273477,2015-06-03 04:00:00-04:00
302.0,300.52280297267373,143.74133127622903,457.3042746691184,2015-06-03 05:00:00-04:00
302.0,301.88910225270047,145.10550009273783,458.6727044126631,2015-06-03 06:00:00-04:00
309.0,307.5831253930744,150.79279243347779,464.37345835267104,2015-06-03 07:00:00-04:00
316.0,318.649295946669,161.84029089067323,475.4583010026647,2015-06-03 08:00:00-04:00
325.0,329.5845768205138,172.770823217812,486.3983304232156,2015-06-03 09:00:00-04:00
342.0,339.12015000571716,182.29714862459892,495.94315138683544,2015-06-03 10:00:00-04:00
354.0,344.5664739068436,187.7330884002188,501.39985941346845,2015-06-03 11:00:00-04:00
344.0,347.1218500724011,190.29407067632573,503.9496294684765,2015-06-03 12:00:00-04:00
351.0,346.4497019330853,189.63094109684891,503.2684627693217,2015-06-03 13:00:00-04:00
351.0,345.15209350227394,188.3388658747345,501.9653211298134,2015-06-03 14:00:00-04:00
348.0,338.0742953946873,181.25951819770538,494.8890725916692,2015-06-03 15:00:00-04:00
336.0,331.2073029134783,174.39231150070006,488.02229432625654,2015-06-03 16:00:00-04:00
318.0,321.0469804706779,164.24717319226266,477.84678774909315,2015-06-03 17:00:00-04:00
307.0,314.4184568201093,157.61306172077892,471.22385191943977,2015-06-03 18:00:00-04:00
304.0,310.23987534089224,153.41636079961688,467.0633898821676,2015-06-03 19:00:00-04:00
293.0,308.29417289575974,151.49456242284185,465.09378336867763,2015-06-03 20:00:00-04:00
297.0,308.80041130195764,152.02048224384868,465.5803403600666,2015-06-03 21:00:00-04:00
291.0,308.2517523744359,151.47196814067127,465.03153660820055,2015-06-03 22:00:00-04:00
295.0,305.46488647548165,148.685070697865,462.2447022530983,2015-06-03 23:00:00-04:00
291.0,303.6113015206845,146.84823832131008,460.3743647200589,2015-06-04 00:00:00-04:00
279.0,303.9262965777949,147.16864792334727,460.68394523224254,2015-06-04 01:00:00-04:00
286.0,305.35771292442644,148.6140216563088,462.10140419254407,2015-06-04 02:00:00-04:00
280.0,301.5140763493795,144.772226458897,458.255926239862,2015-06-04 03:00:00-04:00
280.0,303.1018820815766,146.35718874390324,459.84657541925,2015-06-04 04:00:00-04:00
283.0,302.0973305702763,145.35698505724537,458.83767608330726,2015-06-04 05:00:00-04:00
285.0,303.2251740103452,146.4798136289913,459.97053439169906,2015-06-04 06:00:00-04:00
297.0,273.1715208977671,116.42598348345038,429.9170583120838,2015-06-04 07:00:00-04:00
270.0,312.2174456309127,155.45500134285976,468.9798899189657,2015-06-04 08:00:00-04:00
316.0,323.7935663081756,167.02196176080017,480.56517085555106,2015-06-04 09:00:00-04:00
328.0,331.5855540443871,174.80895407100283,488.36215401777133,2015-06-04 10:00:00-04:00
330.0,338.0938815145039,181.3023263753847,494.88543665362306,2015-06-04 11:00:00-04:00
333.0,340.0744812445622,183.27254997969663,496.8764125094278,2015-06-04 12:00:00-04:00
329.0,339.44559260524727,182.65184535923086,496.2393398512637,2015-06-04 13:00:00-04:00
329.0,336.86269262442215,180.0725275480767,493.65285770076764,2015-06-04 14:00:00-04:00
330.0,332.36988020048295,175.58629535481026,489.15346504615565,2015-06-04 15:00:00-04:00
315.0,327.1214462484894,170.34449359553278,483.89839890144606,2015-06-04 16:00:00-04:00
299.0,319.8894092267092,163.10854782205004,476.67027063136834,2015-06-04 17:00:00-04:00
302.0,312.2724667827648,155.46945815674758,469.07547540878204,2015-06-04 18:00:00-04:00
292.0,307.4947269282702,150.6938823237999,464.2955715327405,2015-06-04 19:00:00-04:00
293.0,307.86789625719575,151.10028063953783,464.6355118748537,2015-06-04 20:00:00-04:00
288.0,306.1431015324117,149.37708961322298,462.90911345160043,2015-06-04 21:00:00-04:00
286.0,303.2281630180428,146.46881712687366,459.9875089092119,2015-06-04 22:00:00-04:00
289.0,302.28147719391075,145.5239671385783,459.0389872492432,2015-06-04 23:00:00-04:00
282.0,301.36611184406195,144.64026104958003,458.09196263854386,2015-06-05 00:00:00-04:00
274.0,301.3520537888952,144.62537647439822,458.0787311033922,2015-06-05 01:00:00-04:00
275.0,303.0691697241666,146.34426726937238,459.79407217896085,2015-06-05 02:00:00-04:00
278.0,300.3041360090251,143.57188735327134,457.0363846647789,2015-06-05 03:00:00-04:00
275.0,296.4143230406735,139.66802628594695,453.1606197954,2015-06-05 04:00:00-04:00
272.0,297.37508476282096,140.6291987060095,454.1209708196324,2015-06-05 05:00:00-04:00
277.0,301.2525928441562,144.52521504889884,457.9799706394135,2015-06-05 06:00:00-04:00
290.0,302.52735158947394,145.79920803300521,459.25549514594263,2015-06-05 07:00:00-04:00
289.0,306.88177184451695,150.11313988297752,463.6504038060564,2015-06-05 08:00:00-04:00
310.0,318.65392600757036,161.89706604400124,475.4107859711395,2015-06-05 09:00:00-04:00
323.0,327.4078329269231,170.664068564818,484.15159728902825,2015-06-05 10:00:00-04:00
329.0,326.9467580616729,170.19179139834063,483.70172472500514,2015-06-05 11:00:00-04:00
336.0,330.2908090663941,173.54791171471788,487.0337064180703,2015-06-05 12:00:00-04:00
328.0,329.0475381728128,172.2531821533711,485.8418941922545,2015-06-05 13:00:00-04:00
331.0,320.09448970509504,163.31416430333582,476.87481510685427,2015-06-05 14:00:00-04:00
