Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
458.0,389.7646541493508,307.1995938126728,472.3297144860288,2015-06-01 00:00:00-04:00
420.0,373.43188092303143,290.8681332165742,455.99562862948864,2015-06-01 01:00:00-04:00
404.0,367.8563225793073,285.29241700590626,450.4202281527083,2015-06-01 02:00:00-04:00
408.0,361.57447192526604,279.01063258467053,444.13831126586155,2015-06-01 03:00:00-04:00
404.0,362.5812910291733,280.01747299544166,445.14510906290496,2015-06-01 04:00:00-04:00
412.0,377.9968904714695,295.43231161303487,460.5614693299041,2015-06-01 05:00:00-04:00
432.0,418.3784781286216,335.8136357456433,500.94332051159995,2015-06-01 06:00:00-04:00
484.0,467.7176829151939,385.15130036826235,550.2840654621255,2015-06-01 07:00:00-04:00
544.0,523.1273748135475,440.5607262167067,605.6940234103882,2015-06-01 08:00:00-04:00
572.0,554.9505962781564,472.38390489022856,637.5172876660841,2015-06-01 09:00:00-04:00
580.0,577.4853525046394,494.91564429454917,660.0550607147296,2015-06-01 10:00:00-04:00
584.0,597.2858049877836,514.7104470970136,679.8611628785537,2015-06-01 11:00:00-04:00
580.0,603.2225329511195,520.6451749453558,685.7998909568832,2015-06-01 12:00:00-04:00
596.0,601.4546629965203,518.8660532524117,684.0432727406288,2015-06-01 13:00:00-04:00
568.0,595.4944308586214,512.9235035734047,678.0653581438381,2015-06-01 14:00:00-04:00
576.0,580.4643499361189,497.8885373248665,663.0401625473712,2015-06-01 15:00:00-04:00
546.0,563.4400264641458,480.8509267237497,646.029126204542,2015-06-01 16:00:00-04:00
510.0,521.874883631307,439.2727547048404,604.4770125577735,2015-06-01 17:00:00-04:00
496.0,494.64722198630903,412.0660675011757,577.2283764714423,2015-06-01 18:00:00-04:00
482.0,472.5114768174437,389.944262826936,555.0786908079514,2015-06-01 19:00:00-04:00
458.0,456.6908480900136,374.12510377271053,539.2565924073167,2015-06-01 20:00:00-04:00
436.0,438.1976739322861,355.633002282457,520.7623455821151,2015-06-01 21:00:00-04:00
314.0,401.2209953219708,318.65625518162574,483.78573546231587,2015-06-01 22:00:00-04:00
282.0,379.2816074390944,296.718222631548,461.8449922466408,2015-06-01 23:00:00-04:00
272.0,399.3991067362263,316.6310666259626,482.16714684649,2015-06-02 00:00:00-04:00
262.0,392.2780651968023,309.51030317400205,475.04582721960253,2015-06-02 01:00:00-04:00
256.0,389.74819623153536,306.97981657339903,472.5165758896717,2015-06-02 02:00:00-04:00
258.0,383.8299638244661,301.0588871375687,466.6010405113635,2015-06-02 03:00:00-04:00
320.0,396.58330494481845,313.812510916388,479.3540989732489,2015-06-02 04:00:00-04:00
432.0,424.5767973103776,341.8062220529873,507.3473725677678,2015-06-02 05:00:00-04:00
440.0,444.0641662724564,361.29364726616456,526.8346852787482,2015-06-02 06:00:00-04:00
480.0,479.7069359426265,396.93966086583396,562.474211019419,2015-06-02 07:00:00-04:00
516.0,517.9491117699887,435.17730668566753,600.7209168543098,2015-06-02 08:00:00-04:00
516.0,543.373290719397,460.5975127171568,626.1490687216373,2015-06-02 09:00:00-04:00
542.0,551.713219494568,468.9372069595266,634.4892320296094,2015-06-02 10:00:00-04:00
594.0,554.4592610925615,471.6745549688984,637.2439672162246,2015-06-02 11:00:00-04:00
592.0,551.280311524098,468.4942094359434,634.0664136122526,2015-06-02 12:00:00-04:00
574.0,566.5250732200104,483.6997569534507,649.3503894865702,2015-06-02 13:00:00-04:00
574.0,554.1521998844973,471.3501716956615,636.9542280733332,2015-06-02 14:00:00-04:00
544.0,542.7401856136759,459.9443227872748,625.5360484400769,2015-06-02 15:00:00-04:00
502.0,511.44193992987294,428.66449407096826,594.2193857887776,2015-06-02 16:00:00-04:00
498.0,485.28250158979193,402.50425880082366,568.0607443787602,2015-06-02 17:00:00-04:00
458.0,463.40997946148,380.62927631355916,546.1906826094009,2015-06-02 18:00:00-04:00
466.0,452.3485588358195,369.57212588482605,535.124991786813,2015-06-02 19:00:00-04:00
446.0,440.9200541228235,358.14915263961325,523.6909556060338,2015-06-02 20:00:00-04:00
418.0,426.8108732416873,344.04081334826367,509.58093313511097,2015-06-02 21:00:00-04:00
296.0,395.2581854198536,312.4803025331048,478.0360683066024,2015-06-02 22:00:00-04:00
276.0,390.3741860269617,307.6026755993739,473.14569645454947,2015-06-02 23:00:00-04:00
272.0,384.91457030276456,302.14110615961073,467.6880344459184,2015-06-03 00:00:00-04:00
260.0,377.2553603554919,294.48629511529117,460.02442559569266,2015-06-03 01:00:00-04:00
266.0,371.13785693091495,288.365850317516,453.9098635443139,2015-06-03 02:00:00-04:00
276.0,362.806802087008,280.0379073811771,445.5756967928389,2015-06-03 03:00:00-04:00
324.0,379.23917991554663,296.47228096818225,462.006078862911,2015-06-03 04:00:00-04:00
426.0,401.1432973332425,318.3737595562965,483.91283511018855,2015-06-03 05:00:00-04:00
420.0,423.4780419385112,340.70398716600124,506.2520967110211,2015-06-03 06:00:00-04:00
464.0,454.9652665544552,372.183995105952,537.7465380029583,2015-06-03 07:00:00-04:00
476.0,495.97867766343757,413.18726980353927,578.7700855233359,2015-06-03 08:00:00-04:00
492.0,518.2586481304774,435.46477725626494,601.0525190046898,2015-06-03 09:00:00-04:00
504.0,525.2372849261817,442.43859519592155,608.0359746564418,2015-06-03 10:00:00-04:00
496.0,524.7365938630521,441.9361705567913,607.537017169313,2015-06-03 11:00:00-04:00
520.0,524.7535468360525,441.9560843159966,607.5510093561084,2015-06-03 12:00:00-04:00
522.0,524.1593308866217,441.3666128867208,606.9520488865226,2015-06-03 13:00:00-04:00
518.0,516.9007367002598,434.11092041181064,599.690552988709,2015-06-03 14:00:00-04:00
492.0,494.60334568563223,411.8164241912829,577.3902671799815,2015-06-03 15:00:00-04:00
444.0,463.3111996398184,380.52414952670426,546.0982497529326,2015-06-03 16:00:00-04:00
424.0,434.573878830583,351.79109715777116,517.3566605033948,2015-06-03 17:00:00-04:00
392.0,419.34353268054383,336.554155761727,502.1329095993607,2015-06-03 18:00:00-04:00
392.0,411.4905844008507,328.6953036472986,494.2858651544028,2015-06-03 19:00:00-04:00
380.0,405.19146395679957,322.40494026704187,487.97798764655727,2015-06-03 20:00:00-04:00
376.0,402.8184327775265,320.03913211048274,485.5977334445702,2015-06-03 21:00:00-04:00
304.0,392.3215704504319,309.54222679638366,475.1009141044802,2015-06-03 22:00:00-04:00
288.0,389.5741792021362,306.79482668452414,472.3535317197482,2015-06-03 23:00:00-04:00
296.0,382.033806223347,299.2704555377677,464.79715690892635,2015-06-04 00:00:00-04:00
280.0,375.1946428110684,292.4341415136688,457.95514410846795,2015-06-04 01:00:00-04:00
290.0,371.375870479151,288.6227494994299,454.12899145887206,2015-06-04 02:00:00-04:00
284.0,367.1071984866163,284.35504224100936,449.85935473222327,2015-06-04 03:00:00-04:00
286.0,368.2107761182551,285.4571080772354,450.9644441592749,2015-06-04 04:00:00-04:00
364.0,395.5145712621203,312.76322415015494,478.26591837408563,2015-06-04 05:00:00-04:00
392.0,416.11659637254854,333.36257353805934,498.87061920703775,2015-06-04 06:00:00-04:00
472.0,452.6515923275202,369.89743810418685,535.4057465508535,2015-06-04 07:00:00-04:00
524.0,493.7607842710038,411.0009889760605,576.5205795659471,2015-06-04 08:00:00-04:00
578.0,516.0818800426305,433.32057171098296,598.843188374278,2015-06-04 09:00:00-04:00
576.0,523.1301531868878,440.3628877479235,605.8974186258522,2015-06-04 10:00:00-04:00
586.0,526.9189376934958,444.144174966753,609.6937004202385,2015-06-04 11:00:00-04:00
604.0,529.1281541800561,446.3513795104044,611.9049288497077,2015-06-04 12:00:00-04:00
586.0,537.9937119846696,455.21759429192394,620.7698296774154,2015-06-04 13:00:00-04:00
546.0,531.6777107194678,448.9032704480833,614.4521509908523,2015-06-04 14:00:00-04:00
564.0,514.4128761884696,431.6453478242397,597.1804045526994,2015-06-04 15:00:00-04:00
534.0,484.2720635865864,401.5047569326062,567.0393702405665,2015-06-04 16:00:00-04:00
480.0,452.71018670306705,369.9340396786495,535.4863337274846,2015-06-04 17:00:00-04:00
446.0,441.3733034617238,358.5851176487986,524.161489274649,2015-06-04 18:00:00-04:00
436.0,425.52689407984553,342.74352804610936,508.3102601135817,2015-06-04 19:00:00-04:00
416.0,421.8177608982588,339.0519612224418,504.5835605740759,2015-06-04 20:00:00-04:00
416.0,418.66005320109207,335.89510414845404,501.4250022537301,2015-06-04 21:00:00-04:00
332.0,399.18857697021105,316.43042800436,481.9467259360621,2015-06-04 22:00:00-04:00
300.0,392.3875530250946,309.6303586425145,475.14474740767463,2015-06-04 23:00:00-04:00
288.0,383.24901853147844,300.50530444665134,465.99273261630555,2015-06-05 00:00:00-04:00
276.0,372.8613352803577,290.117196000797,455.60547455991843,2015-06-05 01:00:00-04:00
280.0,371.50045597629696,288.75725938468713,454.2436525679068,2015-06-05 02:00:00-04:00
280.0,364.43306422672373,281.6890240577394,447.17710439570806,2015-06-05 03:00:00-04:00
284.0,370.0266119977409,287.28474649783607,452.7684774976457,2015-06-05 04:00:00-04:00
378.0,395.8564007263535,313.11485278182613,478.5979486708809,2015-06-05 05:00:00-04:00
410.0,423.1537029661803,340.41234445221306,505.8950614801475,2015-06-05 06:00:00-04:00
472.0,455.2891756580851,372.54126366193276,538.0370876542374,2015-06-05 07:00:00-04:00
532.0,485.85882125489866,403.0993860819895,568.6182564278079,2015-06-05 08:00:00-04:00
