Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
48.0,39.29982163833955,29.663274326590397,48.936368950088706,2015-08-14 15:00:00-04:00
47.0,38.798902357233295,29.163508568017328,48.43429614644926,2015-08-14 16:00:00-04:00
47.0,38.6243953081881,28.98958679628698,48.25920382008922,2015-08-14 17:00:00-04:00
49.0,38.395496516495086,28.759405936425235,48.031587096564934,2015-08-14 18:00:00-04:00
51.0,38.64625654836651,29.010996261145685,48.28151683558733,2015-08-14 19:00:00-04:00
50.0,38.81517272757411,29.180985514869324,48.449359940278896,2015-08-14 20:00:00-04:00
50.0,38.92646608787258,29.292516312272745,48.56041586347242,2015-08-14 21:00:00-04:00
51.0,38.663860970717806,29.03016176555547,48.29756017588014,2015-08-14 22:00:00-04:00
50.0,38.055781159577066,28.42117677360676,47.69038554554737,2015-08-14 23:00:00-04:00
46.0,37.70990601350731,28.075721579825263,47.34409044718935,2015-08-15 00:00:00-04:00
43.0,37.0049038462675,27.371046321326865,46.63876137120814,2015-08-15 01:00:00-04:00
41.0,37.14235933783758,27.50858029163615,46.776138384039015,2015-08-15 02:00:00-04:00
40.0,36.25022813553337,26.616503084996637,45.8839531860701,2015-08-15 03:00:00-04:00
40.0,35.93862121312928,26.304378795820313,45.57286363043825,2015-08-15 04:00:00-04:00
39.0,35.539329256254064,25.904595567820643,45.174062944687485,2015-08-15 05:00:00-04:00
40.0,35.546452159794455,25.9120695210182,45.180834798570714,2015-08-15 06:00:00-04:00
40.0,35.599927299884015,25.965478906695004,45.23437569307303,2015-08-15 07:00:00-04:00
38.0,35.51458427404989,25.878494045210125,45.15067450288965,2015-08-15 08:00:00-04:00
42.0,36.06445134999751,26.428378104662578,45.700524595332446,2015-08-15 09:00:00-04:00
44.0,36.361693378006876,26.726499331978523,45.99688742403523,2015-08-15 10:00:00-04:00
46.0,36.60277668259959,26.9672490346846,46.23830433051458,2015-08-15 11:00:00-04:00
52.0,37.26556867435154,27.630273522385977,46.90086382631711,2015-08-15 12:00:00-04:00
46.0,36.970533237383606,27.335620059444782,46.60544641532243,2015-08-15 13:00:00-04:00
47.0,37.94769265950386,28.31258989880473,47.582795420202984,2015-08-15 14:00:00-04:00
46.0,37.593674768883695,27.958506672912584,47.228842864854805,2015-08-15 15:00:00-04:00
46.0,37.691228763823986,28.05561075599154,47.326846771656434,2015-08-15 16:00:00-04:00
47.0,37.942034699761834,28.305875491485054,47.578193908038614,2015-08-15 17:00:00-04:00
