Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
26.0,35.54396009097049,-84.68620202965221,155.77412221159318,2015-06-01 00:00:00-04:00
26.0,33.84404322034017,-86.38532882081668,154.07341526149702,2015-06-01 01:00:00-04:00
24.0,30.624547077494327,-89.60503946091784,150.8541336159065,2015-06-01 02:00:00-04:00
22.0,31.74364512686772,-88.48584101615894,151.9731312698944,2015-06-01 03:00:00-04:00
21.0,30.742600114162585,-89.4868803750689,150.9720806033941,2015-06-01 04:00:00-04:00
21.0,29.634834448234486,-90.59572617810962,149.8653950745786,2015-06-01 05:00:00-04:00
19.0,30.843275035922616,-89.38655253522846,151.07310260707368,2015-06-01 06:00:00-04:00
20.0,28.067226583238977,-92.1648057896278,148.29925895610575,2015-06-01 07:00:00-04:00
26.0,30.4335835731043,-89.80113223303735,150.66829937924595,2015-06-01 08:00:00-04:00
26.0,25.079427896442397,-95.1553028141013,145.3141586069861,2015-06-01 09:00:00-04:00
30.0,23.466284286425193,-96.77042644733423,143.70299502018463,2015-06-01 10:00:00-04:00
30.0,25.537240842751743,-94.7066147789575,145.78109646446097,2015-06-01 11:00:00-04:00
30.0,20.761595032067675,-99.48638648250203,141.0095765466374,2015-06-01 12:00:00-04:00
36.0,29.66584133733822,-90.59957053497385,149.9312532096503,2015-06-01 13:00:00-04:00
30.0,41.719215704116706,-78.52048935927651,161.95892076750994,2015-06-01 14:00:00-04:00
27.0,35.95319640101239,-84.29367898699827,156.20007178902307,2015-06-01 15:00:00-04:00
25.0,31.090641506608108,-89.17536901734509,151.3566520305613,2015-06-01 16:00:00-04:00
29.0,33.22776243649382,-87.05722138438576,153.5127462573734,2015-06-01 17:00:00-04:00
30.0,68.52906650608831,-51.7253939363989,188.7835269485755,2015-06-01 18:00:00-04:00
26.0,65.67171503911344,-54.56249611870291,185.90592619692978,2015-06-01 19:00:00-04:00
27.0,78.91164300937326,-41.32161110255977,199.14489712130631,2015-06-01 20:00:00-04:00
24.0,64.296986460284,-55.93354981696366,184.52752273753168,2015-06-01 21:00:00-04:00
22.0,47.43155657972325,-72.79908499867268,167.66219815811917,2015-06-01 22:00:00-04:00
25.0,40.271715825244556,-79.95693871902006,160.50037036950917,2015-06-01 23:00:00-04:00
20.0,37.03483304998851,-83.49187559879779,157.56154169877482,2015-06-02 00:00:00-04:00
24.0,35.7755769122074,-84.75076935735827,156.30192318177308,2015-06-02 01:00:00-04:00
25.0,35.98366653333089,-84.5435780694741,156.51091113613586,2015-06-02 02:00:00-04:00
27.0,33.2313295984613,-87.29477352523146,153.75743272215408,2015-06-02 03:00:00-04:00
22.0,34.32874886168962,-86.20200593479784,154.85950365817706,2015-06-02 04:00:00-04:00
21.0,34.713238392645835,-85.81716720579911,155.24364399109078,2015-06-02 05:00:00-04:00
22.0,33.79877982553931,-86.73168334272513,154.32924299380375,2015-06-02 06:00:00-04:00
19.0,37.236209566415695,-83.29450667196458,157.76692580479596,2015-06-02 07:00:00-04:00
21.0,35.665764141172346,-84.87173772515841,156.2032660075031,2015-06-02 08:00:00-04:00
22.0,41.050302601545454,-79.4877233123577,161.5883285154486,2015-06-02 09:00:00-04:00
20.0,38.00936436246697,-82.52897856452847,158.5477072894624,2015-06-02 10:00:00-04:00
22.0,43.154713480269734,-77.39615304679187,163.70558000733132,2015-06-02 11:00:00-04:00
21.0,40.86417702724255,-79.68869382675081,161.4170478812359,2015-06-02 12:00:00-04:00
20.0,36.7381300621406,-83.87744155967914,157.35370168396034,2015-06-02 13:00:00-04:00
