Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
428.0,475.4478295834075,399.77121448380535,551.1244446830096,2015-06-01 00:00:00-04:00
408.0,466.0819473172736,390.4065285370829,541.7573660974642,2015-06-01 01:00:00-04:00
412.0,464.7686782920948,389.09313571171435,540.4442208724753,2015-06-01 02:00:00-04:00
410.0,459.94131580804594,384.2658218159561,535.6168098001358,2015-06-01 03:00:00-04:00
412.0,464.131312535215,388.45445435393754,539.8081707164924,2015-06-01 04:00:00-04:00
420.0,478.0719197960532,402.39436607396556,553.7494735181408,2015-06-01 05:00:00-04:00
438.0,489.94320317078746,414.2661197126122,565.6202866289627,2015-06-01 06:00:00-04:00
456.0,502.517094125953,426.8393101197239,578.1948781321821,2015-06-01 07:00:00-04:00
496.0,536.6270362604306,460.948927631983,612.3051448888782,2015-06-01 08:00:00-04:00
546.0,555.6390777101519,479.9603325171865,631.3178229031174,2015-06-01 09:00:00-04:00
560.0,569.210169464751,493.52871394517217,644.8916249843297,2015-06-01 10:00:00-04:00
568.0,576.6078837696397,500.9225174921028,652.2932500471766,2015-06-01 11:00:00-04:00
574.0,581.6847061692451,505.99697176675005,657.3724405717403,2015-06-01 12:00:00-04:00
576.0,591.6980133483511,515.9992067418019,667.3968199549003,2015-06-01 13:00:00-04:00
548.0,596.4405810566344,520.7592513089918,672.121910804277,2015-06-01 14:00:00-04:00
566.0,581.2590997477976,505.5720281565936,656.9461713390015,2015-06-01 15:00:00-04:00
526.0,580.0509881962914,504.3517837922501,655.7501926003328,2015-06-01 16:00:00-04:00
516.0,557.1326736928493,481.4220897770765,632.843257608622,2015-06-01 17:00:00-04:00
488.0,532.9951033842835,457.3037834090629,608.6864233595041,2015-06-01 18:00:00-04:00
490.0,511.4294128082835,435.7508225526359,587.108003063931,2015-06-01 19:00:00-04:00
490.0,506.62005937282606,430.94213290284847,582.2979858428037,2015-06-01 20:00:00-04:00
474.0,497.16599397247546,421.4890515724498,572.8429363725011,2015-06-01 21:00:00-04:00
440.0,488.0516014843338,412.3752714314842,563.7279315371834,2015-06-01 22:00:00-04:00
434.0,479.67758688712865,404.0025031898357,555.3526705844216,2015-06-01 23:00:00-04:00
422.0,484.6621189350511,408.7994571868853,560.5247806832169,2015-06-02 00:00:00-04:00
414.0,479.27133874497986,403.40892353829315,555.1337539516666,2015-06-02 01:00:00-04:00
