Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
26.0,16.036193624788886,-12.343431405845912,44.415818655423685,2015-06-01 00:00:00-04:00
26.0,15.67177633390314,-12.707132686436037,44.05068535424232,2015-06-01 01:00:00-04:00
26.0,15.93098175180726,-12.447979510492988,44.3099430141075,2015-06-01 02:00:00-04:00
26.0,15.63719855293865,-12.74174116230844,44.01613826818574,2015-06-01 03:00:00-04:00
27.0,16.148775672433217,-12.230158927925213,44.52771027279165,2015-06-01 04:00:00-04:00
64.0,38.01427210402722,9.635082113647197,66.39346209440724,2015-06-01 05:00:00-04:00
68.0,42.72811670534571,14.348839541372904,71.10739386931851,2015-06-01 06:00:00-04:00
78.0,52.224581409193206,23.844535671718788,80.60462714666762,2015-06-01 07:00:00-04:00
89.0,60.347351104737655,31.967186345358364,88.72751586411695,2015-06-01 08:00:00-04:00
93.0,66.7943948319194,38.41447114222089,95.17431852161792,2015-06-01 09:00:00-04:00
90.0,70.2625594274889,41.88188471446206,98.64323414051573,2015-06-01 10:00:00-04:00
94.0,71.87224335192374,43.48964604975198,100.2548406540955,2015-06-01 11:00:00-04:00
92.0,70.73578362353001,42.35200047460204,99.11956677245797,2015-06-01 12:00:00-04:00
94.0,71.77992356285174,43.39197804057964,100.16786908512384,2015-06-01 13:00:00-04:00
94.0,71.33159258005149,42.949993881688776,99.7131912784142,2015-06-01 14:00:00-04:00
93.0,69.87024659359946,41.487209621739794,98.25328356545913,2015-06-01 15:00:00-04:00
92.0,66.66717933681952,38.279375213706345,95.05498345993269,2015-06-01 16:00:00-04:00
78.0,56.43737181315847,28.045088213139934,84.82965541317701,2015-06-01 17:00:00-04:00
77.0,49.482816049062535,21.09773948653749,77.86789261158758,2015-06-01 18:00:00-04:00
73.0,46.185222335842965,17.80466088043808,74.56578379124785,2015-06-01 19:00:00-04:00
71.0,44.64090434145676,16.26083030003629,73.02097838287723,2015-06-01 20:00:00-04:00
56.0,40.098973676202334,11.71905523074145,68.47889212166322,2015-06-01 21:00:00-04:00
52.0,38.58570669920189,10.205760819979709,66.96565257842408,2015-06-01 22:00:00-04:00
52.0,34.47180331969917,6.092543757655434,62.851062881742905,2015-06-01 23:00:00-04:00
49.0,26.509143733119068,-1.9414092637770537,54.95969673001519,2015-06-02 00:00:00-04:00
50.0,26.375790638017058,-2.0746909841905214,54.82627226022464,2015-06-02 01:00:00-04:00
