Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
45.0,40.120414934468485,29.88777758444578,50.35305228449119,2015-06-01 00:00:00-04:00
45.0,40.03542245038797,29.80285528692049,50.26798961385545,2015-06-01 01:00:00-04:00
45.0,40.86265420678344,30.63006967816174,51.09523873540514,2015-06-01 02:00:00-04:00
45.0,41.46172180678796,31.229235372336525,51.6942082412394,2015-06-01 03:00:00-04:00
45.0,42.42867059077289,32.19618588310622,52.66115529843956,2015-06-01 04:00:00-04:00
46.0,42.80654884299752,32.5739719015166,53.03912578447844,2015-06-01 05:00:00-04:00
45.0,43.08000923278913,32.84740055684265,53.31261790873561,2015-06-01 06:00:00-04:00
46.0,44.198648358273054,33.965770283731636,54.43152643281447,2015-06-01 07:00:00-04:00
47.0,45.173845024970014,34.940923387838886,55.40676666210114,2015-06-01 08:00:00-04:00
52.0,46.387747709270364,36.154907236018325,56.620588182522404,2015-06-01 09:00:00-04:00
54.0,47.00889072964504,36.775781009555004,57.24200044973507,2015-06-01 10:00:00-04:00
51.0,47.78056587167263,37.54684318897693,58.01428855436833,2015-06-01 11:00:00-04:00
50.0,48.445588195662786,38.21143668165212,58.679739709673456,2015-06-01 12:00:00-04:00
52.0,47.85464722230752,37.618929766508636,58.090364678106404,2015-06-01 13:00:00-04:00
53.0,47.7889355852365,37.5555040492055,58.0223671212675,2015-06-01 14:00:00-04:00
51.0,47.61914202159322,37.38517820849337,57.85310583469307,2015-06-01 15:00:00-04:00
53.0,47.57714794215614,37.34137610076183,57.81291978355045,2015-06-01 16:00:00-04:00
51.0,44.761680784143,34.52429532627545,54.99906624201056,2015-06-01 17:00:00-04:00
49.0,43.18369796832163,32.94899974557164,53.41839619107162,2015-06-01 18:00:00-04:00
50.0,43.45318028914663,33.22010891198869,53.68625166630457,2015-06-01 19:00:00-04:00
47.0,43.13181333175393,32.89873751209627,53.364889151411596,2015-06-01 20:00:00-04:00
45.0,41.87015626651211,31.637224825419374,52.10308770760485,2015-06-01 21:00:00-04:00
46.0,41.52178935864306,31.288925628862614,51.75465308842351,2015-06-01 22:00:00-04:00
46.0,41.41299127538532,31.180294577948647,51.645687972822,2015-06-01 23:00:00-04:00
46.0,38.67321235608653,28.41490525104878,48.93151946112428,2015-06-02 00:00:00-04:00
45.0,38.830303656477085,28.57157632017904,49.08903099277513,2015-06-02 01:00:00-04:00
46.0,40.176013526635785,29.91721891694906,50.43480813632251,2015-06-02 02:00:00-04:00
45.0,40.94645449757184,30.68819480823339,51.204714186910294,2015-06-02 03:00:00-04:00
46.0,43.049810091036775,32.792026953584724,53.30759322848883,2015-06-02 04:00:00-04:00
45.0,43.505621329434305,33.24697068020101,53.7642719786676,2015-06-02 05:00:00-04:00
45.0,44.01835246552353,33.7596974556254,54.277007475421655,2015-06-02 06:00:00-04:00
47.0,44.65754965549618,34.399767510409376,54.91533180058299,2015-06-02 07:00:00-04:00
46.0,45.44926374027725,35.19092059655136,55.70760688400315,2015-06-02 08:00:00-04:00
49.0,46.204442278156364,35.94560509005378,56.463279466258946,2015-06-02 09:00:00-04:00
51.0,46.75646735773995,36.4976025538261,57.0153321616538,2015-06-02 10:00:00-04:00
50.0,46.38577807018243,36.126293049369025,56.64526309099584,2015-06-02 11:00:00-04:00
50.0,46.614913721794984,36.35526246847358,56.874564975116385,2015-06-02 12:00:00-04:00
52.0,47.61803785508505,37.353060299613645,57.88301541055645,2015-06-02 13:00:00-04:00
52.0,47.78040673240526,37.518326009219194,58.04248745559133,2015-06-02 14:00:00-04:00
51.0,47.097664740918496,36.83547472265234,57.35985475918465,2015-06-02 15:00:00-04:00
47.0,46.629422451629,36.369921186262765,56.88892371699523,2015-06-02 16:00:00-04:00
46.0,44.43948015665404,34.18034891342083,54.698611399887255,2015-06-02 17:00:00-04:00
47.0,44.86181322967876,34.602384953819964,55.121241505537554,2015-06-02 18:00:00-04:00
45.0,44.017727074220396,33.75881451840187,54.27663963003892,2015-06-02 19:00:00-04:00
47.0,44.30432545889257,34.04565997352815,54.56299094425699,2015-06-02 20:00:00-04:00
45.0,41.058341622340016,30.79977384153417,51.316909403145864,2015-06-02 21:00:00-04:00
46.0,40.46412386946989,30.205031353200297,50.72321638573948,2015-06-02 22:00:00-04:00
45.0,40.35003081024813,30.091725248190457,50.6083363723058,2015-06-02 23:00:00-04:00
46.0,38.334432331376206,28.075885286088692,48.59297937666372,2015-06-03 00:00:00-04:00
45.0,38.42768739350839,28.16968564315219,48.68568914386459,2015-06-03 01:00:00-04:00
46.0,40.12576272048162,29.867400974901287,50.38412446606195,2015-06-03 02:00:00-04:00
45.0,40.79654766297821,30.53856932211741,51.054526003839015,2015-06-03 03:00:00-04:00
46.0,42.4948403391697,32.23710772317699,52.75257295516241,2015-06-03 04:00:00-04:00
44.0,42.92269578067722,32.66463734372692,53.18075421762752,2015-06-03 05:00:00-04:00
46.0,43.36186596090708,33.10367143485868,53.62006048695548,2015-06-03 06:00:00-04:00
