Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
28.0,28.682839356667895,10.789278995340744,46.576399717995045,2015-06-01 00:00:00-04:00
29.0,26.770180207791416,8.876906813739339,44.66345360184349,2015-06-01 01:00:00-04:00
28.0,25.583833523167723,7.690525269490347,43.4771417768451,2015-06-01 02:00:00-04:00
28.0,24.320676961535078,6.427216832199591,42.214137090870565,2015-06-01 03:00:00-04:00
28.0,23.768711726087616,5.87525364195081,41.66216981022443,2015-06-01 04:00:00-04:00
28.0,23.319125860603208,5.4256757268095335,41.212575994396886,2015-06-01 05:00:00-04:00
27.0,23.440682871672827,5.547175822504403,41.334189920841254,2015-06-01 06:00:00-04:00
28.0,24.2007629206406,6.30692429975111,42.09460154153009,2015-06-01 07:00:00-04:00
26.0,26.176270733280404,8.282366398925141,44.07017506763567,2015-06-01 08:00:00-04:00
27.0,26.888346994413777,8.994435184772772,44.78225880405478,2015-06-01 09:00:00-04:00
29.0,27.449800958044285,9.555416751489865,45.344185164598706,2015-06-01 10:00:00-04:00
29.0,28.501559067943006,10.606110311253595,46.39700782463242,2015-06-01 11:00:00-04:00
32.0,28.675196674867898,10.778997910457417,46.571395439278376,2015-06-01 12:00:00-04:00
30.0,28.76509994270723,10.86630329507809,46.66389659033637,2015-06-01 13:00:00-04:00
30.0,29.460584135515802,11.565775353268023,47.35539291776358,2015-06-01 14:00:00-04:00
32.0,29.77073023778414,11.87485681719027,47.66660365837801,2015-06-01 15:00:00-04:00
31.0,31.034008890454004,13.13495248986342,48.933065291044585,2015-06-01 16:00:00-04:00
28.0,30.725880868980376,12.823875874042358,48.627885863918394,2015-06-01 17:00:00-04:00
30.0,31.08731201631639,13.18998764967801,48.98463638295477,2015-06-01 18:00:00-04:00
29.0,31.068276627725066,13.174118989349829,48.9624342661003,2015-06-01 19:00:00-04:00
30.0,32.46969679877221,14.575841653360076,50.36355194418435,2015-06-01 20:00:00-04:00
29.0,32.8653389725568,14.971717878583384,50.758960066530214,2015-06-01 21:00:00-04:00
27.0,32.544091225917974,14.65046125192086,50.43772119991509,2015-06-01 22:00:00-04:00
28.0,30.69413701150117,12.800803492760117,48.58747053024222,2015-06-01 23:00:00-04:00
27.0,27.847127556604736,9.909587808004623,45.78466730520485,2015-06-02 00:00:00-04:00
28.0,27.451684453920777,9.514196266725424,45.38917264111613,2015-06-02 01:00:00-04:00
28.0,27.056707702807852,9.119085056106979,44.99433034950873,2015-06-02 02:00:00-04:00
28.0,26.609687817138873,8.672235768055387,44.54713986622236,2015-06-02 03:00:00-04:00
28.0,26.276980057088778,8.33959947261739,44.21436064156016,2015-06-02 04:00:00-04:00
27.0,25.933092625727376,7.995754144872535,43.87043110658222,2015-06-02 05:00:00-04:00
29.0,26.20154898962773,8.264213780661937,44.13888419859353,2015-06-02 06:00:00-04:00
27.0,26.764178593538027,8.826800689268495,44.70155649780756,2015-06-02 07:00:00-04:00
28.0,27.819823709239493,9.88146508834393,45.75818233013506,2015-06-02 08:00:00-04:00
29.0,28.56835249782485,10.62912487043777,46.50758012521193,2015-06-02 09:00:00-04:00
29.0,28.42600436615708,10.48673141630574,46.36527731600842,2015-06-02 10:00:00-04:00
33.0,28.73973382738835,10.798580933587164,46.68088672118954,2015-06-02 11:00:00-04:00
28.0,28.666699902298333,10.72525788872057,46.6081419158761,2015-06-02 12:00:00-04:00
28.0,29.59257674805703,11.642611539539885,47.542541956574176,2015-06-02 13:00:00-04:00
29.0,30.06185696389536,12.116953507473355,48.00676042031736,2015-06-02 14:00:00-04:00
28.0,29.460462919508895,11.516880310918854,47.40404552809893,2015-06-02 15:00:00-04:00
29.0,29.307003653076272,11.368210275907433,47.245797030245114,2015-06-02 16:00:00-04:00
27.0,29.69543883563234,11.754905073150454,47.63597259811423,2015-06-02 17:00:00-04:00
29.0,29.220017036570894,11.27818023783163,47.161853835310154,2015-06-02 18:00:00-04:00
29.0,29.127854900996645,11.187726902981176,47.067982899012115,2015-06-02 19:00:00-04:00
28.0,29.803237836848943,11.864314927472993,47.7421607462249,2015-06-02 20:00:00-04:00
28.0,29.984801607278758,12.046050518355617,47.923552696201895,2015-06-02 21:00:00-04:00
28.0,30.026645216252213,12.086226940114301,47.967063492390125,2015-06-02 22:00:00-04:00
27.0,28.97590180033093,11.03760729064593,46.91419631001593,2015-06-02 23:00:00-04:00
28.0,27.689590007081904,9.750872224511124,45.62830778965268,2015-06-03 00:00:00-04:00
27.0,27.298854550262995,9.361091168195731,45.23661793233026,2015-06-03 01:00:00-04:00
27.0,27.027436766758463,9.089043943402288,44.96582959011464,2015-06-03 02:00:00-04:00
27.0,26.587627315319324,8.649905776850375,44.52534885378827,2015-06-03 03:00:00-04:00
27.0,26.251261230720445,8.313969882531659,44.18855257890923,2015-06-03 04:00:00-04:00
27.0,26.03971049781753,8.101114815650451,43.978306179984614,2015-06-03 05:00:00-04:00
26.0,26.357306517816966,8.418461613228086,44.29615142240584,2015-06-03 06:00:00-04:00
26.0,26.91230406235149,8.973443265748081,44.8511648589549,2015-06-03 07:00:00-04:00
26.0,28.13695034691345,10.194367125812128,46.079533568014774,2015-06-03 08:00:00-04:00
30.0,28.584424056061877,10.641338240536204,46.527509871587554,2015-06-03 09:00:00-04:00
25.0,29.003601007858798,11.060225556211297,46.9469764595063,2015-06-03 10:00:00-04:00
28.0,29.14353315909343,11.19896306071864,47.08810325746822,2015-06-03 11:00:00-04:00
27.0,29.647195963069713,11.703268205745406,47.59112372039402,2015-06-03 12:00:00-04:00
27.0,29.740173590130787,11.797275323442442,47.68307185681913,2015-06-03 13:00:00-04:00
26.0,30.556770721413066,12.61368600185153,48.4998554409746,2015-06-03 14:00:00-04:00
27.0,30.311828368155247,12.369381390246737,48.25427534606376,2015-06-03 15:00:00-04:00
27.0,30.14565121666331,12.203180245610149,48.08812218771647,2015-06-03 16:00:00-04:00
25.0,29.946176927483315,12.004657269635906,47.88769658533072,2015-06-03 17:00:00-04:00
27.0,30.06816900671882,12.12679058466827,48.009547428769366,2015-06-03 18:00:00-04:00
26.0,29.808102055789384,11.865462459136008,47.750741652442755,2015-06-03 19:00:00-04:00
26.0,30.022244153431004,12.081505591864445,47.962982714997565,2015-06-03 20:00:00-04:00
25.0,29.827469864913024,11.888250852657258,47.76668887716879,2015-06-03 21:00:00-04:00
24.0,29.609927138621124,11.671481229853143,47.548373047389106,2015-06-03 22:00:00-04:00
24.0,28.937346620276635,10.9988967938447,46.87579644670857,2015-06-03 23:00:00-04:00
28.0,28.482201947378766,10.546390706936542,46.41801318782099,2015-06-04 00:00:00-04:00
26.0,27.692969545184965,9.757770717453297,45.62816837291663,2015-06-04 01:00:00-04:00
26.0,27.396931516112986,9.462623213052836,45.331239819173135,2015-06-04 02:00:00-04:00
23.0,27.15391100915805,9.219819619151238,45.088002399164864,2015-06-04 03:00:00-04:00
24.0,26.70784200295171,8.773407734655482,44.64227627124794,2015-06-04 04:00:00-04:00
24.0,26.841167684773378,8.907251785303718,44.775083584243035,2015-06-04 05:00:00-04:00
24.0,26.86156404986165,8.92774654504981,44.79538155467348,2015-06-04 06:00:00-04:00
24.0,27.481235910423436,9.546712078328547,45.415759742518325,2015-06-04 07:00:00-04:00
25.0,28.438025297132757,10.502271588257198,46.37377900600832,2015-06-04 08:00:00-04:00
24.0,28.87474793477866,10.937974451463234,46.81152141809409,2015-06-04 09:00:00-04:00
