Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
56.0,53.29986004481512,30.09888772475737,76.50083236487288,2015-06-01 00:00:00-04:00
55.0,53.39478675709434,30.194182953895357,76.59539056029331,2015-06-01 01:00:00-04:00
55.0,53.862657182990546,30.662009802468674,77.06330456351242,2015-06-01 02:00:00-04:00
56.0,53.32290212105228,30.12227302066971,76.52353122143485,2015-06-01 03:00:00-04:00
55.0,53.177267813925894,29.97664246679021,76.37789316106158,2015-06-01 04:00:00-04:00
55.0,53.13920126533144,29.938366834157932,76.34003569650494,2015-06-01 05:00:00-04:00
50.0,52.712647416855916,29.511741010520936,75.9135538231909,2015-06-01 06:00:00-04:00
47.0,49.79893710922002,26.597402493485664,73.00047172495438,2015-06-01 07:00:00-04:00
46.0,47.594096348333835,24.3924666642603,70.79572603240737,2015-06-01 08:00:00-04:00
47.0,47.187487044174304,23.986056992532102,70.38891709581651,2015-06-01 09:00:00-04:00
47.0,46.962709315402236,23.760474240100997,70.16494439070348,2015-06-01 10:00:00-04:00
45.0,46.37856243850831,23.17492875076189,69.58219612625473,2015-06-01 11:00:00-04:00
46.0,46.58768781542808,23.383285918226985,69.79208971262918,2015-06-01 12:00:00-04:00
46.0,45.97829205919409,22.770519916255967,69.18606420213221,2015-06-01 13:00:00-04:00
46.0,46.39489718424542,23.19230287724375,69.5974914912471,2015-06-01 14:00:00-04:00
47.0,46.99373235171693,23.789538582888177,70.19792612054567,2015-06-01 15:00:00-04:00
47.0,49.06644590393911,25.858379422653037,72.2745123852252,2015-06-01 16:00:00-04:00
48.0,51.06605695118452,27.8545171561137,74.27759674625534,2015-06-01 17:00:00-04:00
48.0,51.90052318771886,28.694880289837453,75.10616608560026,2015-06-01 18:00:00-04:00
50.0,51.75075510937043,28.549000659633275,74.95250955910758,2015-06-01 19:00:00-04:00
57.0,53.71971928140863,30.518172134488843,76.92126642832841,2015-06-01 20:00:00-04:00
56.0,53.876254616617246,30.67500994091702,77.07749929231747,2015-06-01 21:00:00-04:00
57.0,53.568540220324905,30.367475916509704,76.7696045241401,2015-06-01 22:00:00-04:00
56.0,53.741879787253154,30.541198802116806,76.9425607723895,2015-06-01 23:00:00-04:00
57.0,54.62938939790786,31.371194529087813,77.8875842667279,2015-06-02 00:00:00-04:00
55.0,54.0253661065215,30.767241713101942,77.28349049994107,2015-06-02 01:00:00-04:00
57.0,54.620142077894386,31.361844437414646,77.87843971837412,2015-06-02 02:00:00-04:00
55.0,53.84102909668805,30.582950852803712,77.09910734057237,2015-06-02 03:00:00-04:00
56.0,53.77320344216314,30.515216132521374,77.0311907518049,2015-06-02 04:00:00-04:00
55.0,53.49774471284029,30.23981245451614,76.75567697116443,2015-06-02 05:00:00-04:00
55.0,52.862457003996056,29.604528071412037,76.12038593658008,2015-06-02 06:00:00-04:00
49.0,49.62149225797326,26.363507996298143,72.87947651964838,2015-06-02 07:00:00-04:00
46.0,47.043269706535355,23.78401345486087,70.30252595820984,2015-06-02 08:00:00-04:00
47.0,46.65183588211285,23.391460708924566,69.91221105530113,2015-06-02 09:00:00-04:00
46.0,46.864132856793674,23.60369349837854,70.12457221520881,2015-06-02 10:00:00-04:00
48.0,46.63639496837801,23.374548657090607,69.89824127966543,2015-06-02 11:00:00-04:00
46.0,46.189903576105664,22.927682548386773,69.45212460382456,2015-06-02 12:00:00-04:00
