Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
115.0,139.97345109364937,115.674960831412,164.27194135588675,2015-06-01 00:00:00-04:00
116.0,139.5476391385638,115.24953433549025,163.84574394163735,2015-06-01 01:00:00-04:00
116.0,140.71786793898943,116.41971831858294,165.01601755939592,2015-06-01 02:00:00-04:00
116.0,139.62418245422313,115.32605180036231,163.92231310808396,2015-06-01 03:00:00-04:00
115.0,139.51642914873545,115.21830301587444,163.81455528159648,2015-06-01 04:00:00-04:00
116.0,140.1851588024502,115.88681376821359,164.4835038366868,2015-06-01 05:00:00-04:00
116.0,140.40405770850083,116.10563781109329,164.70247760590837,2015-06-01 06:00:00-04:00
114.0,141.11247854767504,116.81361282340518,165.4113442719449,2015-06-01 07:00:00-04:00
118.0,140.87512243597286,116.57616039690336,165.17408447504235,2015-06-01 08:00:00-04:00
118.0,140.2654189202499,115.96644843107892,164.5643894094209,2015-06-01 09:00:00-04:00
120.0,140.75979221739988,116.46018411899385,165.0594003158059,2015-06-01 10:00:00-04:00
116.0,139.9906994756191,115.68964231083118,164.29175664040702,2015-06-01 11:00:00-04:00
118.0,140.42783317766052,116.12575787020809,164.72990848511296,2015-06-01 12:00:00-04:00
118.0,142.73393756431747,118.42833384720981,167.03954128142513,2015-06-01 13:00:00-04:00
119.0,144.21085060147988,119.91066328883038,168.5110379141294,2015-06-01 14:00:00-04:00
119.0,140.0014161691079,115.69978297167071,164.30304936654508,2015-06-01 15:00:00-04:00
118.0,140.81598920096772,116.51028704788828,165.12169135404716,2015-06-01 16:00:00-04:00
119.0,141.27933073454352,116.96999727279274,165.5886641962943,2015-06-01 17:00:00-04:00
115.0,138.86321611287937,114.56008629785798,163.16634592790075,2015-06-01 18:00:00-04:00
117.0,140.24442324282188,115.94533223613853,164.54351424950522,2015-06-01 19:00:00-04:00
117.0,139.4710718884223,115.17219295117502,163.76995082566958,2015-06-01 20:00:00-04:00
115.0,139.8568069965436,115.55824530879632,164.15536868429092,2015-06-01 21:00:00-04:00
119.0,139.7568881568371,115.45830442559384,164.05547188808038,2015-06-01 22:00:00-04:00
115.0,140.04144093106228,115.74325786017901,164.33962400194554,2015-06-01 23:00:00-04:00
118.0,140.7726159409471,116.41419636234156,165.13103551955265,2015-06-02 00:00:00-04:00
115.0,139.68118264093644,115.32283898199304,164.03952629987984,2015-06-02 01:00:00-04:00
116.0,140.40959995368434,116.05107555981479,164.76812434755388,2015-06-02 02:00:00-04:00
118.0,139.6105073365788,115.2522117508579,163.9688029222997,2015-06-02 03:00:00-04:00
117.0,139.38872602210714,115.03052590043313,163.74692614378114,2015-06-02 04:00:00-04:00
115.0,139.65409278859875,115.29595028029867,164.01223529689884,2015-06-02 05:00:00-04:00
115.0,140.2691286385174,115.91098909302639,164.62726818400841,2015-06-02 06:00:00-04:00
118.0,140.36902439896454,116.01082614264294,164.72722265528614,2015-06-02 07:00:00-04:00
116.0,141.0202979336289,116.66076796548677,165.37982790177105,2015-06-02 08:00:00-04:00
119.0,140.80226962565266,116.44156977174832,165.162969479557,2015-06-02 09:00:00-04:00
116.0,142.67062282697606,118.30985584802772,167.0313898059244,2015-06-02 10:00:00-04:00
