Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
2.0,2.7886621301155596,0.1455298130050946,5.431794447226025,2015-06-01 00:00:00-04:00
2.0,2.583271281256449,-0.05981910651759037,5.226361669030489,2015-06-01 01:00:00-04:00
2.0,2.5846293227358554,-0.058465940161691154,5.227724585633402,2015-06-01 02:00:00-04:00
2.0,2.2907310805675465,-0.35236211919400784,4.933824280329101,2015-06-01 03:00:00-04:00
1.0,2.248417411281066,-0.39467529669682033,4.891510119258952,2015-06-01 04:00:00-04:00
3.0,2.402074975717486,-0.24104154383444554,5.0451914952694175,2015-06-01 05:00:00-04:00
1.0,2.390719906126936,-0.2524047568637169,5.033844569117589,2015-06-01 06:00:00-04:00
2.0,2.714243187606778,0.07107002862419698,5.357416346589359,2015-06-01 07:00:00-04:00
2.0,3.5410850636989633,0.897901427820214,6.1842686995777125,2015-06-01 08:00:00-04:00
4.0,4.031664198874472,1.3884796438136617,6.674848753935281,2015-06-01 09:00:00-04:00
4.0,4.259836584900203,1.6165826722144288,6.903090497585977,2015-06-01 10:00:00-04:00
4.0,4.394798729041771,1.7513871903412817,7.03821026774226,2015-06-01 11:00:00-04:00
5.0,4.694474064933164,2.0509517750810202,7.337996354785308,2015-06-01 12:00:00-04:00
5.0,5.207316871616268,2.5634107697047286,7.851222973527807,2015-06-01 13:00:00-04:00
4.0,4.887352675869016,2.2440357576273837,7.530669594110648,2015-06-01 14:00:00-04:00
4.0,4.398902788373597,1.7554285902035462,7.042376986543648,2015-06-01 15:00:00-04:00
4.0,4.148124874376554,1.5042080648327558,6.792041683920353,2015-06-01 16:00:00-04:00
4.0,3.6902315868769513,1.045919772162089,6.334543401591814,2015-06-01 17:00:00-04:00
3.0,2.8020331347929233,0.15839613810080388,5.445670131485043,2015-06-01 18:00:00-04:00
3.0,2.9064032184009836,0.263205553730141,5.549600883071826,2015-06-01 19:00:00-04:00
2.0,2.9590276329050074,0.31585303664598463,5.60220222916403,2015-06-01 20:00:00-04:00
2.0,2.8959815629175782,0.25284147630902876,5.539121649526128,2015-06-01 21:00:00-04:00
2.0,2.8271089838146537,0.18396649936673493,5.470251468262573,2015-06-01 22:00:00-04:00
2.0,2.800185971306206,0.15708706974488873,5.443284872867523,2015-06-01 23:00:00-04:00
1.0,2.9034912614423494,0.2538399749998166,5.553142547884882,2015-06-02 00:00:00-04:00
2.0,2.6721340163301353,0.022490988248939914,5.321777044411331,2015-06-02 01:00:00-04:00
1.0,2.5523668236054764,-0.0972958643936388,5.202029511604591,2015-06-02 02:00:00-04:00
2.0,2.363782025544932,-0.2858557732447875,5.013419824334651,2015-06-02 03:00:00-04:00
1.0,2.440088756974811,-0.20953865746161116,5.089716171411233,2015-06-02 04:00:00-04:00
2.0,2.520441224071595,-0.1291799233182389,5.170062371461428,2015-06-02 05:00:00-04:00
1.0,2.3244327215551532,-0.32518810354731587,4.974053546657622,2015-06-02 06:00:00-04:00
2.0,2.4339231241459576,-0.21570408738184055,5.083550335673756,2015-06-02 07:00:00-04:00
2.0,3.1109431185379606,0.4611710465471468,5.760715190528774,2015-06-02 08:00:00-04:00
3.0,3.416931739841983,0.7670324104441439,6.066831069239822,2015-06-02 09:00:00-04:00
3.0,3.6960490350885618,1.0461424039871536,6.34595566618997,2015-06-02 10:00:00-04:00
3.0,3.694987857074093,1.0449210667379187,6.345054647410267,2015-06-02 11:00:00-04:00
4.0,3.55314442873423,0.9030350644302394,6.20325379303822,2015-06-02 12:00:00-04:00
3.0,3.898043443940441,1.2465609844249657,6.549525903455917,2015-06-02 13:00:00-04:00
3.0,3.6036152776165533,0.9528797243770479,6.254350830856058,2015-06-02 14:00:00-04:00
