Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
42.0,42.46471637162696,26.73585445504179,58.19357828821214,2015-06-01 00:00:00-04:00
41.0,42.004303017193976,26.27569267300656,57.73291336138139,2015-06-01 01:00:00-04:00
42.0,42.1984122820803,26.46976998243006,57.92705458173054,2015-06-01 02:00:00-04:00
40.0,41.592465482327775,25.863838957990072,57.32109200666548,2015-06-01 03:00:00-04:00
41.0,41.468705032897034,25.74007978001057,57.197330285783494,2015-06-01 04:00:00-04:00
47.0,47.26613958971045,31.537371353571935,62.99490782584896,2015-06-01 05:00:00-04:00
51.0,50.10476888279352,34.375951302907026,65.83358646268002,2015-06-01 06:00:00-04:00
59.0,57.05176970553359,41.32252188170593,72.78101752936124,2015-06-01 07:00:00-04:00
70.0,66.56966935222833,50.84036000702101,82.29897869743564,2015-06-01 08:00:00-04:00
70.0,71.62116687381054,55.89198751324386,87.35034623437721,2015-06-01 09:00:00-04:00
80.0,75.20664351858923,59.47704675609526,90.9362402810832,2015-06-01 10:00:00-04:00
81.0,76.3736215099946,60.64307235425785,92.10417066573136,2015-06-01 11:00:00-04:00
86.0,77.6476658518922,61.916441774528295,93.3788899292561,2015-06-01 12:00:00-04:00
80.0,75.93089426923272,60.197374515438526,91.66441402302692,2015-06-01 13:00:00-04:00
76.0,73.60822961602116,57.87826235176574,89.33819688027658,2015-06-01 14:00:00-04:00
78.0,72.43882066912843,56.70807448567473,88.16956685258214,2015-06-01 15:00:00-04:00
77.0,68.48007653437095,52.74668097153554,84.21347209720636,2015-06-01 16:00:00-04:00
64.0,57.92123414353522,42.18535350162769,73.65711478544276,2015-06-01 17:00:00-04:00
61.0,52.10946237454158,36.37758739989262,67.84133734919054,2015-06-01 18:00:00-04:00
58.0,49.24919966302298,33.51995880202496,64.978440524021,2015-06-01 19:00:00-04:00
55.0,48.05310231825975,32.324139719625165,63.78206491689433,2015-06-01 20:00:00-04:00
54.0,46.23340683386625,30.5045136101409,61.96230005759159,2015-06-01 21:00:00-04:00
52.0,44.373778810944586,28.64486489066367,60.1026927312255,2015-06-01 22:00:00-04:00
50.0,43.006083308783246,27.27757152550201,58.73459509206448,2015-06-01 23:00:00-04:00
31.0,37.81445494372862,22.04695441478165,53.58195547267559,2015-06-02 00:00:00-04:00
33.0,37.65757141070872,21.889456027714154,53.425686793703285,2015-06-02 01:00:00-04:00
31.0,37.622942406315424,21.854717649509276,53.39116716312157,2015-06-02 02:00:00-04:00
32.0,37.43389876647426,21.666478660139163,53.20131887280935,2015-06-02 03:00:00-04:00
45.0,44.14797162739967,28.38061296266119,59.91533029213815,2015-06-02 04:00:00-04:00
55.0,51.771157567822215,36.00383600402535,67.53847913161908,2015-06-02 05:00:00-04:00
52.0,54.07431655899347,38.30699679317577,69.84163632481118,2015-06-02 06:00:00-04:00
59.0,58.26583363552855,42.4984761030024,74.0331911680547,2015-06-02 07:00:00-04:00
69.0,65.90791181136277,50.139691607511416,81.67613201521411,2015-06-02 08:00:00-04:00
70.0,69.99087201194546,54.221894345892835,85.75984967799808,2015-06-02 09:00:00-04:00
75.0,71.80570529858689,56.036683505637285,87.57472709153649,2015-06-02 10:00:00-04:00
70.0,70.38905157514834,54.619075707336066,86.15902744296062,2015-06-02 11:00:00-04:00
75.0,70.1966071176951,54.42637659421313,85.96683764117705,2015-06-02 12:00:00-04:00
73.0,71.53569153016029,55.75727326565442,87.31410979466617,2015-06-02 13:00:00-04:00
71.0,69.62502794491917,53.85033259401899,85.39972329581934,2015-06-02 14:00:00-04:00
70.0,67.84034354663434,52.06684997334775,83.61383711992094,2015-06-02 15:00:00-04:00
72.0,65.4483738656654,49.67977588637494,81.21697184495586,2015-06-02 16:00:00-04:00
61.0,57.697133933294715,41.92837028312239,73.46589758346704,2015-06-02 17:00:00-04:00
55.0,54.932035905799594,39.16212957505209,70.7019422365471,2015-06-02 18:00:00-04:00
54.0,52.981694322758386,37.212564095751105,68.75082454976567,2015-06-02 19:00:00-04:00
52.0,51.30562511816383,35.53688432733937,67.0743659089883,2015-06-02 20:00:00-04:00
51.0,49.69354207273482,33.925653861238665,65.46143028423097,2015-06-02 21:00:00-04:00
50.0,48.572839953348236,32.8034655847157,64.34221432198078,2015-06-02 22:00:00-04:00
50.0,46.95900676513563,31.19084096957754,62.72717256069373,2015-06-02 23:00:00-04:00
33.0,37.43179473851282,21.662590383641447,53.2009990933842,2015-06-03 00:00:00-04:00
33.0,37.34814429161854,21.57978142589282,53.11650715734426,2015-06-03 01:00:00-04:00
34.0,37.716700496534,21.948448502502558,53.48495249056545,2015-06-03 02:00:00-04:00
32.0,37.258007587583705,21.490344584594986,53.025670590572425,2015-06-03 03:00:00-04:00
46.0,44.97761282617043,29.210327384997505,60.74489826734335,2015-06-03 04:00:00-04:00
55.0,51.94991837192165,36.182131844337064,67.71770489950623,2015-06-03 05:00:00-04:00
51.0,54.23983901916679,38.471843131903775,70.00783490642979,2015-06-03 06:00:00-04:00
58.0,57.481301069211845,41.712634801719155,73.24996733670454,2015-06-03 07:00:00-04:00
62.0,65.00627987694297,49.23504562791308,80.77751412597286,2015-06-03 08:00:00-04:00
70.0,68.77789133797862,53.00618766075775,84.54959501519947,2015-06-03 09:00:00-04:00
70.0,70.75898809353727,54.98635935960824,86.53161682746631,2015-06-03 10:00:00-04:00
67.0,69.36841715894494,53.59474206038102,85.14209225750885,2015-06-03 11:00:00-04:00
73.0,69.42445623246228,53.65134406291515,85.1975684020094,2015-06-03 12:00:00-04:00
67.0,69.30844539684018,53.53623712523016,85.08065366845021,2015-06-03 13:00:00-04:00
66.0,67.8192198856903,52.046850908985476,83.59158886239513,2015-06-03 14:00:00-04:00
65.0,65.6576242461605,49.88508675398509,81.4301617383359,2015-06-03 15:00:00-04:00
63.0,63.163015050236034,47.391159798748824,78.93487030172324,2015-06-03 16:00:00-04:00
56.0,55.66656548463003,39.896248672605026,71.43688229665503,2015-06-03 17:00:00-04:00
46.0,53.05473420413533,37.283145784099894,68.82632262417077,2015-06-03 18:00:00-04:00
42.0,51.41233391014348,35.639631307632285,67.18503651265468,2015-06-03 19:00:00-04:00
40.0,50.39040690512988,34.62077902425921,66.16003478600055,2015-06-03 20:00:00-04:00
41.0,49.399824517949554,33.63150700358907,65.16814203231004,2015-06-03 21:00:00-04:00
40.0,48.25296099683992,32.484659556870525,64.02126243680931,2015-06-03 22:00:00-04:00
40.0,47.047946777864325,31.279641682436207,62.816251873292444,2015-06-03 23:00:00-04:00
25.0,37.559117973128,21.793133848199208,53.32510209805679,2015-06-04 00:00:00-04:00
23.0,37.310683267909624,21.54523673399757,53.07612980182168,2015-06-04 01:00:00-04:00
24.0,37.574212205117206,21.809539136035337,53.33888527419907,2015-06-04 02:00:00-04:00
24.0,37.21684472897406,21.452356639705215,52.981332818242905,2015-06-04 03:00:00-04:00
38.0,44.26882896654529,28.504056244989776,60.03360168810081,2015-06-04 04:00:00-04:00
47.0,50.94020181127043,35.176474245294855,66.703929377246,2015-06-04 05:00:00-04:00
52.0,53.063015594899845,37.29878273631545,68.82724845348423,2015-06-04 06:00:00-04:00
58.0,56.880981752183075,41.11672386166049,72.64523964270566,2015-06-04 07:00:00-04:00
63.0,63.675484947908814,47.9101659597121,79.44080393610552,2015-06-04 08:00:00-04:00
67.0,66.76599710104888,50.99977681535394,82.53221738674382,2015-06-04 09:00:00-04:00
