Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
83.0,65.34686654557225,30.655928021387318,100.03780506975718,2015-06-01 00:00:00-04:00
74.0,61.186036544259785,26.495660470541033,95.87641261797853,2015-06-01 01:00:00-04:00
76.0,58.85202367430433,24.161909817752907,93.54213753085574,2015-06-01 02:00:00-04:00
77.0,56.38858345515137,21.698491401301204,91.07867550900153,2015-06-01 03:00:00-04:00
69.0,54.55947700526462,19.869391908172524,89.24956210235672,2015-06-01 04:00:00-04:00
57.0,53.907220537043095,19.216817626048496,88.5976234480377,2015-06-01 05:00:00-04:00
54.0,53.6949624994127,19.004454990548602,88.3854700082768,2015-06-01 06:00:00-04:00
52.0,51.98226138177656,17.290785557255106,86.67373720629801,2015-06-01 07:00:00-04:00
72.0,51.1502699090288,16.458318902403292,85.84222091565431,2015-06-01 08:00:00-04:00
58.0,51.395281410525406,16.70367091392604,86.08689190712477,2015-06-01 09:00:00-04:00
72.0,53.23675531557169,18.5445350172632,87.92897561388018,2015-06-01 10:00:00-04:00
60.0,54.19974061794088,19.505788026162428,88.89369320971934,2015-06-01 11:00:00-04:00
72.0,56.16762216930484,21.472198708835762,90.86304562977392,2015-06-01 12:00:00-04:00
55.0,55.819793804353885,21.119020851233067,90.52056675747471,2015-06-01 13:00:00-04:00
71.0,58.65596414379525,23.962933550814817,93.3489947367757,2015-06-01 14:00:00-04:00
55.0,59.094536513713855,24.3997622523229,93.78931077510481,2015-06-01 15:00:00-04:00
65.0,56.275669693331444,21.575005423329713,90.97633396333318,2015-06-01 16:00:00-04:00
52.0,57.60164376800285,22.895509497871316,92.30777803813439,2015-06-01 17:00:00-04:00
64.0,62.803337625425534,28.106048038828824,97.50062721202224,2015-06-01 18:00:00-04:00
55.0,66.04061854058185,31.34882854297581,100.73240853818788,2015-06-01 19:00:00-04:00
74.0,72.25524747129748,37.564069208825586,106.94642573376937,2015-06-01 20:00:00-04:00
63.0,75.50284992442758,40.812464386319576,110.19323546253558,2015-06-01 21:00:00-04:00
60.0,74.89484323731546,40.204430742269224,109.58525573236169,2015-06-01 22:00:00-04:00
64.0,71.82641568437487,37.136585549891464,106.51624581885827,2015-06-01 23:00:00-04:00
67.0,65.57000794968769,30.79300985269697,100.34700604667842,2015-06-02 00:00:00-04:00
56.0,62.77969130540843,28.002793386031513,97.55658922478534,2015-06-02 01:00:00-04:00
56.0,63.778066437515754,29.000903774264437,98.55522910076706,2015-06-02 02:00:00-04:00
56.0,62.11631505738803,27.339480321857373,96.89314979291868,2015-06-02 03:00:00-04:00
55.0,61.428717553126866,26.652042436605235,96.20539266964849,2015-06-02 04:00:00-04:00
56.0,61.00391229003808,26.227313403717126,95.78051117635903,2015-06-02 05:00:00-04:00
54.0,57.92106748043535,23.144468049808765,92.69766691106193,2015-06-02 06:00:00-04:00
51.0,55.579408995541804,20.802711339362,90.3561066517216,2015-06-02 07:00:00-04:00
53.0,54.27619950820131,19.49757986601864,89.05481915038398,2015-06-02 08:00:00-04:00
51.0,54.62468487242517,19.844347704074295,89.40502204077605,2015-06-02 09:00:00-04:00
52.0,55.42289566937013,20.644038551454393,90.20175278728587,2015-06-02 10:00:00-04:00
