Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
29.0,35.44975065569773,25.996884418369397,44.90261689302606,2015-06-01 00:00:00-04:00
29.0,32.52513243573203,23.072417218626377,41.97784765283769,2015-06-01 01:00:00-04:00
30.0,30.80360165632146,21.35095575087926,40.256247561763665,2015-06-01 02:00:00-04:00
29.0,29.033659738856485,19.581020288257033,38.486299189455934,2015-06-01 03:00:00-04:00
29.0,28.3654744669284,18.912836529853955,37.81811240400285,2015-06-01 04:00:00-04:00
30.0,27.790621520582057,18.337723714746808,37.24351932641731,2015-06-01 05:00:00-04:00
29.0,28.049031309936588,18.596105685665933,37.50195693420724,2015-06-01 06:00:00-04:00
30.0,28.979871592831092,19.526945875898384,38.4327973097638,2015-06-01 07:00:00-04:00
29.0,29.74413738446906,20.291087471518743,39.197187297419376,2015-06-01 08:00:00-04:00
30.0,29.606653334779555,20.153602012115485,39.059704657443625,2015-06-01 09:00:00-04:00
31.0,30.65460291652879,21.201386063505907,40.107819769551675,2015-06-01 10:00:00-04:00
28.0,32.54689266554292,23.092938614330823,42.00084671675502,2015-06-01 11:00:00-04:00
28.0,33.856073476006536,24.40162437760311,43.31052257440996,2015-06-01 12:00:00-04:00
26.0,33.63974428768898,24.184107830969374,43.09538074440858,2015-06-01 13:00:00-04:00
27.0,35.356197156606335,25.902576010202626,44.80981830301005,2015-06-01 14:00:00-04:00
27.0,35.24529377094968,25.791104558374478,44.69948298352488,2015-06-01 15:00:00-04:00
26.0,36.21954616253839,26.763941477447474,45.67515084762931,2015-06-01 16:00:00-04:00
25.0,35.357369942330024,25.900278555078557,44.81446132958149,2015-06-01 17:00:00-04:00
26.0,36.29223004805201,26.837540854662087,45.74691924144194,2015-06-01 18:00:00-04:00
27.0,36.55559234161288,27.102494025574508,46.00869065765125,2015-06-01 19:00:00-04:00
27.0,38.634666319347005,29.181652511289574,48.08768012740444,2015-06-01 20:00:00-04:00
26.0,39.25768251913125,29.804791744860424,48.71057329340208,2015-06-01 21:00:00-04:00
27.0,38.49118978805106,29.038373028218807,47.94400654788331,2015-06-01 22:00:00-04:00
