Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
12.0,11.793474644706125,9.626663476010107,13.960285813402143,2016-06-01 15:00:00-04:00
12.0,11.964123328641117,9.797417916807934,14.1308287404743,2016-06-01 16:00:00-04:00
13.0,11.983961567328087,9.817324759898167,14.150598374758008,2016-06-01 17:00:00-04:00
12.0,12.019392052234377,9.852612495059006,14.186171609409747,2016-06-01 18:00:00-04:00
12.0,11.96595662959659,9.799225730922759,14.132687528270422,2016-06-01 19:00:00-04:00
11.0,11.998049439968351,9.831695373466198,14.164403506470505,2016-06-01 20:00:00-04:00
7.0,12.076342163205565,9.910018314553433,14.242666011857697,2016-06-01 21:00:00-04:00
8.0,12.021542340820474,9.85519472670575,14.187889954935198,2016-06-01 22:00:00-04:00
8.0,12.047203534085437,9.880650966555082,14.213756101615791,2016-06-01 23:00:00-04:00
8.0,12.195801143214403,10.029752572470132,14.361849713958675,2016-06-02 00:00:00-04:00
7.0,12.194086537763885,10.028138640630909,14.360034434896862,2016-06-02 01:00:00-04:00
8.0,12.255844480754142,10.09027176331819,14.421417198190094,2016-06-02 02:00:00-04:00
8.0,12.262169523455693,10.096642117196241,14.427696929715145,2016-06-02 03:00:00-04:00
7.0,12.097229820191929,9.931701861849222,14.262757778534636,2016-06-02 04:00:00-04:00
8.0,12.03422995548344,9.868730311065004,14.199729599901875,2016-06-02 05:00:00-04:00
11.0,12.125570670885274,9.960091368761969,14.29104997300858,2016-06-02 06:00:00-04:00
12.0,11.841562265303484,9.676008949427004,14.007115581179963,2016-06-02 07:00:00-04:00
12.0,11.853198121305208,9.687519482292082,14.018876760318335,2016-06-02 08:00:00-04:00
11.0,11.84460001430061,9.678727940275554,14.010472088325667,2016-06-02 09:00:00-04:00
10.0,11.88623250069617,9.71968930910387,14.05277569228847,2016-06-02 10:00:00-04:00
5.0,11.654309566756831,9.487735090008917,13.820884043504746,2016-06-02 11:00:00-04:00
13.0,11.720556802856388,9.554094479655975,13.887019126056801,2016-06-02 12:00:00-04:00
10.0,11.855617089297636,9.689419004862845,14.021815173732428,2016-06-02 13:00:00-04:00
0.0,11.618066185739961,9.451501875546425,13.784630495933497,2016-06-02 14:00:00-04:00
9.0,11.950300744627475,9.783383675348606,14.117217813906343,2016-06-02 15:00:00-04:00
12.0,11.792863398794305,9.625820129313839,13.95990666827477,2016-06-02 16:00:00-04:00
13.0,12.046956213421787,9.880750352056353,14.21316207478722,2016-06-02 17:00:00-04:00
13.0,11.938188217855377,9.772125556224038,14.104250879486715,2016-06-02 20:00:00-04:00
13.0,12.515822409974614,10.349657514510461,14.681987305438767,2016-06-02 21:00:00-04:00
14.0,12.227315332105452,10.061546318311242,14.393084345899661,2016-06-02 22:00:00-04:00
13.0,12.191207241770018,10.025521556443575,14.35689292709646,2016-06-02 23:00:00-04:00
13.0,12.476871530834238,10.31166992666096,14.642073135007516,2016-06-03 00:00:00-04:00
13.0,12.329431479565748,10.16424961027494,14.494613348856557,2016-06-03 01:00:00-04:00
13.0,12.480341264519701,10.315153241662575,14.645529287376828,2016-06-03 02:00:00-04:00
13.0,12.411489844393582,10.246301274620865,14.576678414166299,2016-06-03 03:00:00-04:00
14.0,12.306793238369748,10.141571266620256,14.47201521011924,2016-06-03 04:00:00-04:00
13.0,12.189905798060204,10.02468871941912,14.355122876701289,2016-06-03 05:00:00-04:00
13.0,12.205234536874034,10.040003857728411,14.370465216019657,2016-06-03 06:00:00-04:00
14.0,11.925975385578303,9.760911759583225,14.09103901157338,2016-06-03 07:00:00-04:00
13.0,11.936132959826171,9.770293330166636,14.101972589485706,2016-06-03 08:00:00-04:00
12.0,11.939797891318383,9.77391815096241,14.105677631674356,2016-06-03 09:00:00-04:00
12.0,11.921728670356995,9.756182390173015,14.087274950540975,2016-06-03 10:00:00-04:00
12.0,11.837161952016286,9.67150492566374,14.002818978368833,2016-06-03 11:00:00-04:00
13.0,11.89199164125306,9.726135586614463,14.057847695891658,2016-06-03 12:00:00-04:00
12.0,11.903614310844171,9.737562500771618,14.069666120916724,2016-06-03 13:00:00-04:00
13.0,11.993579765883629,9.827170867221684,14.159988664545574,2016-06-03 14:00:00-04:00
12.0,11.952761556614178,9.786187389343482,14.119335723884873,2016-06-03 15:00:00-04:00
12.0,12.010660746187074,9.84469694150955,14.176624550864599,2016-06-03 16:00:00-04:00
