Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
244.0,289.00206308074803,220.1494713041456,357.85465485735045,2016-06-01 15:00:00-04:00
272.0,294.3982898810579,225.54905863453283,363.247521127583,2016-06-01 16:00:00-04:00
285.0,296.07395026604667,227.22689899304214,364.9210015390512,2016-06-01 17:00:00-04:00
279.0,295.623439416119,226.77185212719786,364.4750267050402,2016-06-01 18:00:00-04:00
277.0,280.02092256777814,211.17088145140366,348.8709636841526,2016-06-01 19:00:00-04:00
266.0,268.97468873626565,200.13662183899237,337.8127556335389,2016-06-01 20:00:00-04:00
262.0,261.8387647614602,193.00165806659032,330.67587145633007,2016-06-01 21:00:00-04:00
256.0,252.82340263687382,183.98554077066376,321.6612645030839,2016-06-01 22:00:00-04:00
253.0,246.76391302236226,177.91953855640952,315.608287488315,2016-06-01 23:00:00-04:00
164.0,140.31088210628207,71.48252264222253,209.1392415703416,2016-06-02 00:00:00-04:00
160.0,133.91820539975805,65.09304494037474,202.74336585914136,2016-06-02 01:00:00-04:00
160.0,131.76139446170617,62.948155712389394,200.57463321102296,2016-06-02 02:00:00-04:00
159.0,128.0839730252485,59.27217408387787,196.89577196661912,2016-06-02 03:00:00-04:00
161.0,155.84344372295672,87.03162723858853,224.65526020732491,2016-06-02 04:00:00-04:00
189.0,244.042468558958,175.23155177784855,312.85338534006746,2016-06-02 05:00:00-04:00
250.0,261.15519587336746,192.34492548902875,329.96546625770617,2016-06-02 06:00:00-04:00
252.0,264.8083636385362,195.99574139317394,333.62098588389847,2016-06-02 07:00:00-04:00
216.0,266.52615813125743,197.7095536179004,335.3427626446145,2016-06-02 08:00:00-04:00
294.0,272.31600878759235,203.49325768328907,341.13875989189563,2016-06-02 09:00:00-04:00
338.0,277.9651011621764,209.1210246260316,346.80917769832115,2016-06-02 10:00:00-04:00
314.0,273.98892756945537,205.14385691620464,342.8339982227061,2016-06-02 11:00:00-04:00
304.0,282.0594235660178,213.2179167038966,350.900930428139,2016-06-02 12:00:00-04:00
277.0,284.77060507440916,215.93749466331417,353.60371548550415,2016-06-02 13:00:00-04:00
288.0,294.57957029319005,225.7348226923716,363.4243178940085,2016-06-02 14:00:00-04:00
294.0,297.33440866809104,228.47845179456405,366.190365541618,2016-06-02 15:00:00-04:00
294.0,301.9810498885667,233.12108287742905,370.84101689970436,2016-06-02 16:00:00-04:00
299.0,297.71522971660613,228.88187218576275,366.5485872474495,2016-06-02 17:00:00-04:00
217.0,259.2231012535543,190.3942940374668,328.05190846964183,2016-06-02 20:00:00-04:00
215.0,263.04408523253335,194.21202943417057,331.8761410308961,2016-06-02 21:00:00-04:00
