Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
5.0,31.434276567162613,13.227931922391559,49.64062121193366,2016-06-02 13:00:00-04:00
6.0,32.0222832093053,13.812870679433743,50.23169573917686,2016-06-02 14:00:00-04:00
7.0,32.05075633089777,13.838378455592544,50.26313420620299,2016-06-02 15:00:00-04:00
12.0,32.59118053294078,14.377728839118998,50.804632226762564,2016-06-02 16:00:00-04:00
13.0,31.29789836727545,13.091497474729145,49.50429925982176,2016-06-02 17:00:00-04:00
25.0,31.215092965788216,13.009883658079602,49.42030227349683,2016-06-02 20:00:00-04:00
24.0,31.380958233787155,13.174896162357996,49.58702030521631,2016-06-02 21:00:00-04:00
24.0,30.812425193889425,12.609689149073013,49.015161238705836,2016-06-02 22:00:00-04:00
24.0,31.033838955703274,12.831812852406614,49.235865058999934,2016-06-02 23:00:00-04:00
25.0,31.635701992366975,13.437737392609034,49.833666592124914,2016-06-03 00:00:00-04:00
25.0,32.24268415551933,14.044888243788623,50.440480067250036,2016-06-03 01:00:00-04:00
24.0,32.93504080971252,14.737195143048275,51.13288647637676,2016-06-03 02:00:00-04:00
24.0,31.922776546184892,13.724929597001523,50.120623495368264,2016-06-03 03:00:00-04:00
25.0,32.04306493799807,13.844937730454394,50.241192145541746,2016-06-03 04:00:00-04:00
24.0,31.47303045791101,13.274945942512144,49.67111497330987,2016-06-03 05:00:00-04:00
24.0,32.1669775351272,13.968773120274292,50.36518194998011,2016-06-03 06:00:00-04:00
22.0,31.744893444294405,13.548097037404975,49.94168985118384,2016-06-03 07:00:00-04:00
6.0,31.361392106554547,13.158075919615033,49.564708293494064,2016-06-03 08:00:00-04:00
5.0,31.176761501111287,12.973103313798205,49.38041968842437,2016-06-03 09:00:00-04:00
6.0,31.513410988880224,13.312561286685984,49.714260691074465,2016-06-03 10:00:00-04:00
5.0,31.426971382435028,13.225187783055102,49.62875498181495,2016-06-03 11:00:00-04:00
5.0,31.70454326786367,13.501089154218953,49.90799738150839,2016-06-03 12:00:00-04:00
6.0,32.530014926370754,14.324925643305537,50.735104209435974,2016-06-03 13:00:00-04:00
5.0,31.466051530561046,13.257965468785514,49.67413759233658,2016-06-03 14:00:00-04:00
10.0,30.84625674905827,12.63678322165482,49.055730276461716,2016-06-03 15:00:00-04:00
23.0,31.378932929067233,13.174576276995367,49.5832895811391,2016-06-03 16:00:00-04:00
36.0,31.14376750919702,12.936166390711172,49.35136862768287,2016-06-03 17:00:00-04:00
41.0,31.510409629680524,13.306061693563446,49.7147575657976,2016-06-03 18:00:00-04:00
41.0,31.537829784249993,13.33666187593088,49.73899769256911,2016-06-03 19:00:00-04:00
41.0,30.380806302425867,12.182687181419293,48.57892542343244,2016-06-03 20:00:00-04:00
40.0,30.76487599028924,12.56685520280545,48.96289677777303,2016-06-03 21:00:00-04:00
40.0,30.417541133264137,12.219022217937844,48.61606004859043,2016-06-03 22:00:00-04:00
41.0,31.19825749482355,12.996997150297815,49.399517839349286,2016-06-03 23:00:00-04:00
41.0,31.61755231108691,13.418297812202361,49.81680680997146,2016-06-04 00:00:00-04:00
41.0,32.695739674708065,14.497546447527835,50.89393290188829,2016-06-04 01:00:00-04:00
41.0,32.44492229493696,14.246735009802244,50.64310958007167,2016-06-04 02:00:00-04:00
41.0,31.636079106793687,13.438427818597614,49.83373039498976,2016-06-04 03:00:00-04:00
40.0,31.579284149099166,13.381666793597986,49.776901504600346,2016-06-04 04:00:00-04:00
40.0,30.846490992158138,12.648935815908853,49.04404616840742,2016-06-04 05:00:00-04:00
42.0,32.25506856082403,14.057476521751045,50.452660599897015,2016-06-04 06:00:00-04:00
40.0,31.62022840689717,13.422118933330832,49.8183378804635,2016-06-04 07:00:00-04:00
41.0,31.30722258515317,13.10445743973899,49.509987730567346,2016-06-04 08:00:00-04:00
40.0,31.24085792281805,13.0382589789874,49.4434568666487,2016-06-04 09:00:00-04:00
40.0,31.543557446331775,13.343621944354236,49.74349294830931,2016-06-04 10:00:00-04:00
40.0,31.21026656287674,13.010772702698834,49.40976042305465,2016-06-04 11:00:00-04:00
41.0,31.502678295172274,13.301703530778532,49.703653059566015,2016-06-04 12:00:00-04:00
40.0,30.77003956595118,12.560332624653949,48.97974650724841,2016-06-04 13:00:00-04:00
40.0,31.67342460543354,13.473543051390212,49.87330615947687,2016-06-04 14:00:00-04:00
41.0,31.777042166943062,13.569718948201075,49.98436538568505,2016-06-04 15:00:00-04:00
40.0,30.883639319490783,12.674311602113242,49.09296703686832,2016-06-04 16:00:00-04:00
41.0,31.768785139922883,13.565945928106565,49.9716243517392,2016-06-04 17:00:00-04:00
40.0,32.05231687674721,13.84974736561226,50.254886387882166,2016-06-04 18:00:00-04:00
40.0,31.06255824760082,12.861374531750403,49.26374196345124,2016-06-04 19:00:00-04:00
41.0,31.784087424565,13.585952787087223,49.98222206204278,2016-06-04 20:00:00-04:00
40.0,31.012617520161754,12.81422273343096,49.21101230689255,2016-06-04 21:00:00-04:00
41.0,32.09941136575807,13.892256346373728,50.30656638514242,2016-06-04 22:00:00-04:00
40.0,32.55107329174885,14.354809038684806,50.74733754481289,2016-06-04 23:00:00-04:00
41.0,31.890213567241304,13.697413388857658,50.08301374562495,2016-06-05 00:00:00-04:00
41.0,32.06414347631542,13.872417053715509,50.255869898915336,2016-06-05 01:00:00-04:00
41.0,32.04996725141599,13.854509695234082,50.2454248075979,2016-06-05 02:00:00-04:00
40.0,31.843977732113316,13.651741165754526,50.0362142984721,2016-06-05 03:00:00-04:00
41.0,31.806530172521178,13.614626971876035,49.99843337316632,2016-06-05 04:00:00-04:00
41.0,31.952582337451503,13.75947243001643,50.145692244886575,2016-06-05 05:00:00-04:00
40.0,31.609521240145654,13.417738933794496,49.80130354649681,2016-06-05 06:00:00-04:00
41.0,31.147314665867313,12.95416630749348,49.340463024241146,2016-06-05 07:00:00-04:00
40.0,31.922976327571703,13.723670189093788,50.12228246604962,2016-06-05 08:00:00-04:00
40.0,32.331009778137314,14.131657600713492,50.53036195556113,2016-06-05 09:00:00-04:00
40.0,32.47818929133982,14.280970700724101,50.675407881955536,2016-06-05 10:00:00-04:00
40.0,32.712706274356165,14.512596914257042,50.912815634455285,2016-06-05 11:00:00-04:00
41.0,33.869152602107675,15.663015737775964,52.075289466439386,2016-06-05 12:00:00-04:00
40.0,33.4290651023348,15.229585415962525,51.62854478870708,2016-06-05 13:00:00-04:00
40.0,33.515393515357886,15.311388145210575,51.7193988855052,2016-06-05 14:00:00-04:00
41.0,34.50700255960906,16.31026473220907,52.703740387009056,2016-06-05 15:00:00-04:00
39.0,33.264756316261995,15.067710273381337,51.46180235914265,2016-06-05 16:00:00-04:00
41.0,32.5725739310699,14.375888326356652,50.76925953578314,2016-06-05 17:00:00-04:00
40.0,32.676247622845324,14.479400656004337,50.87309458968631,2016-06-05 18:00:00-04:00
39.0,32.45071496098255,14.254809947762617,50.64661997420249,2016-06-05 19:00:00-04:00
41.0,32.843846564371674,14.646673131186528,51.041019997556816,2016-06-05 20:00:00-04:00
41.0,32.62846226864475,14.434460446606309,50.8224640906832,2016-06-05 21:00:00-04:00
40.0,33.18562132838308,14.992107918593476,51.37913473817268,2016-06-05 22:00:00-04:00
40.0,32.56903774406618,14.374764813777997,50.76331067435436,2016-06-05 23:00:00-04:00
41.0,32.13681104589652,13.991027085229803,50.28259500656324,2016-06-06 00:00:00-04:00
40.0,32.44344799747036,14.299119787918475,50.587776207022245,2016-06-06 01:00:00-04:00
40.0,32.47417358352085,14.32993096048775,50.61841620655395,2016-06-06 02:00:00-04:00
41.0,32.40920886729549,14.26467942667021,50.55373830792077,2016-06-06 03:00:00-04:00
41.0,32.24202881359213,14.097630151756974,50.38642747542728,2016-06-06 04:00:00-04:00
39.0,32.14987178902524,14.004756238512591,50.29498733953789,2016-06-06 05:00:00-04:00
41.0,32.140358147286065,13.995274276406036,50.285442018166094,2016-06-06 06:00:00-04:00
41.0,31.90326867808207,13.758144093655599,50.04839326250854,2016-06-06 07:00:00-04:00
40.0,32.688273605613176,14.542510043937156,50.834037167289196,2016-06-06 08:00:00-04:00
41.0,33.561598893505874,15.416899748355863,51.70629803865589,2016-06-06 09:00:00-04:00
41.0,33.70780088697816,15.562726803285067,51.85287497067126,2016-06-06 10:00:00-04:00
42.0,33.65131879690661,15.50583608492311,51.796801508890105,2016-06-06 11:00:00-04:00
43.0,33.64288805688355,15.497896570490642,51.78787954327646,2016-06-06 12:00:00-04:00
43.0,34.04474743613778,15.89901502430843,52.19047984796714,2016-06-06 13:00:00-04:00
39.0,33.688114838303306,15.542404409152486,51.83382526745413,2016-06-06 14:00:00-04:00
39.0,34.43744816815013,16.291859698718266,52.58303663758198,2016-06-06 15:00:00-04:00
37.0,33.9744865566489,15.828756315565947,52.12021679773185,2016-06-06 16:00:00-04:00
38.0,33.950657135732655,15.80364357594586,52.097670695519454,2016-06-06 17:00:00-04:00
38.0,33.7236073202733,15.578163602206534,51.869051038340075,2016-06-06 18:00:00-04:00
38.0,34.29940108342922,16.153954274271022,52.44484789258741,2016-06-06 19:00:00-04:00
38.0,33.20873563434185,15.063515085160741,51.35395618352295,2016-06-06 20:00:00-04:00
37.0,33.29663710032544,15.15180301399069,51.441471186660195,2016-06-06 21:00:00-04:00
38.0,33.25922027774506,15.11402901704346,51.40441153844665,2016-06-06 22:00:00-04:00
39.0,33.28361288943216,15.139012538850125,51.4282132400142,2016-06-06 23:00:00-04:00
39.0,34.45823413277307,16.249807448988598,52.666660816557545,2016-06-07 00:00:00-04:00
39.0,33.52674504783681,15.318355802840806,51.73513429283282,2016-06-07 01:00:00-04:00
