Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
11.0,14.73372324382347,9.934153492391204,19.533292995255735,2016-06-02 17:00:00-04:00
3.0,13.334630946759402,8.53537348897498,18.133888404543825,2016-06-02 20:00:00-04:00
3.0,13.349262266830273,8.549780517920725,18.148744015739823,2016-06-02 21:00:00-04:00
3.0,13.172486798195719,8.373881672240927,17.97109192415051,2016-06-02 22:00:00-04:00
2.0,13.149973070303245,8.351555759981661,17.94839038062483,2016-06-02 23:00:00-04:00
3.0,7.303130814463737,2.5057838012626146,12.100477827664859,2016-06-03 00:00:00-04:00
3.0,7.1142040549860175,2.316901726558368,11.911506383413666,2016-06-03 01:00:00-04:00
3.0,7.214747925893529,2.4174325537090615,12.012063298077997,2016-06-03 02:00:00-04:00
3.0,7.060269062779277,2.262953539998457,11.857584585560097,2016-06-03 03:00:00-04:00
3.0,8.900647919368051,4.103258707661223,13.69803713107488,2016-06-03 04:00:00-04:00
3.0,12.920698452170244,8.123320631615861,17.718076272724627,2016-06-03 05:00:00-04:00
3.0,13.314986547906255,8.517577025398673,18.112396070413837,2016-06-03 06:00:00-04:00
2.0,13.435517545150221,8.638478549472177,18.232556540828263,2016-06-03 07:00:00-04:00
7.0,13.573446209606454,8.774689108345836,18.37220331086707,2016-06-03 08:00:00-04:00
13.0,13.694421504656987,8.895572573311213,18.49327043600276,2016-06-03 09:00:00-04:00
12.0,13.848770007419185,9.050661438256485,18.646878576581884,2016-06-03 10:00:00-04:00
13.0,13.915123155778558,9.11676678433884,18.713479527218276,2016-06-03 11:00:00-04:00
12.0,14.380296958373487,9.581500574717278,19.179093342029695,2016-06-03 12:00:00-04:00
16.0,14.009239821905938,9.21001730189111,18.808462341920766,2016-06-03 13:00:00-04:00
15.0,14.08743649502707,9.287423721747508,18.887449268306632,2016-06-03 14:00:00-04:00
14.0,13.875456445371572,9.075075513647743,18.6758373770954,2016-06-03 15:00:00-04:00
14.0,14.076659477970056,9.277626090300583,18.87569286563953,2016-06-03 16:00:00-04:00
13.0,14.227576090097367,9.427681634216675,19.02747054597806,2016-06-03 17:00:00-04:00
13.0,13.933241491636768,9.134213894674886,18.73226908859865,2016-06-03 18:00:00-04:00
14.0,13.959985580132464,9.161794734958,18.758176425306928,2016-06-03 19:00:00-04:00
13.0,13.317291119381514,8.519904346763646,18.11467789199938,2016-06-03 20:00:00-04:00
14.0,13.04159119231006,8.244230630918087,17.838951753702034,2016-06-03 21:00:00-04:00
13.0,13.14108169158111,8.343589045704011,17.93857433745821,2016-06-03 22:00:00-04:00
13.0,13.035466670239591,8.237251500396347,17.833681840082836,2016-06-03 23:00:00-04:00
14.0,7.4654074561155035,2.6677210952152537,12.263093817015754,2016-06-04 00:00:00-04:00
13.0,7.238513105987384,2.441107491409097,12.035918720565672,2016-06-04 01:00:00-04:00
14.0,7.369441632286471,2.5720367583571955,12.166846506215748,2016-06-04 02:00:00-04:00
13.0,7.36950813102358,2.5722444534814324,12.166771808565727,2016-06-04 03:00:00-04:00
13.0,8.91183933970996,4.114584578203575,13.709094101216346,2016-06-04 04:00:00-04:00
14.0,12.558845232739152,7.761606773936262,17.356083691542043,2016-06-04 05:00:00-04:00
13.0,12.778430074390473,7.981182286983125,17.57567786179782,2016-06-04 06:00:00-04:00
14.0,12.683191178292596,7.885806950649268,17.480575405935923,2016-06-04 07:00:00-04:00
13.0,12.80027392534973,8.001661414514832,17.598886436184628,2016-06-04 08:00:00-04:00
13.0,12.833343042033034,8.034774137205336,17.631911946860733,2016-06-04 09:00:00-04:00
14.0,13.393607600181396,8.595739800392252,18.19147539997054,2016-06-04 10:00:00-04:00
13.0,13.434318883411574,8.636566839729852,18.232070927093297,2016-06-04 11:00:00-04:00
13.0,13.40393899371475,8.60579870441016,18.202079283019337,2016-06-04 12:00:00-04:00
14.0,13.15586793184854,8.355422598176325,17.956313265520755,2016-06-04 13:00:00-04:00
13.0,13.5949878051958,8.797133355430201,18.392842254961398,2016-06-04 14:00:00-04:00
