Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
34.0,35.46491478137862,20.673793756615005,50.25603580614223,2015-06-01 00:00:00-04:00
33.0,33.55477951399657,18.763893085056086,48.34566594293706,2015-06-01 01:00:00-04:00
34.0,33.78629757704478,18.99524675913198,48.577348394957575,2015-06-01 02:00:00-04:00
31.0,39.55814528868724,24.767107434182062,54.34918314319242,2015-06-01 03:00:00-04:00
34.0,43.17585323316052,28.38495278495205,57.966753681368985,2015-06-01 04:00:00-04:00
63.0,48.58871677569023,33.79768269333958,63.37975085804088,2015-06-01 05:00:00-04:00
78.0,56.592359184142296,41.80127946643475,71.38343890184984,2015-06-01 06:00:00-04:00
84.0,63.633974631786295,48.84262370333207,78.42532556024051,2015-06-01 07:00:00-04:00
96.0,70.9264496103764,56.13504109334759,85.71785812740521,2015-06-01 08:00:00-04:00
98.0,74.36673043844362,59.575317638950175,89.15814323793707,2015-06-01 09:00:00-04:00
99.0,76.0280159866922,61.2362147284292,90.81981724495519,2015-06-01 10:00:00-04:00
98.0,81.61319791027755,66.82051250149239,96.40588331906271,2015-06-01 11:00:00-04:00
96.0,82.34895439491169,67.5556482790864,97.14226051073697,2015-06-01 12:00:00-04:00
97.0,80.36835037913862,65.57289835274553,95.16380240553171,2015-06-01 13:00:00-04:00
96.0,81.58941146287634,66.79712554810625,96.38169737764643,2015-06-01 14:00:00-04:00
84.0,73.2428308450045,58.44966904664303,88.03599264336597,2015-06-01 15:00:00-04:00
86.0,70.35581464644861,55.56017364039111,85.1514556525061,2015-06-01 16:00:00-04:00
77.0,57.9760914141136,43.17823528629337,72.77394754193382,2015-06-01 17:00:00-04:00
45.0,49.116513476904814,34.32241055280747,63.91061640100216,2015-06-01 18:00:00-04:00
36.0,43.10420213297526,28.31258106179392,57.8958232041566,2015-06-01 19:00:00-04:00
37.0,42.10310836788239,27.311478721863175,56.89473801390161,2015-06-01 20:00:00-04:00
33.0,40.477197551711505,25.685640440253454,55.26875466316956,2015-06-01 21:00:00-04:00
32.0,35.85351968937475,21.062205778334096,50.6448336004154,2015-06-01 22:00:00-04:00
30.0,34.49847668960942,19.707541072066128,49.28941230715271,2015-06-01 23:00:00-04:00
30.0,33.879078682280245,19.05147537046511,48.706681994095376,2015-06-02 00:00:00-04:00
28.0,33.5620161970262,18.734458893981305,48.3895735000711,2015-06-02 01:00:00-04:00
29.0,33.169540976621434,18.34125437122687,47.997827582016,2015-06-02 02:00:00-04:00
28.0,34.58465665507141,19.75649778565633,49.4128155244865,2015-06-02 03:00:00-04:00
28.0,42.08642657816685,27.25827632887649,56.91457682745721,2015-06-02 04:00:00-04:00
58.0,51.688226804403826,36.86011009053444,66.5163435182732,2015-06-02 05:00:00-04:00
66.0,58.22577050786306,43.39765478265138,73.05388623307473,2015-06-02 06:00:00-04:00
76.0,63.51166167729989,48.68350717490542,78.33981617969437,2015-06-02 07:00:00-04:00
79.0,68.9412797038638,54.11299968154677,83.76955972618083,2015-06-02 08:00:00-04:00
82.0,71.6568703184759,56.82787723133611,86.48586340561569,2015-06-02 09:00:00-04:00
76.0,70.20456266468196,55.375528337283825,85.03359699208009,2015-06-02 10:00:00-04:00
83.0,71.77773526502178,56.94780405744855,86.607666472595,2015-06-02 11:00:00-04:00
77.0,71.61710350228157,56.78693443142787,86.44727257313525,2015-06-02 12:00:00-04:00
82.0,74.36729734807712,59.52944048187068,89.20515421428355,2015-06-02 13:00:00-04:00
91.0,77.71827503136475,62.883923546684706,92.5526265160448,2015-06-02 14:00:00-04:00
74.0,69.65000084774752,54.816774178515715,84.48322751697933,2015-06-02 15:00:00-04:00
69.0,65.97217071360464,51.1435352449172,80.80080618229208,2015-06-02 16:00:00-04:00
61.0,57.473407071064585,42.64461604249723,72.30219809963194,2015-06-02 17:00:00-04:00
39.0,46.860987185682376,32.03112539932175,61.690848972043,2015-06-02 18:00:00-04:00
37.0,43.21471685650921,28.385609529767564,58.04382418325086,2015-06-02 19:00:00-04:00
32.0,40.913287275474474,26.08517163673683,55.74140291421212,2015-06-02 20:00:00-04:00
31.0,38.774315924945924,23.946350124646038,53.60228172524581,2015-06-02 21:00:00-04:00
28.0,32.99269652741461,18.163334256901713,47.822058797927504,2015-06-02 22:00:00-04:00
27.0,31.641373914919264,16.81314825236364,46.46959957747489,2015-06-02 23:00:00-04:00
26.0,30.971110266384585,16.142535504698003,45.79968502807117,2015-06-03 00:00:00-04:00
25.0,31.007383978425935,16.179597588700076,45.83517036815179,2015-06-03 01:00:00-04:00
25.0,30.167881703243886,15.33894568267164,44.99681772381613,2015-06-03 02:00:00-04:00
23.0,31.553295290447338,16.724293677736757,46.38229690315792,2015-06-03 03:00:00-04:00
24.0,38.47749082103803,23.648876291365383,53.30610535071068,2015-06-03 04:00:00-04:00
51.0,47.4943661050272,32.664599823913775,62.32413238614062,2015-06-03 05:00:00-04:00
56.0,53.412602527345214,38.58388900360842,68.24131605108201,2015-06-03 06:00:00-04:00
61.0,58.578258557992854,43.74956217269954,73.40695494328617,2015-06-03 07:00:00-04:00
65.0,63.766125398714905,48.935014219888956,78.59723657754085,2015-06-03 08:00:00-04:00
67.0,64.6632649002386,49.83108263155792,79.49544716891928,2015-06-03 09:00:00-04:00
63.0,64.01341195828462,49.18034631236958,78.84647760419966,2015-06-03 10:00:00-04:00
65.0,65.22175657961695,50.38835110279622,80.05516205643768,2015-06-03 11:00:00-04:00
62.0,63.883476222817464,49.050601293562494,78.71635115207243,2015-06-03 12:00:00-04:00
65.0,63.4907468394368,48.65872249008572,78.32277118878788,2015-06-03 13:00:00-04:00
70.0,61.775262656080315,46.94375911445077,76.60676619770986,2015-06-03 14:00:00-04:00
55.0,55.83023919632365,40.99925351241485,70.66122488023245,2015-06-03 15:00:00-04:00
50.0,53.64377322327082,38.812766287093595,68.47478015944804,2015-06-03 16:00:00-04:00
46.0,46.69451193019004,31.864270676843862,61.52475318353622,2015-06-03 17:00:00-04:00
28.0,37.26844461493976,22.43767325423994,52.09921597563958,2015-06-03 18:00:00-04:00
24.0,35.52962943439256,20.69781602931414,50.36144283947098,2015-06-03 19:00:00-04:00
25.0,35.13433368837056,20.304738471876526,49.963928904864595,2015-06-03 20:00:00-04:00
24.0,34.55087306610457,19.722507823839056,49.37923830837009,2015-06-03 21:00:00-04:00
22.0,29.79237890870934,14.964028411930574,44.620729405488106,2015-06-03 22:00:00-04:00
21.0,29.060657935516964,14.23169184840714,43.88962402262679,2015-06-03 23:00:00-04:00
21.0,29.039654718386174,14.212897317229757,43.86641211954259,2015-06-04 00:00:00-04:00
21.0,28.79548631546991,13.96981890575964,43.62115372518018,2015-06-04 01:00:00-04:00
20.0,28.708759692356658,13.88438937868389,43.533130006029424,2015-06-04 02:00:00-04:00
21.0,30.81214120325545,15.987945168576207,45.6363372379347,2015-06-04 03:00:00-04:00
23.0,36.48215851258036,21.657690075591564,51.306626949569164,2015-06-04 04:00:00-04:00
44.0,45.73212909346107,30.908077465142817,60.55618072177932,2015-06-04 05:00:00-04:00
49.0,51.97239491660022,37.1478688606392,66.79692097256125,2015-06-04 06:00:00-04:00
53.0,56.91262312062072,42.08807305390596,71.73717318733549,2015-06-04 07:00:00-04:00
61.0,61.95284787824439,47.12729871065143,76.77839704583735,2015-06-04 08:00:00-04:00
62.0,63.35983615735492,48.53344006489076,78.18623224981907,2015-06-04 09:00:00-04:00
61.0,62.60282511558616,47.77536117481772,77.4302890563546,2015-06-04 10:00:00-04:00
66.0,64.02699715210959,49.1981900043059,78.85580429991327,2015-06-04 11:00:00-04:00
65.0,63.51422810770049,48.68506094485693,78.34339527054405,2015-06-04 12:00:00-04:00
66.0,64.53991070401246,49.711495142044086,79.36832626598083,2015-06-04 13:00:00-04:00
66.0,67.01308586847067,52.1849630690208,81.84120866792053,2015-06-04 14:00:00-04:00
60.0,58.71301196995836,43.885500946066415,73.5405229938503,2015-06-04 15:00:00-04:00
56.0,55.29824318595462,40.47077361641686,70.12571275549237,2015-06-04 16:00:00-04:00
46.0,47.540344866348526,32.712507732829806,62.36818199986725,2015-06-04 17:00:00-04:00
30.0,38.50503574837245,23.67514564921486,53.334925847530045,2015-06-04 18:00:00-04:00
23.0,36.631205758067075,21.801518874370963,51.46089264176319,2015-06-04 19:00:00-04:00
22.0,35.659856259550985,20.833254529391333,50.48645798971064,2015-06-04 20:00:00-04:00
23.0,34.88830202438814,20.06125305857975,49.71535099019653,2015-06-04 21:00:00-04:00
21.0,30.078005544474266,15.252175229279846,44.90383585966869,2015-06-04 22:00:00-04:00
21.0,29.2724550610874,14.44737073020105,44.09753939197375,2015-06-04 23:00:00-04:00
19.0,28.83884479475565,14.015594068921184,43.66209552059012,2015-06-05 00:00:00-04:00
20.0,28.56145051062667,13.738125601099927,43.38477542015342,2015-06-05 01:00:00-04:00
20.0,28.66320646985212,13.84058832157107,43.48582461813317,2015-06-05 02:00:00-04:00
20.0,30.227807213313575,15.405033367488908,45.05058105913824,2015-06-05 03:00:00-04:00
20.0,36.98180053899759,22.15941666670721,51.80418441128797,2015-06-05 04:00:00-04:00
43.0,46.237520104486876,31.41464241828615,61.0603977906876,2015-06-05 05:00:00-04:00
50.0,52.725396116440336,37.902554087309476,67.54823814557119,2015-06-05 06:00:00-04:00
57.0,56.894694171868856,42.07124439739988,71.71814394633783,2015-06-05 07:00:00-04:00
64.0,62.672618193037366,47.845974684631685,77.49926170144305,2015-06-05 08:00:00-04:00
65.0,64.04741073784132,49.22186178734225,78.87295968834039,2015-06-05 09:00:00-04:00
67.0,64.7386410422266,49.914278604036625,79.56300348041658,2015-06-05 10:00:00-04:00
75.0,66.58296200088321,51.75693905069675,81.40898495106967,2015-06-05 11:00:00-04:00
69.0,64.96691175038386,50.14202807228801,79.79179542847972,2015-06-05 12:00:00-04:00
68.0,65.73686842526513,50.90772911011244,80.56600774041782,2015-06-05 13:00:00-04:00
70.0,64.88789195180958,50.060032524933845,79.71575137868531,2015-06-05 14:00:00-04:00
65.0,60.374338600213896,45.545004535497334,75.20367266493045,2015-06-05 15:00:00-04:00
64.0,59.946102372657066,45.12079165332806,74.77141309198606,2015-06-05 16:00:00-04:00
56.0,54.12693727164486,39.301390574495755,68.95248396879397,2015-06-05 17:00:00-04:00
38.0,44.47547365698522,29.64913008814738,59.301817225823065,2015-06-05 18:00:00-04:00
34.0,43.05855405920826,28.234754152256738,57.88235396615978,2015-06-05 19:00:00-04:00
32.0,41.24234083785683,26.41984918696061,56.06483248875305,2015-06-05 20:00:00-04:00
31.0,38.4477499345414,23.624991419730193,53.270508449352604,2015-06-05 21:00:00-04:00
28.0,34.00706336384923,19.18462905522631,48.829497672472144,2015-06-05 22:00:00-04:00
28.0,31.712936049005208,16.889215220147374,46.53665687786304,2015-06-05 23:00:00-04:00
44.0,32.22903756296886,17.405625843573034,47.05244928236469,2015-06-06 00:00:00-04:00
29.0,30.08599850821495,15.263018372196122,44.90897864423378,2015-06-06 01:00:00-04:00
26.0,29.74589639929981,14.923561718134133,44.56823108046549,2015-06-06 02:00:00-04:00
26.0,29.300197977434138,14.478156727805928,44.12223922706235,2015-06-06 03:00:00-04:00
25.0,31.3861066678121,16.563859389388362,46.20835394623584,2015-06-06 04:00:00-04:00
25.0,32.42914913172899,17.606367402030322,47.25193086142766,2015-06-06 05:00:00-04:00
24.0,32.21656844263939,17.393690643847883,47.0394462414309,2015-06-06 06:00:00-04:00
25.0,32.76758448591856,17.943708048660397,47.591460923176726,2015-06-06 07:00:00-04:00
30.0,35.41498343777734,20.58939025821139,50.24057661734328,2015-06-06 08:00:00-04:00
28.0,38.3152394113682,23.490431017158734,53.14004780557767,2015-06-06 09:00:00-04:00
30.0,41.00222704435827,26.17984033399666,55.824613754719884,2015-06-06 10:00:00-04:00
30.0,42.92585816717705,28.103024575759115,57.74869175859498,2015-06-06 11:00:00-04:00
32.0,45.24763851395433,30.423820154515774,60.07145687339288,2015-06-06 12:00:00-04:00
33.0,45.44373881520536,30.61897726547629,60.268500364934425,2015-06-06 13:00:00-04:00
34.0,46.501579240849594,31.677806626225745,61.32535185547344,2015-06-06 14:00:00-04:00
36.0,43.04529802425773,28.216977420598077,57.87361862791739,2015-06-06 15:00:00-04:00
37.0,45.832697723644806,31.005358195045154,60.66003725224446,2015-06-06 16:00:00-04:00
37.0,46.45382767704182,31.62780783623256,61.27984751785108,2015-06-06 17:00:00-04:00
37.0,47.921125145907126,33.094350450497124,62.74789984131713,2015-06-06 18:00:00-04:00
35.0,46.66418024182599,31.840502519202666,61.48785796444931,2015-06-06 19:00:00-04:00
35.0,44.45136838742162,29.629243746533785,59.273493028309446,2015-06-06 20:00:00-04:00
34.0,42.22761407732815,27.405740603977684,57.04948755067861,2015-06-06 21:00:00-04:00
