Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
60.0,31.964059704024066,-11.341881646630377,75.27000105467852,2015-07-11 03:00:00-04:00
61.0,31.270847088157268,-12.035558964120085,74.57725314043462,2015-07-11 04:00:00-04:00
60.0,29.970321653133425,-13.344192439489227,73.28483574575608,2015-07-11 05:00:00-04:00
59.0,31.23507421449196,-12.076446392571157,74.54659482155508,2015-07-11 06:00:00-04:00
58.0,30.500182471591444,-12.808632076624512,73.8089970198074,2015-07-11 07:00:00-04:00
59.0,30.1963205372665,-13.119449738224581,73.51209081275758,2015-07-11 08:00:00-04:00
58.0,30.33428608873976,-12.982018692349037,73.65059086982856,2015-07-11 09:00:00-04:00
59.0,29.617653139336227,-13.69170967454648,72.92701595321893,2015-07-11 10:00:00-04:00
59.0,31.98882495167436,-11.331086077355657,75.30873598070437,2015-07-11 11:00:00-04:00
58.0,32.43312626606121,-10.900200773777307,75.76645330589972,2015-07-11 12:00:00-04:00
60.0,31.35321120859959,-11.971195180665006,74.67761759786418,2015-07-11 13:00:00-04:00
58.0,33.684008937274825,-9.628963258162258,76.99698113271191,2015-07-11 14:00:00-04:00
60.0,31.50657858669942,-11.805991677910633,74.81914885130948,2015-07-11 15:00:00-04:00
60.0,32.942874223826834,-10.377252736678564,76.26300118433224,2015-07-11 16:00:00-04:00
60.0,35.651137564015045,-7.667337985927027,78.96961311395711,2015-07-11 17:00:00-04:00
62.0,35.57357478777445,-7.746725491023554,78.89387506657245,2015-07-11 18:00:00-04:00
59.0,35.21513734933819,-8.096169773293141,78.52644447196953,2015-07-11 19:00:00-04:00
61.0,35.525426318507044,-7.777453254392952,78.82830589140704,2015-07-11 20:00:00-04:00
64.0,34.93472662907013,-8.367921132171467,78.23737439031171,2015-07-11 21:00:00-04:00
61.0,34.19294124797025,-9.110060456265487,77.495942952206,2015-07-11 22:00:00-04:00
64.0,33.838919898174936,-9.463744324133579,77.14158412048346,2015-07-11 23:00:00-04:00
63.0,32.95973818720009,-10.337076691183455,76.25655306558363,2015-07-12 00:00:00-04:00
61.0,31.81055825572878,-11.484783397347577,75.10589990880513,2015-07-12 01:00:00-04:00
61.0,31.90542539085152,-11.395317155554466,75.2061679372575,2015-07-12 02:00:00-04:00
61.0,30.720102581272556,-12.576663136968335,74.01686829951345,2015-07-12 03:00:00-04:00
60.0,30.23821037577926,-13.060488974534124,73.53690972609265,2015-07-12 04:00:00-04:00
61.0,30.09952973340853,-13.197181853756554,73.39624132057361,2015-07-12 05:00:00-04:00
59.0,29.848742629672614,-13.445971238544367,73.14345649788959,2015-07-12 06:00:00-04:00
59.0,29.214258367551054,-14.085802917386737,72.51431965248884,2015-07-12 07:00:00-04:00
62.0,27.95829138250693,-15.352305795077484,71.26888856009134,2015-07-12 08:00:00-04:00
62.0,27.14838890368989,-16.16023361024819,70.45701141762797,2015-07-12 09:00:00-04:00
60.0,26.76429344469659,-16.53980506085454,70.06839195024773,2015-07-12 10:00:00-04:00
59.0,29.77236043447138,-13.528249809374145,73.0729706783169,2015-07-12 11:00:00-04:00
59.0,32.1394390123524,-11.16752435821801,75.4464023829228,2015-07-12 12:00:00-04:00
61.0,33.9748576380683,-9.327613253991672,77.27732853012827,2015-07-12 13:00:00-04:00
62.0,33.72935934456035,-9.568883751235184,77.02760244035588,2015-07-12 14:00:00-04:00
65.0,33.805482671466905,-9.490170736916518,77.10113607985033,2015-07-12 15:00:00-04:00
66.0,34.0386479613646,-9.263274089582232,77.34057001231145,2015-07-12 16:00:00-04:00
63.0,36.20295103580361,-7.09859999201678,79.50450206362399,2015-07-12 17:00:00-04:00
62.0,34.695278227353384,-8.606521035473655,77.99707749018043,2015-07-12 18:00:00-04:00
67.0,35.257547701043364,-8.042101017107058,78.55719641919379,2015-07-12 19:00:00-04:00
62.0,36.48837761065221,-6.807349878611738,79.78410509991616,2015-07-12 20:00:00-04:00
66.0,36.65872624187577,-6.637050837973348,79.95450332172489,2015-07-12 21:00:00-04:00
69.0,36.59824673973125,-6.699782507661183,79.89627598712369,2015-07-12 22:00:00-04:00
61.0,34.73617694689682,-8.561631296616284,78.03398519040992,2015-07-12 23:00:00-04:00
59.0,33.429439450611,-9.77387886520198,76.63275776642398,2015-07-13 00:00:00-04:00
58.0,30.062455408943322,-13.140027126276053,73.2649379441627,2015-07-13 01:00:00-04:00
58.0,28.46568551197251,-14.737936602674417,71.66930762661943,2015-07-13 02:00:00-04:00
55.0,26.546257127857103,-16.656424012583564,69.74893826829776,2015-07-13 03:00:00-04:00
