Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
2.0,2.3852406135654602,0.9107009428177746,3.859780284313146,2015-06-01 00:00:00-04:00
2.0,2.3179340869067335,0.8434053967162523,3.7924627770972146,2015-06-01 01:00:00-04:00
2.0,2.31186175837417,0.837330495613668,3.786393021134672,2015-06-01 02:00:00-04:00
1.0,2.2966184060816537,0.822087440443364,3.771149371719943,2015-06-01 03:00:00-04:00
2.0,2.332138710727581,0.8575946322021049,3.806682789253057,2015-06-01 04:00:00-04:00
2.0,2.36766226678415,0.8931048478992132,3.842219685669087,2015-06-01 05:00:00-04:00
2.0,2.3520188015530277,0.8774832806984485,3.826554322407607,2015-06-01 06:00:00-04:00
2.0,2.379632851117508,0.905058398798845,3.854207303436171,2015-06-01 07:00:00-04:00
2.0,3.334156436539134,1.8595759006003643,4.808736972477903,2015-06-01 08:00:00-04:00
4.0,3.876185660755594,2.4016026261289825,5.350768695382206,2015-06-01 09:00:00-04:00
4.0,4.243144280855097,2.7685099083515565,5.717778653358638,2015-06-01 10:00:00-04:00
4.0,4.484962976106527,3.0102554196577183,5.959670532555335,2015-06-01 11:00:00-04:00
5.0,4.569510293128652,3.094752250472027,6.044268335785278,2015-06-01 12:00:00-04:00
4.0,4.468699131142821,2.9937269541447007,5.943671308140941,2015-06-01 13:00:00-04:00
4.0,4.413378204410609,2.938735339316355,5.888021069504863,2015-06-01 14:00:00-04:00
4.0,4.4840429617266615,3.0093118739381253,5.958774049515197,2015-06-01 15:00:00-04:00
4.0,4.380096311989323,2.9051175159712797,5.855075108007367,2015-06-01 16:00:00-04:00
2.0,2.9967646238450207,1.521552464133954,4.471976783556087,2015-06-01 17:00:00-04:00
2.0,2.7017117398296318,1.2268749779927441,4.176548501666519,2015-06-01 18:00:00-04:00
2.0,2.4888477860700045,1.0142584632555385,3.96343710888447,2015-06-01 19:00:00-04:00
2.0,2.477208551861125,1.0026451214917085,3.9517719822305413,2015-06-01 20:00:00-04:00
2.0,2.3930921107242664,0.9185479671630015,3.8676362542855314,2015-06-01 21:00:00-04:00
2.0,2.4046384674290904,0.9300930308104047,3.879183904047776,2015-06-01 22:00:00-04:00
2.0,2.345447209540301,0.8709260856030652,3.8199683334775374,2015-06-01 23:00:00-04:00
2.0,2.5628600531144126,1.0846835688571503,4.041036537371674,2015-06-02 00:00:00-04:00
2.0,2.570426979681316,1.0922551030723326,4.048598856290299,2015-06-02 01:00:00-04:00
2.0,2.5248821168401037,1.0466375228690987,4.003126710811109,2015-06-02 02:00:00-04:00
2.0,2.5008785129071156,1.0226466671772603,3.979110358636971,2015-06-02 03:00:00-04:00
2.0,2.492368303352198,1.014205115838257,3.970531490866139,2015-06-02 04:00:00-04:00
1.0,2.4252896317942203,0.9471299122326713,3.9034493513557695,2015-06-02 05:00:00-04:00
3.0,2.5974855833910815,1.119326102293663,4.0756450644885,2015-06-02 06:00:00-04:00
2.0,2.6320354933308336,1.1538724118764005,4.110198574785267,2015-06-02 07:00:00-04:00
3.0,3.429411595019898,1.9511676537406242,4.907655536299171,2015-06-02 08:00:00-04:00
4.0,3.9499383117943845,2.4716233338123383,5.42825328977643,2015-06-02 09:00:00-04:00
4.0,4.31090862081721,2.8325896156642854,5.789227625970134,2015-06-02 10:00:00-04:00
5.0,4.273589539566814,2.7951811502829007,5.751997928850727,2015-06-02 11:00:00-04:00
6.0,4.43218887331512,2.953687661405883,5.910690085224356,2015-06-02 12:00:00-04:00
6.0,4.514601486580917,3.0353351800869834,5.99386779307485,2015-06-02 13:00:00-04:00
4.0,4.468705540723016,2.9899228813252545,5.947488200120777,2015-06-02 14:00:00-04:00
4.0,4.278406244406632,2.799668656015399,5.7571438327978655,2015-06-02 15:00:00-04:00
4.0,4.222271606031047,2.7439266924033063,5.700616519658787,2015-06-02 16:00:00-04:00
2.0,2.9750884290827724,1.4967934694916794,4.453383388673865,2015-06-02 17:00:00-04:00
2.0,2.7408496337796957,1.2625123529171658,4.219186914642226,2015-06-02 18:00:00-04:00
3.0,2.6393401153450013,1.1610126632449447,4.117667567445058,2015-06-02 19:00:00-04:00
1.0,2.484363077210594,1.0060710969318767,3.9626550574893113,2015-06-02 20:00:00-04:00
2.0,2.5908107351029104,1.1125981287761175,4.069023341429704,2015-06-02 21:00:00-04:00
2.0,2.489314789688254,1.0109627507017085,3.9676668286748,2015-06-02 22:00:00-04:00
2.0,2.574615804005629,1.096377042777606,4.052854565233652,2015-06-02 23:00:00-04:00
2.0,2.574961939582491,1.0966884847598064,4.053235394405176,2015-06-03 00:00:00-04:00
2.0,2.594582385306296,1.116387480477081,4.0727772901355115,2015-06-03 01:00:00-04:00
2.0,2.4813963165838886,1.003149514817926,3.9596431183498515,2015-06-03 02:00:00-04:00
2.0,2.522356293134272,1.0441647218595609,4.000547864408983,2015-06-03 03:00:00-04:00
