Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
57.0,59.09512948912014,38.99066289589225,79.19959608234802,2015-06-01 00:00:00-04:00
58.0,59.10977683148636,39.00544213898451,79.21411152398821,2015-06-01 01:00:00-04:00
59.0,60.10550581900188,40.0009563096496,80.21005532835414,2015-06-01 02:00:00-04:00
59.0,59.54769924254853,39.44335117321775,79.65204731187931,2015-06-01 03:00:00-04:00
57.0,60.44362419059517,40.3394587010309,80.54778968015944,2015-06-01 04:00:00-04:00
77.0,69.72666367140172,49.62213308305308,89.83119425975036,2015-06-01 05:00:00-04:00
57.0,61.185291082727616,41.08051768524868,81.29006448020655,2015-06-01 06:00:00-04:00
62.0,59.91421050009615,39.8092564941843,80.019164506008,2015-06-01 07:00:00-04:00
55.0,59.52212240743627,39.41726514642341,79.62697966844914,2015-06-01 08:00:00-04:00
58.0,60.0957681190085,39.99090448397503,80.20063175404196,2015-06-01 09:00:00-04:00
56.0,59.644601921618516,39.539042833607,79.75016100963003,2015-06-01 10:00:00-04:00
56.0,58.34482366417616,38.23807015211628,78.45157717623604,2015-06-01 11:00:00-04:00
56.0,58.475563813337786,38.36812501993069,78.58300260674488,2015-06-01 12:00:00-04:00
63.0,65.37660145403504,45.26623389439016,85.48696901367992,2015-06-01 13:00:00-04:00
68.0,62.61990596834326,42.51403271075411,82.72577922593241,2015-06-01 14:00:00-04:00
58.0,58.102879596539864,37.99580560587717,78.20995358720256,2015-06-01 15:00:00-04:00
56.0,56.43481308015862,36.32436434427595,76.54526181604129,2015-06-01 16:00:00-04:00
59.0,59.98823874370976,39.87460398200973,80.10187350540978,2015-06-01 17:00:00-04:00
55.0,59.423478562402735,39.314963041177656,79.53199408362781,2015-06-01 18:00:00-04:00
57.0,60.3194299021759,40.21428695989434,80.42457284445746,2015-06-01 19:00:00-04:00
63.0,60.19337075524814,40.0885796049557,80.29816190554058,2015-06-01 20:00:00-04:00
75.0,67.89850785662667,47.793980133692585,88.00303557956074,2015-06-01 21:00:00-04:00
59.0,60.66669136555781,40.5621453553579,80.77123737575772,2015-06-01 22:00:00-04:00
56.0,59.43326348307686,39.329050202904696,79.53747676324902,2015-06-01 23:00:00-04:00
58.0,59.48461763584811,39.330565097365465,79.63867017433076,2015-06-02 00:00:00-04:00
57.0,59.139798104413984,38.98580663329356,79.2937895755344,2015-06-02 01:00:00-04:00
58.0,59.9147701101964,39.75978675248802,80.06975346790477,2015-06-02 02:00:00-04:00
57.0,59.61325031331219,39.45844094488416,79.76805968174023,2015-06-02 03:00:00-04:00
59.0,60.207135769973306,40.05238030757522,80.36189123237139,2015-06-02 04:00:00-04:00
71.0,70.355585918034,50.200877044130365,90.51029479193762,2015-06-02 05:00:00-04:00
59.0,60.844102116059844,40.6902801779099,80.99792405420979,2015-06-02 06:00:00-04:00
57.0,60.4930149613359,40.339144813061026,80.64688510961078,2015-06-02 07:00:00-04:00
56.0,60.280975139928415,40.126002100441816,80.43594817941502,2015-06-02 08:00:00-04:00
62.0,61.05762283820033,40.9016794001551,81.21356627624556,2015-06-02 09:00:00-04:00
53.0,61.86951779410384,41.7135209225584,82.02551466564928,2015-06-02 10:00:00-04:00
56.0,61.19765415033439,41.039571807782664,81.35573649288611,2015-06-02 11:00:00-04:00
55.0,60.86584492779902,40.70743044370206,81.02425941189597,2015-06-02 12:00:00-04:00
72.0,67.9420051499363,47.773991190394575,88.11001910947803,2015-06-02 13:00:00-04:00
58.0,61.31893149097252,41.1566146118799,81.48124837006513,2015-06-02 14:00:00-04:00
57.0,58.456104034558535,38.2952600087179,78.61694806039918,2015-06-02 15:00:00-04:00
58.0,60.50970935369506,40.3542519157784,80.66516679161171,2015-06-02 16:00:00-04:00
55.0,60.89331402536085,40.73676932822363,81.04985872249807,2015-06-02 17:00:00-04:00
57.0,61.969472400774734,41.812349670434955,82.12659513111451,2015-06-02 18:00:00-04:00
54.0,60.110858558824404,39.95561838139557,80.26609873625324,2015-06-02 19:00:00-04:00
59.0,61.53181455837647,41.377066191352455,81.68656292540048,2015-06-02 20:00:00-04:00
73.0,70.3839001744307,50.22935492959131,90.5384454192701,2015-06-02 21:00:00-04:00
58.0,63.58089878113824,43.42445527006472,83.73734229221176,2015-06-02 22:00:00-04:00
58.0,61.707344072735566,41.55244467586706,81.86224346960407,2015-06-02 23:00:00-04:00
63.0,62.82729248753119,42.671917877283065,82.98266709777931,2015-06-03 00:00:00-04:00
55.0,63.40402581915605,43.24972238278615,83.55832925552593,2015-06-03 01:00:00-04:00
58.0,65.67632014476413,45.520455017576744,85.83218527195152,2015-06-03 02:00:00-04:00
57.0,63.86772305223404,43.712613099554616,84.02283300491347,2015-06-03 03:00:00-04:00
60.0,64.75616040411413,44.60062117899986,84.9116996292284,2015-06-03 04:00:00-04:00
73.0,74.59141009415737,54.43520700604115,94.74761318227358,2015-06-03 05:00:00-04:00
56.0,64.9003200491716,44.74476971152928,85.05587038681392,2015-06-03 06:00:00-04:00
57.0,65.38452518058797,45.228122765290884,85.54092759588505,2015-06-03 07:00:00-04:00
67.0,65.92351386759566,45.76380519092135,86.08322254426997,2015-06-03 08:00:00-04:00
63.0,66.92099116774605,46.76071865144873,87.08126368404338,2015-06-03 09:00:00-04:00
53.0,66.87185368551776,46.71125056742915,87.03245680360638,2015-06-03 10:00:00-04:00
61.0,66.67897323696485,46.517034542701424,86.84091193122828,2015-06-03 11:00:00-04:00
64.0,66.49990885140636,46.3386929336541,86.66112476915862,2015-06-03 12:00:00-04:00
62.0,73.27738134423281,53.117322030178045,93.43744065828757,2015-06-03 13:00:00-04:00
51.0,69.05412397710279,48.89477356888093,89.21347438532464,2015-06-03 14:00:00-04:00
53.0,65.4512459521714,45.2925999981401,85.6098919062027,2015-06-03 15:00:00-04:00
52.0,66.12279247454627,45.96411703275312,86.28146791633942,2015-06-03 16:00:00-04:00
51.0,67.18265761810144,47.02502166700819,87.3402935691947,2015-06-03 17:00:00-04:00
52.0,66.61704400368097,46.458687683129455,86.77540032423249,2015-06-03 18:00:00-04:00
52.0,67.09827627446361,46.93850401511297,87.25804853381426,2015-06-03 19:00:00-04:00
54.0,68.62461769990168,48.46785875550462,88.78137664429873,2015-06-03 20:00:00-04:00
75.0,76.77405157600586,56.618116085063626,96.92998706694809,2015-06-03 21:00:00-04:00
54.0,68.5229728327595,48.36617825198043,88.67976741353858,2015-06-03 22:00:00-04:00
57.0,66.90603523329565,46.750105951769434,87.06196451482188,2015-06-03 23:00:00-04:00
53.0,66.71486983113476,46.562760313041224,86.8669793492283,2015-06-04 00:00:00-04:00
57.0,67.81547579264134,47.66405402400053,87.96689756128214,2015-06-04 01:00:00-04:00
54.0,67.87162395288942,47.72196502239426,88.02128288338459,2015-06-04 02:00:00-04:00
