Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
172.0,161.1827167589317,132.2075138686815,190.15791964918188,2015-06-01 00:00:00-04:00
172.0,159.2953526579888,130.3206105472073,188.27009476877026,2015-06-01 01:00:00-04:00
175.0,160.14184926051988,131.16705273400763,189.11664578703213,2015-06-01 02:00:00-04:00
172.0,158.1944640256682,129.21968966684383,187.16923838449256,2015-06-01 03:00:00-04:00
177.0,160.0578468895158,131.0830751865169,189.03261859251467,2015-06-01 04:00:00-04:00
180.0,164.0936711701817,135.11864231994576,193.06870002041762,2015-06-01 05:00:00-04:00
176.0,165.25993636737522,136.28456144119951,194.23531129355092,2015-06-01 06:00:00-04:00
182.0,165.6090875831253,136.63317763057705,194.58499753567355,2015-06-01 07:00:00-04:00
189.0,171.90695866562675,142.931488886354,200.8824284448995,2015-06-01 08:00:00-04:00
192.0,179.45018543143166,150.4747044558617,208.42566640700161,2015-06-01 09:00:00-04:00
207.0,186.10859958067545,157.13206094161052,215.08513821974037,2015-06-01 10:00:00-04:00
206.0,189.947944483269,160.96966281292325,218.92622615361475,2015-06-01 11:00:00-04:00
202.0,191.16647324660357,162.18727190422678,220.14567458898037,2015-06-01 12:00:00-04:00
208.0,193.8267740488688,164.84336473983146,222.81018335790614,2015-06-01 13:00:00-04:00
200.0,196.44481523575868,167.46788951481375,225.42174095670362,2015-06-01 14:00:00-04:00
202.0,189.78080140542903,160.80213360887979,218.75946920197828,2015-06-01 15:00:00-04:00
203.0,185.6961640571525,156.7126287478745,214.67969936643047,2015-06-01 16:00:00-04:00
187.0,175.3862105109961,146.39808625691762,204.3743347650746,2015-06-01 17:00:00-04:00
183.0,169.76129561133877,140.78055300481603,198.7420382178615,2015-06-01 18:00:00-04:00
176.0,168.0942583609495,139.11837664177838,197.07014008012064,2015-06-01 19:00:00-04:00
186.0,169.9536255729949,140.97825212884996,198.92899901713983,2015-06-01 20:00:00-04:00
188.0,168.3055057683178,139.330513348086,197.28049818854961,2015-06-01 21:00:00-04:00
181.0,165.21283792931968,136.23781805295536,194.187857805684,2015-06-01 22:00:00-04:00
173.0,161.8310681133714,132.85652950089172,190.80560672585108,2015-06-01 23:00:00-04:00
177.0,164.91443589362055,135.86808207199454,193.96078971524656,2015-06-02 00:00:00-04:00
171.0,163.8302819828816,134.78401595858304,192.87654800718013,2015-06-02 01:00:00-04:00
178.0,164.78968282482572,135.7431997484972,193.83616590115423,2015-06-02 02:00:00-04:00
170.0,162.58926800201326,133.54182295130252,191.636713052724,2015-06-02 03:00:00-04:00
177.0,164.30797026396004,135.2606463625957,193.35529416532438,2015-06-02 04:00:00-04:00
177.0,169.22243343563292,140.1764068953778,198.26845997588805,2015-06-02 05:00:00-04:00
182.0,169.01996359775833,139.97394073726304,198.06598645825363,2015-06-02 06:00:00-04:00
181.0,168.1230564549719,139.07696459404463,197.16914831589918,2015-06-02 07:00:00-04:00
192.0,172.4980110679413,143.45033108543709,201.5456910504455,2015-06-02 08:00:00-04:00
195.0,180.381642151634,151.33256311973983,209.43072118352816,2015-06-02 09:00:00-04:00
203.0,185.15718692431528,156.1080310087836,214.20634283984697,2015-06-02 10:00:00-04:00
205.0,187.24599774667897,158.1950827520082,216.29691274134973,2015-06-02 11:00:00-04:00
209.0,186.0098174143754,156.9584310750996,215.06120375365117,2015-06-02 12:00:00-04:00
205.0,186.02538416193897,156.95758950794507,215.09317881593287,2015-06-02 13:00:00-04:00
200.0,180.5512935048584,151.49172376783977,209.610863241877,2015-06-02 14:00:00-04:00
202.0,181.09764348782153,152.04148894273996,210.1537980329031,2015-06-02 15:00:00-04:00
201.0,180.6348161582649,151.58517134406955,209.68446097246024,2015-06-02 16:00:00-04:00
189.0,174.31684826966878,145.26562989716507,203.3680666421725,2015-06-02 17:00:00-04:00
181.0,171.49929078519827,142.44851910113505,200.5500624692615,2015-06-02 18:00:00-04:00
178.0,167.7348194091117,138.68675046647405,196.78288835174936,2015-06-02 19:00:00-04:00
181.0,169.80836359637027,140.76100607813163,198.8557211146089,2015-06-02 20:00:00-04:00
187.0,169.73496918619958,140.68658959076674,198.7833487816324,2015-06-02 21:00:00-04:00
185.0,167.7301330865368,138.67899570200282,196.78127047107077,2015-06-02 22:00:00-04:00
180.0,163.82479548658716,134.77590284659692,192.8736881265774,2015-06-02 23:00:00-04:00
175.0,162.64412845341576,133.59586601072718,191.69239089610434,2015-06-03 00:00:00-04:00
178.0,162.3738284584852,133.32711039934316,191.42054651762726,2015-06-03 01:00:00-04:00
175.0,163.63822434384502,134.58930973371307,192.68713895397698,2015-06-03 02:00:00-04:00
172.0,160.93912029232922,131.89127525458986,189.98696533006859,2015-06-03 03:00:00-04:00
177.0,163.260265166173,134.21430893341514,192.3062213989309,2015-06-03 04:00:00-04:00
176.0,166.66968743152663,137.62155017597632,195.71782468707693,2015-06-03 05:00:00-04:00
178.0,164.62197375113004,135.57343921284502,193.67050828941507,2015-06-03 06:00:00-04:00
175.0,164.99841283073124,135.9499154656407,194.0469101958218,2015-06-03 07:00:00-04:00
174.0,169.13630134738435,140.0830741403161,198.18952855445258,2015-06-03 08:00:00-04:00
188.0,175.29259437836257,146.23850146893534,204.3466872877898,2015-06-03 09:00:00-04:00
193.0,180.25708797471714,151.20128910297353,209.31288684646074,2015-06-03 10:00:00-04:00
196.0,183.10024699331527,154.04116868255784,212.1593253040727,2015-06-03 11:00:00-04:00
200.0,183.0348697177502,153.9768953079084,212.09284412759203,2015-06-03 12:00:00-04:00
191.0,182.99302877677172,153.9367397893889,212.04931776415455,2015-06-03 13:00:00-04:00
199.0,182.6938039694341,153.6385401665747,211.7490677722935,2015-06-03 14:00:00-04:00
192.0,179.00700539437167,149.95272025167432,208.06129053706903,2015-06-03 15:00:00-04:00
194.0,174.39209378517896,145.3377658364145,203.44642173394342,2015-06-03 16:00:00-04:00
171.0,166.46533218802293,137.41254224388504,195.5181221321608,2015-06-03 17:00:00-04:00
168.0,162.6116493623034,133.55908091792705,191.66421780667977,2015-06-03 18:00:00-04:00
168.0,160.7625942443443,131.7066704180769,189.81851807061173,2015-06-03 19:00:00-04:00
174.0,162.98195979446027,133.9291542139468,192.03476537497374,2015-06-03 20:00:00-04:00
166.0,164.4412213047156,135.39212441367428,193.49031819575694,2015-06-03 21:00:00-04:00
169.0,162.99737979756338,133.9495563797995,192.04520321532726,2015-06-03 22:00:00-04:00
159.0,159.59704522420685,130.54921506977152,188.64487537864218,2015-06-03 23:00:00-04:00
161.0,159.2537610810828,130.20902655390046,188.29849560826517,2015-06-04 00:00:00-04:00
165.0,158.8978592203762,129.85414061810755,187.94157782264486,2015-06-04 01:00:00-04:00
159.0,160.16770105235022,131.12655747553728,189.20884462916317,2015-06-04 02:00:00-04:00
160.0,158.85670524717557,129.81590017163944,187.8975103227117,2015-06-04 03:00:00-04:00
165.0,161.0206020377418,131.97816178258162,190.063042292902,2015-06-04 04:00:00-04:00
172.0,165.36397633424113,136.32349586946708,194.40445679901518,2015-06-04 05:00:00-04:00
166.0,164.50996895031153,135.46963595727138,193.55030194335168,2015-06-04 06:00:00-04:00
163.0,163.7493655427296,134.7089873993749,192.7897436860843,2015-06-04 07:00:00-04:00
170.0,167.00013929447852,137.95780638389328,196.04247220506375,2015-06-04 08:00:00-04:00
182.0,173.21598716544602,144.1719948420683,202.25997948882375,2015-06-04 09:00:00-04:00
194.0,178.218205851709,149.170928153643,207.265483549775,2015-06-04 10:00:00-04:00
194.0,180.36469805058297,151.31474756030389,209.41464854086206,2015-06-04 11:00:00-04:00
186.0,180.41193713599273,151.36251424322734,209.46136002875812,2015-06-04 12:00:00-04:00
197.0,177.36865719895624,148.32070588229672,206.41660851561576,2015-06-04 13:00:00-04:00
201.0,181.3208255130804,152.27344548849675,210.36820553766404,2015-06-04 14:00:00-04:00
199.0,179.14629554851132,150.10011306895976,208.19247802806288,2015-06-04 15:00:00-04:00
194.0,174.61028899126825,145.56418902883684,203.65638895369966,2015-06-04 16:00:00-04:00
182.0,167.34883565735387,138.300835621276,196.39683569343174,2015-06-04 17:00:00-04:00
173.0,163.8054732646725,134.75206610862088,192.8588804207241,2015-06-04 18:00:00-04:00
176.0,161.330436205714,132.278723053207,190.382149358221,2015-06-04 19:00:00-04:00
174.0,163.8713084600026,134.82690655685207,192.91571036315315,2015-06-04 20:00:00-04:00
170.0,164.7206599773225,135.67656364354931,193.76475631109568,2015-06-04 21:00:00-04:00
172.0,163.3251377976211,134.28337909062444,192.36689650461776,2015-06-04 22:00:00-04:00
167.0,160.95745741473934,131.91603150313023,189.99888332634845,2015-06-04 23:00:00-04:00
166.0,160.21407973744593,131.1773025669541,189.25085690793776,2015-06-05 00:00:00-04:00
165.0,159.6392488631122,130.60129158337273,188.67720614285165,2015-06-05 01:00:00-04:00
167.0,161.08226414965245,132.04464036742462,190.11988793188027,2015-06-05 02:00:00-04:00
165.0,159.370166554724,130.33326842806892,188.40706468137907,2015-06-05 03:00:00-04:00
164.0,160.7585758258639,131.72243945166574,189.79471220006204,2015-06-05 04:00:00-04:00
166.0,164.14389673042103,135.1078676530336,193.17992580780847,2015-06-05 05:00:00-04:00
170.0,165.0962260001579,136.06026612276406,194.13218587755176,2015-06-05 06:00:00-04:00
169.0,162.2676750063129,133.2294517322837,191.30589828034212,2015-06-05 07:00:00-04:00
180.0,165.4197174820818,136.3752128641016,194.46422210006202,2015-06-05 08:00:00-04:00
180.0,170.70479111260335,141.66242885410034,199.74715337110635,2015-06-05 09:00:00-04:00
186.0,174.96897758399118,145.93006904831287,204.00788611966948,2015-06-05 10:00:00-04:00
190.0,175.65954669206235,146.61858053755344,204.70051284657126,2015-06-05 11:00:00-04:00
191.0,177.25741519159573,148.21750532764003,206.29732505555143,2015-06-05 12:00:00-04:00
196.0,177.99272323877327,148.94332562160642,207.0421208559401,2015-06-05 13:00:00-04:00
191.0,173.58852184438217,144.5393620094002,202.63768167936414,2015-06-05 14:00:00-04:00
189.0,173.87747379754884,144.82533189413894,202.92961570095875,2015-06-05 15:00:00-04:00
187.0,172.8434024881251,143.79915714634225,201.88764782990793,2015-06-05 16:00:00-04:00
181.0,169.03788611508014,139.99548087560413,198.08029135455615,2015-06-05 17:00:00-04:00
