Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
506.0,518.3545903765578,461.9382291159042,574.7709516372114,2015-06-01 00:00:00-04:00
496.0,516.3619508010672,459.9464884230038,572.7774131791307,2015-06-01 01:00:00-04:00
494.0,519.5924400485428,463.1768748367333,576.0080052603523,2015-06-01 02:00:00-04:00
494.0,520.1615914133401,463.7460699240221,576.5771129026582,2015-06-01 03:00:00-04:00
486.0,522.4104647635858,465.9949541644552,578.8259753627163,2015-06-01 04:00:00-04:00
490.0,527.4349394530491,471.01892263521495,583.8509562708832,2015-06-01 05:00:00-04:00
508.0,532.088796594503,475.6721172603807,588.5054759286254,2015-06-01 06:00:00-04:00
502.0,536.1318934408827,479.71417312923955,592.5496137525258,2015-06-01 07:00:00-04:00
538.0,557.1445480431513,500.7270931445989,613.5620029417038,2015-06-01 08:00:00-04:00
570.0,588.1380210214431,531.7205508935516,644.5554911493347,2015-06-01 09:00:00-04:00
590.0,607.8015308729282,551.3825763446702,664.2204854011862,2015-06-01 10:00:00-04:00
608.0,626.8117808731297,570.3894405705811,683.2341211756783,2015-06-01 11:00:00-04:00
590.0,635.2596138158457,578.8349106775125,691.6843169541788,2015-06-01 12:00:00-04:00
610.0,633.8791600831967,577.4462689312763,690.312051235117,2015-06-01 13:00:00-04:00
600.0,641.3143605148433,584.893500360306,697.7352206693806,2015-06-01 14:00:00-04:00
614.0,645.6441517207356,589.2199654016013,702.06833803987,2015-06-01 15:00:00-04:00
614.0,626.2829794985784,569.8498279586333,682.7161310385234,2015-06-01 16:00:00-04:00
574.0,591.1911710199535,534.7491374835703,647.6332045563366,2015-06-01 17:00:00-04:00
560.0,576.787866836718,520.3601363781348,633.2155972953011,2015-06-01 18:00:00-04:00
538.0,567.0533958269593,510.6351415107756,623.471650143143,2015-06-01 19:00:00-04:00
518.0,562.7735783830317,506.3563087719565,619.1908479941069,2015-06-01 20:00:00-04:00
526.0,546.9178593092079,490.5008282915675,603.3348903268483,2015-06-01 21:00:00-04:00
512.0,531.5659622089858,475.1488861456153,587.9830382723562,2015-06-01 22:00:00-04:00
510.0,526.2698158035073,469.85364183633084,582.6859897706837,2015-06-01 23:00:00-04:00
494.0,540.2696645850381,483.71170616780836,596.8276230022677,2015-06-02 00:00:00-04:00
506.0,539.0933502686858,482.5355786225323,595.6511219148392,2015-06-02 01:00:00-04:00
498.0,544.9364122168013,488.3782956923464,601.4945287412561,2015-06-02 02:00:00-04:00
502.0,544.6569603076911,488.0993486540916,601.2145719612905,2015-06-02 03:00:00-04:00
496.0,543.9731551488226,487.41815682876955,600.5281534688756,2015-06-02 04:00:00-04:00
518.0,549.0300689417243,492.47520586226307,605.5849320211855,2015-06-02 05:00:00-04:00
504.0,548.357490696213,491.8026372729276,604.9123441194982,2015-06-02 06:00:00-04:00
500.0,552.6820102832041,496.1245172113059,609.2395033551024,2015-06-02 07:00:00-04:00
544.0,566.478014566214,509.9173803530574,623.0386487793706,2015-06-02 08:00:00-04:00
588.0,593.0268477541698,536.4660347428503,649.5876607654893,2015-06-02 09:00:00-04:00
620.0,609.4404357678134,552.879469819821,666.0014017158057,2015-06-02 10:00:00-04:00
620.0,617.6786100760885,561.1117875483523,674.2454326038247,2015-06-02 11:00:00-04:00
632.0,619.0987538142377,562.5310060363389,675.6665015921366,2015-06-02 12:00:00-04:00
620.0,621.4336275892382,564.8389935419121,678.0282616365643,2015-06-02 13:00:00-04:00
626.0,623.051570608207,566.4728958560877,679.6302453603264,2015-06-02 14:00:00-04:00
612.0,619.3475423893826,562.7730332223605,675.9220515564048,2015-06-02 15:00:00-04:00
578.0,607.8421048272181,551.2826614148593,664.401548239577,2015-06-02 16:00:00-04:00
566.0,587.0570522255482,530.4920567237501,643.6220477273463,2015-06-02 17:00:00-04:00
520.0,573.1049073074133,516.5383125457013,629.6715020691254,2015-06-02 18:00:00-04:00
524.0,565.4158366793662,508.8520593384878,621.9796140202446,2015-06-02 19:00:00-04:00
524.0,560.5804003957799,504.018002945006,617.1427978465538,2015-06-02 20:00:00-04:00
508.0,552.6466124235174,496.08729604243854,609.2059288045962,2015-06-02 21:00:00-04:00
498.0,541.1594616599039,484.5948890471315,597.7240342726762,2015-06-02 22:00:00-04:00
520.0,539.1094528900832,482.5491109213964,595.6697948587699,2015-06-02 23:00:00-04:00
508.0,537.1967557279977,480.6350666442518,593.7584448117436,2015-06-03 00:00:00-04:00
500.0,535.9798160841058,479.418711399375,592.5409207688366,2015-06-03 01:00:00-04:00
508.0,537.9680865521278,481.40511160377395,594.5310615004818,2015-06-03 02:00:00-04:00
504.0,538.021952721175,481.4635134334137,594.5803920089363,2015-06-03 03:00:00-04:00
502.0,540.4117607346739,483.85233667189686,596.9711847974509,2015-06-03 04:00:00-04:00
518.0,543.1912936908498,486.6300538007908,599.7525335809088,2015-06-03 05:00:00-04:00
500.0,545.3097402112132,488.75008768920213,601.8693927332243,2015-06-03 06:00:00-04:00
510.0,538.5640508419988,482.00196241635734,595.1261392676402,2015-06-03 07:00:00-04:00
530.0,560.2806291243023,503.7117466546152,616.8495115939895,2015-06-03 08:00:00-04:00
570.0,585.7158610706708,529.1452927356607,642.2864294056809,2015-06-03 09:00:00-04:00
582.0,602.9840658951238,546.4101710532841,659.5579607369634,2015-06-03 10:00:00-04:00
584.0,611.339359023335,554.7617121981187,667.9170058485512,2015-06-03 11:00:00-04:00
610.0,609.1830863658777,552.6074694136869,665.7587033180685,2015-06-03 12:00:00-04:00
604.0,610.7695578604688,554.1971875427313,667.3419281782063,2015-06-03 13:00:00-04:00
602.0,614.9974364526381,558.4270616683333,671.5678112369429,2015-06-03 14:00:00-04:00
608.0,607.6825916267417,551.1141977439898,664.2509855094935,2015-06-03 15:00:00-04:00
588.0,595.811160669975,539.2426852707821,652.379636069168,2015-06-03 16:00:00-04:00
572.0,579.2051829793326,522.6396280913931,635.770737867272,2015-06-03 17:00:00-04:00
546.0,565.6107611877239,509.04318374507517,622.1783386303728,2015-06-03 18:00:00-04:00
530.0,556.8998415123345,500.32570435561865,613.4739786690504,2015-06-03 19:00:00-04:00
508.0,550.8477238321707,494.282155669676,607.4132919946654,2015-06-03 20:00:00-04:00
512.0,549.3496899270694,492.7912833837296,605.9080964704093,2015-06-03 21:00:00-04:00
494.0,538.1320277241712,481.5736769713437,594.6903784769987,2015-06-03 22:00:00-04:00
494.0,537.0009913604139,480.442624478143,593.5593582426848,2015-06-03 23:00:00-04:00
500.0,535.0945820528464,478.54453565405754,591.6446284516352,2015-06-04 00:00:00-04:00
488.0,532.1627554922899,475.6146378300472,588.7108731545326,2015-06-04 01:00:00-04:00
502.0,536.3466729064702,479.801329598933,592.8920162140073,2015-06-04 02:00:00-04:00
488.0,539.0618183907943,482.5171334875661,595.6065032940224,2015-06-04 03:00:00-04:00
490.0,538.2758913012044,481.73018972608304,594.8215928763258,2015-06-04 04:00:00-04:00
498.0,543.1278000249131,486.58365879342,599.6719412564062,2015-06-04 05:00:00-04:00
508.0,542.4987777952158,485.9550147352913,599.0425408551403,2015-06-04 06:00:00-04:00
490.0,542.7070608190545,486.16320589267895,599.2509157454301,2015-06-04 07:00:00-04:00
542.0,559.9368819365478,503.3892146322392,616.4845492408564,2015-06-04 08:00:00-04:00
558.0,583.383007493406,526.8321104450496,639.9339045417624,2015-06-04 09:00:00-04:00
566.0,598.9676973753816,542.4127309164311,655.5226638343321,2015-06-04 10:00:00-04:00
582.0,604.926956772038,548.3668671674554,661.4870463766206,2015-06-04 11:00:00-04:00
584.0,605.1798532148819,548.6183917465378,661.7413146832259,2015-06-04 12:00:00-04:00
584.0,606.9468448469979,550.388250207739,663.5054394862568,2015-06-04 13:00:00-04:00
594.0,611.4445368006448,554.884852558743,668.0042210425465,2015-06-04 14:00:00-04:00
606.0,607.0182146208697,550.4608730040351,663.5755562377043,2015-06-04 15:00:00-04:00
584.0,595.1162278800697,538.5612464763846,651.6712092837548,2015-06-04 16:00:00-04:00
548.0,577.5125367843882,520.9561554510673,634.0689181177091,2015-06-04 17:00:00-04:00
534.0,562.1866307118864,505.62241654119055,618.7508448825823,2015-06-04 18:00:00-04:00
526.0,555.5680340584904,499.0045939312996,612.1314741856812,2015-06-04 19:00:00-04:00
524.0,549.4525987049905,492.8986805540609,606.00651685592,2015-06-04 20:00:00-04:00
512.0,545.75223797539,489.19658492432313,602.3078910264569,2015-06-04 21:00:00-04:00
510.0,536.0593497459255,479.5106451440551,592.6080543477958,2015-06-04 22:00:00-04:00
516.0,535.1873225963913,478.6414326968892,591.7332124958933,2015-06-04 23:00:00-04:00
498.0,532.3702265052573,475.8333840600587,588.9070689504559,2015-06-05 00:00:00-04:00
500.0,531.8668697930475,475.3297367730487,588.4040028130463,2015-06-05 01:00:00-04:00
502.0,535.4678885129402,478.9314025942639,592.0043744316166,2015-06-05 02:00:00-04:00
508.0,535.9262978287807,479.38922032409795,592.4633753334634,2015-06-05 03:00:00-04:00
506.0,537.3938551646888,480.8582601179581,593.9294502114196,2015-06-05 04:00:00-04:00
504.0,540.1666040876005,483.6312186825717,596.7019894926293,2015-06-05 05:00:00-04:00
512.0,545.2998782990979,488.76462730345725,601.8351292947386,2015-06-05 06:00:00-04:00
514.0,543.5670870345707,487.0294396488259,600.1047344203155,2015-06-05 07:00:00-04:00
526.0,554.8414176901897,498.29178464932215,611.3910507310572,2015-06-05 08:00:00-04:00
548.0,574.4375882646549,517.889864183774,630.9853123455358,2015-06-05 09:00:00-04:00
