Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
20.0,20.70269676057047,7.550202608478944,33.855190912661996,2015-06-01 00:00:00-04:00
19.0,20.453160390209515,7.3008758639880025,33.605444916431026,2015-06-01 01:00:00-04:00
21.0,20.73333681623455,7.5809119524401645,33.885761680028935,2015-06-01 02:00:00-04:00
19.0,20.355771907495594,7.2033569979878855,33.508186817003306,2015-06-01 03:00:00-04:00
20.0,20.466348883854003,7.31405340354633,33.618644364161675,2015-06-01 04:00:00-04:00
22.0,21.440932675976704,8.288403182657929,34.59346216929548,2015-06-01 05:00:00-04:00
21.0,22.69314393696588,9.540575253953673,35.84571261997809,2015-06-01 06:00:00-04:00
21.0,23.49136285575714,10.338666044963201,36.64405966655107,2015-06-01 07:00:00-04:00
25.0,25.9314400853589,12.778690097064215,39.08419007365359,2015-06-01 08:00:00-04:00
38.0,28.913836091255213,15.761082836411212,42.066589346099214,2015-06-01 09:00:00-04:00
39.0,30.849749216965208,17.696649242695088,44.00284919123533,2015-06-01 10:00:00-04:00
37.0,31.33615394647635,18.182262967162913,44.49004492578979,2015-06-01 11:00:00-04:00
38.0,32.50015677621062,19.34571457334181,45.65459897907944,2015-06-01 12:00:00-04:00
40.0,34.65584678676785,21.499466637593628,47.81222693594208,2015-06-01 13:00:00-04:00
45.0,34.672529434253974,21.51910832227513,47.82595054623282,2015-06-01 14:00:00-04:00
45.0,33.547576119494394,20.39336535543034,46.70178688355845,2015-06-01 15:00:00-04:00
31.0,31.564733935268787,18.408316558012963,44.72115131252461,2015-06-01 16:00:00-04:00
25.0,29.111248510354542,15.952728230895252,42.26976878981383,2015-06-01 17:00:00-04:00
25.0,27.21210769336488,14.056840300432057,40.367375086297706,2015-06-01 18:00:00-04:00
25.0,27.61067913527932,14.457621443894912,40.76373682666373,2015-06-01 19:00:00-04:00
24.0,26.648865709025706,13.496035344626245,39.80169607342517,2015-06-01 20:00:00-04:00
25.0,25.895761109344313,12.742986621086843,39.048535597601784,2015-06-01 21:00:00-04:00
25.0,24.866930846156485,11.71413489278299,38.01972679952998,2015-06-01 22:00:00-04:00
23.0,22.812928200968408,9.660471780284672,35.96538462165214,2015-06-01 23:00:00-04:00
24.0,23.640874026758684,10.455351950906657,36.826396102610715,2015-06-02 00:00:00-04:00
23.0,23.073136100040962,9.88824753524574,36.258024664836185,2015-06-02 01:00:00-04:00
23.0,23.2069325604712,10.021947060450525,36.391918060491875,2015-06-02 02:00:00-04:00
23.0,23.05540175138234,9.870539000507176,36.2402645022575,2015-06-02 03:00:00-04:00
23.0,23.219254627092287,10.034443552961463,36.40406570122311,2015-06-02 04:00:00-04:00
25.0,24.150874367376147,10.966094526898168,37.33565420785413,2015-06-02 05:00:00-04:00
26.0,25.489554477584562,12.304776665622231,38.674332289546896,2015-06-02 06:00:00-04:00
27.0,25.75774603951787,12.57293703917906,38.94255503985668,2015-06-02 07:00:00-04:00
26.0,27.822939658612487,14.637409596564499,41.00846972066047,2015-06-02 08:00:00-04:00
40.0,29.727792997967473,16.5416277213738,42.913958274561146,2015-06-02 09:00:00-04:00
43.0,31.600645903421015,18.414445248350482,44.78684655849155,2015-06-02 10:00:00-04:00
41.0,31.874307108059313,18.68730890378149,45.06130531233714,2015-06-02 11:00:00-04:00
41.0,32.06612020851141,18.878908973618763,45.25333144340405,2015-06-02 12:00:00-04:00
43.0,32.11342068343402,18.919313509660064,45.30752785720798,2015-06-02 13:00:00-04:00
35.0,32.34589632766421,19.1555440608941,45.53624859443431,2015-06-02 14:00:00-04:00
33.0,31.113200643368927,17.923806651201858,44.302594635535996,2015-06-02 15:00:00-04:00
25.0,29.293528209717664,16.107680289309158,42.47937613012617,2015-06-02 16:00:00-04:00
24.0,26.622751916001963,13.436765019571926,39.808738812432,2015-06-02 17:00:00-04:00
24.0,26.548365233421006,13.36143676779678,39.73529369904523,2015-06-02 18:00:00-04:00
23.0,25.26920272317154,12.082940366960436,38.45546507938264,2015-06-02 19:00:00-04:00
