Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
89.0,90.28968357814776,45.75832782215477,134.82103933414075,2015-06-01 00:00:00-04:00
84.0,83.10593242345692,38.57488009312955,127.63698475378429,2015-06-01 01:00:00-04:00
88.0,79.37120288242065,34.8404997275992,123.9019060372421,2015-06-01 02:00:00-04:00
85.0,75.52594181702742,30.99566934182139,120.05621429223345,2015-06-01 03:00:00-04:00
86.0,73.78156279597867,29.251299951027924,118.31182564092941,2015-06-01 04:00:00-04:00
82.0,72.36085530541192,27.830194077650745,116.89151653317309,2015-06-01 05:00:00-04:00
80.0,70.81953180282643,26.28872720478683,115.35033640086604,2015-06-01 06:00:00-04:00
85.0,69.89281832079496,25.361180149242976,114.42445649234693,2015-06-01 07:00:00-04:00
89.0,73.70528561771266,29.173486829733008,118.23708440569231,2015-06-01 08:00:00-04:00
88.0,78.22975092004037,33.69790760697386,122.76159423310689,2015-06-01 09:00:00-04:00
93.0,82.7554095754999,38.22237156545526,127.28844758554453,2015-06-01 10:00:00-04:00
95.0,88.57867456468449,44.04294230987624,133.11440681949273,2015-06-01 11:00:00-04:00
90.0,91.46611249172784,46.92849617263361,136.00372881082208,2015-06-01 12:00:00-04:00
91.0,92.05536205570596,47.51139359449335,136.59933051691857,2015-06-01 13:00:00-04:00
98.0,95.91852145254082,51.384022293324236,140.45302061175738,2015-06-01 14:00:00-04:00
93.0,93.28508472489017,48.74778010094906,137.82238934883128,2015-06-01 15:00:00-04:00
97.0,96.00915057602047,51.464931789857204,140.55336936218373,2015-06-01 16:00:00-04:00
97.0,95.46562770962288,50.91441730852434,140.0168381107214,2015-06-01 17:00:00-04:00
89.0,94.66489967898585,50.12502892249116,139.20477043548053,2015-06-01 18:00:00-04:00
83.0,94.0720922276631,49.539688286204594,138.6044961691216,2015-06-01 19:00:00-04:00
86.0,98.37352355444452,53.841901741409465,142.90514536747958,2015-06-01 20:00:00-04:00
87.0,101.17040793494888,56.63936899048276,145.70144687941502,2015-06-01 21:00:00-04:00
85.0,99.99850589741871,55.46741498039011,144.5295968144473,2015-06-01 22:00:00-04:00
85.0,96.58345480557352,52.05310274850711,141.11380686263993,2015-06-01 23:00:00-04:00
85.0,86.52276342697985,41.880495359649444,131.16503149431026,2015-06-02 00:00:00-04:00
83.0,84.90253475870117,40.26041972681903,129.5446497905833,2015-06-02 01:00:00-04:00
85.0,83.0482933220409,38.40584462054887,127.69074202353295,2015-06-02 02:00:00-04:00
82.0,81.34204204005405,36.70000264517067,125.98408143493744,2015-06-02 03:00:00-04:00
83.0,81.06231125850843,36.42043779213707,125.70418472487978,2015-06-02 04:00:00-04:00
81.0,79.70209472365741,35.06032656433469,124.34386288298013,2015-06-02 05:00:00-04:00
80.0,76.61914115240853,31.97737804071047,121.26090426410659,2015-06-02 06:00:00-04:00
80.0,75.31884291146403,30.676981014212565,119.96070480871549,2015-06-02 07:00:00-04:00
84.0,76.8773854653237,32.233059257356516,121.52171167329088,2015-06-02 08:00:00-04:00
84.0,78.94669790624671,34.300222342167885,123.59317347032554,2015-06-02 09:00:00-04:00
87.0,81.54543232195446,36.900879733596135,126.1899849103128,2015-06-02 10:00:00-04:00
84.0,83.03769348219615,38.39043571209001,127.68495125230228,2015-06-02 11:00:00-04:00
86.0,82.87827198355366,38.230289281149446,127.52625468595787,2015-06-02 12:00:00-04:00
89.0,84.32180733647988,39.65062964531566,128.9929850276441,2015-06-02 13:00:00-04:00
90.0,83.33476470598129,38.67617903990955,127.99335037205302,2015-06-02 14:00:00-04:00
92.0,86.01328701720189,41.35799923015546,130.66857480424832,2015-06-02 15:00:00-04:00
87.0,88.35843000964809,43.71506741090884,133.00179260838735,2015-06-02 16:00:00-04:00
87.0,89.62707626864191,44.98324450010579,134.27090803717803,2015-06-02 17:00:00-04:00
87.0,87.63790040922095,42.99278306637413,132.28301775206776,2015-06-02 18:00:00-04:00
86.0,86.14287860968518,41.49998277324934,130.78577444612102,2015-06-02 19:00:00-04:00
85.0,88.3218231887189,43.6781266729854,132.9655197044524,2015-06-02 20:00:00-04:00
87.0,88.5697434372998,43.926528323340634,133.21295855125896,2015-06-02 21:00:00-04:00
88.0,87.76001356740106,43.11445862043344,132.40556851436867,2015-06-02 22:00:00-04:00
85.0,86.56365947569815,41.921524750836134,131.20579420056015,2015-06-02 23:00:00-04:00
85.0,83.48962393624019,38.84643863798334,128.13280923449705,2015-06-03 00:00:00-04:00
87.0,82.14855557514846,37.50774271550012,126.78936843479681,2015-06-03 01:00:00-04:00
85.0,80.69095909204498,36.04858420047428,125.33333398361567,2015-06-03 02:00:00-04:00
84.0,77.92113035156635,33.27858942080065,122.56367128233205,2015-06-03 03:00:00-04:00
84.0,77.3999207280904,32.75842287773393,122.04141857844687,2015-06-03 04:00:00-04:00
84.0,75.8908149536096,31.24975679232326,120.53187311489594,2015-06-03 05:00:00-04:00
83.0,72.90774663981199,28.264239483256652,117.55125379636732,2015-06-03 06:00:00-04:00
83.0,70.62745858470406,25.98203489096685,115.27288227844127,2015-06-03 07:00:00-04:00
80.0,70.74723367440689,26.09642344605019,115.39804390276359,2015-06-03 08:00:00-04:00
82.0,72.18683401348414,27.534697048073177,116.8389709788951,2015-06-03 09:00:00-04:00
82.0,73.2608664014941,28.60610808840142,117.91562471458678,2015-06-03 10:00:00-04:00
83.0,77.37329162867279,32.713402381742625,122.03318087560295,2015-06-03 11:00:00-04:00
82.0,77.79756653414992,33.13934000689129,122.45579306140856,2015-06-03 12:00:00-04:00
84.0,78.46321230233302,33.80965299132271,123.11677161334333,2015-06-03 13:00:00-04:00
85.0,78.50353106350917,33.85154041645309,123.15552171056525,2015-06-03 14:00:00-04:00
85.0,77.37335110119426,32.722923493249624,122.0237787091389,2015-06-03 15:00:00-04:00
86.0,76.87844574760791,32.22599513641773,121.53089635879809,2015-06-03 16:00:00-04:00
81.0,77.15374368988704,32.5017065315942,121.80578084817986,2015-06-03 17:00:00-04:00
82.0,77.48676146399578,32.834978111139,122.13854481685254,2015-06-03 18:00:00-04:00
81.0,78.17809442273935,33.52516764965009,122.83102119582861,2015-06-03 19:00:00-04:00
85.0,80.3389522446655,35.69270153566918,124.98520295366183,2015-06-03 20:00:00-04:00
84.0,83.60127228954815,38.9587228567867,128.2438217223096,2015-06-03 21:00:00-04:00
86.0,83.21050522127348,38.56800507150036,127.8530053710466,2015-06-03 22:00:00-04:00
85.0,82.94851961987868,38.30600767435121,127.59103156540615,2015-06-03 23:00:00-04:00
85.0,81.39176917602877,36.75214770712998,126.03139064492757,2015-06-04 00:00:00-04:00
86.0,79.14962189232567,34.51159609686481,123.78764768778653,2015-06-04 01:00:00-04:00
85.0,77.82165672193824,33.19113572236907,122.45217772150741,2015-06-04 02:00:00-04:00
83.0,76.77447895832458,32.14447776433546,121.4044801523137,2015-06-04 03:00:00-04:00
49.0,75.21970603691872,30.588888729948046,119.85052334388939,2015-06-04 04:00:00-04:00
50.0,74.59331479627843,29.963747601596864,119.22288199096,2015-06-04 05:00:00-04:00
44.0,70.86859736728118,26.23760559893381,115.49958913562855,2015-06-04 06:00:00-04:00
46.0,68.8815818356543,24.24887572239181,113.5142879489168,2015-06-04 07:00:00-04:00
73.0,70.4178496409865,25.780353221485065,115.05534606048795,2015-06-04 08:00:00-04:00
45.0,72.43927841740242,27.800884449721103,117.07767238508373,2015-06-04 09:00:00-04:00
45.0,75.5952410982042,30.95541631010049,120.23506588630791,2015-06-04 10:00:00-04:00
63.0,77.89441859979557,33.250550627002326,122.53828657258882,2015-06-04 11:00:00-04:00
52.0,78.8477424897212,34.20278846420821,123.49269651523419,2015-06-04 12:00:00-04:00
47.0,78.64506950773813,34.00050852222482,123.28963049325144,2015-06-04 13:00:00-04:00
69.0,80.57591195382918,35.932263830410584,125.21956007724776,2015-06-04 14:00:00-04:00
44.0,80.51735272297094,35.87738437998352,125.15732106595837,2015-06-04 15:00:00-04:00
55.0,78.67516175859507,34.03532125207665,123.31500226511349,2015-06-04 16:00:00-04:00
64.0,79.40733780403079,34.76638996125385,124.04828564680773,2015-06-04 17:00:00-04:00
43.0,80.60201970109985,35.95489268051299,125.24914672168671,2015-06-04 18:00:00-04:00
45.0,79.13976514077306,34.49324535707949,123.78628492446664,2015-06-04 19:00:00-04:00
45.0,80.48757720253822,35.85034211837646,125.12481228669998,2015-06-04 20:00:00-04:00
49.0,83.59883218344653,38.9620622221057,128.23560214478738,2015-06-04 21:00:00-04:00
48.0,83.48200155811504,38.84882373847659,128.1151793777535,2015-06-04 22:00:00-04:00
48.0,82.36585276287713,37.731422306481186,127.00028321927306,2015-06-04 23:00:00-04:00
49.0,81.53042304729388,36.90326172893639,126.15758436565136,2015-06-05 00:00:00-04:00
48.0,79.11244168837104,34.48505701801659,123.73982635872548,2015-06-05 01:00:00-04:00
50.0,78.41133767799154,33.78609454026083,123.03658081572226,2015-06-05 02:00:00-04:00
48.0,76.15031151637695,31.52459917670886,120.77602385604503,2015-06-05 03:00:00-04:00
49.0,75.4290021475467,30.804458734297306,120.0535455607961,2015-06-05 04:00:00-04:00
48.0,74.83933642073872,30.214956658817812,119.46371618265962,2015-06-05 05:00:00-04:00
46.0,72.95590688576732,28.329984148773136,117.5818296227615,2015-06-05 06:00:00-04:00
47.0,70.73800070869697,26.10851313575194,115.36748828164201,2015-06-05 07:00:00-04:00
47.0,72.29894536790465,27.6597122206649,116.9381785151444,2015-06-05 08:00:00-04:00
47.0,73.78978341902427,29.157411397303576,118.42215544074497,2015-06-05 09:00:00-04:00
48.0,75.67370219169308,31.04490011294702,120.30250427043914,2015-06-05 10:00:00-04:00
48.0,76.24328584035605,31.611323933713955,120.87524774699816,2015-06-05 11:00:00-04:00
47.0,79.66202814755735,35.031684208444894,124.29237208666981,2015-06-05 12:00:00-04:00
51.0,82.68170433055144,38.034973223054806,127.32843543804807,2015-06-05 13:00:00-04:00
52.0,82.17743683705078,37.53446450615691,126.82040916794465,2015-06-05 14:00:00-04:00
51.0,84.26884219509978,39.62336031941596,128.9143240707836,2015-06-05 15:00:00-04:00
50.0,86.15795774457864,41.52458808106965,130.79132740808762,2015-06-05 16:00:00-04:00
51.0,87.32824661131184,42.69589808100819,131.9605951416155,2015-06-05 17:00:00-04:00
50.0,88.90064780347626,44.26407308108169,133.53722252587085,2015-06-05 18:00:00-04:00
52.0,88.75730410137176,44.126681027579295,133.38792717516424,2015-06-05 19:00:00-04:00
51.0,90.57225380936708,45.94729652805381,135.19721109068036,2015-06-05 20:00:00-04:00
55.0,91.24841896800288,46.62263488785685,135.8742030481489,2015-06-05 21:00:00-04:00
54.0,90.44685460278127,45.82042500950171,135.07328419606083,2015-06-05 22:00:00-04:00
55.0,86.57836142810598,41.94801121925845,131.20871163695352,2015-06-05 23:00:00-04:00
56.0,84.3722936716838,39.74454634836193,129.0000409950057,2015-06-06 00:00:00-04:00
54.0,82.91884942517731,38.29076190060425,127.54693694975037,2015-06-06 01:00:00-04:00
56.0,81.90590862038488,37.278153942162895,126.53366329860685,2015-06-06 02:00:00-04:00
56.0,80.79234385862944,36.16711441062231,125.41757330663657,2015-06-06 03:00:00-04:00
55.0,80.1939784600412,35.568130795403675,124.81982612467871,2015-06-06 04:00:00-04:00
54.0,78.74272787841517,34.11522368873858,123.37023206809175,2015-06-06 05:00:00-04:00
51.0,75.09597685156865,30.46818219660478,119.72377150653253,2015-06-06 06:00:00-04:00
52.0,72.1822761266532,27.553019799459676,116.81153245384674,2015-06-06 07:00:00-04:00
51.0,74.43823383163662,29.80375915894615,119.0727085043271,2015-06-06 08:00:00-04:00
52.0,78.87896294847046,34.246925443293634,123.51100045364728,2015-06-06 09:00:00-04:00
51.0,82.32239736142743,37.69433278205679,126.95046194079808,2015-06-06 10:00:00-04:00
53.0,84.79627581977269,40.16684647399267,129.4257051655527,2015-06-06 11:00:00-04:00
53.0,86.3485324371745,41.717796522214456,130.97926835213454,2015-06-06 12:00:00-04:00
54.0,87.52713831410816,42.89523051624525,132.15904611197107,2015-06-06 13:00:00-04:00
55.0,89.4206842128095,44.79176422548302,134.049604200136,2015-06-06 14:00:00-04:00
55.0,89.55527488407662,44.91101900180497,134.1995307663483,2015-06-06 15:00:00-04:00
58.0,92.87326123568229,48.231916371859505,137.51460609950507,2015-06-06 16:00:00-04:00
58.0,91.98153560326215,47.34583450077655,136.61723670574776,2015-06-06 17:00:00-04:00
58.0,92.24654382133605,47.60859880167171,136.88448884100038,2015-06-06 18:00:00-04:00
59.0,91.54277923984463,46.9107237232588,136.17483475643047,2015-06-06 19:00:00-04:00
60.0,91.31156596058224,46.68437642943889,135.9387554917256,2015-06-06 20:00:00-04:00
62.0,91.68013840913082,47.055389648354804,136.30488716990683,2015-06-06 21:00:00-04:00
62.0,90.57300499732618,45.94859263074343,135.19741736390893,2015-06-06 22:00:00-04:00
63.0,88.91229325871322,44.28779211255332,133.53679440487312,2015-06-06 23:00:00-04:00
63.0,85.92041830876781,41.30215246124073,130.5386841562949,2015-06-07 00:00:00-04:00
63.0,84.01890620969476,39.40202483337771,128.63578758601182,2015-06-07 01:00:00-04:00
64.0,82.12659335752657,37.503230748780034,126.74995596627312,2015-06-07 02:00:00-04:00
63.0,80.29112181997654,35.67378701887794,124.90845662107515,2015-06-07 03:00:00-04:00
62.0,77.32638058953694,32.70841880891663,121.94434237015724,2015-06-07 04:00:00-04:00
63.0,76.67995493913338,32.06128956722736,121.2986203110394,2015-06-07 05:00:00-04:00
59.0,73.92433239430494,29.306316944826392,118.54234784378349,2015-06-07 06:00:00-04:00
59.0,72.26517464625661,27.641772713959938,116.88857657855328,2015-06-07 07:00:00-04:00
59.0,71.72702750857951,27.096145309944212,116.35790970721482,2015-06-07 08:00:00-04:00
58.0,74.43867537679404,29.814932440537483,119.06241831305059,2015-06-07 09:00:00-04:00
59.0,77.25915044782622,32.63241084227242,121.88589005338001,2015-06-07 10:00:00-04:00
59.0,76.76593493295996,32.12637306843627,121.40549679748366,2015-06-07 11:00:00-04:00
59.0,82.06284266691439,37.420410983107416,126.70527435072137,2015-06-07 12:00:00-04:00
59.0,81.73529940954961,37.09548848811371,126.3751103309855,2015-06-07 13:00:00-04:00
58.0,85.93756134502024,41.30616860929422,130.56895408074627,2015-06-07 14:00:00-04:00
59.0,86.932479713324,42.31313886726899,131.551820559379,2015-06-07 15:00:00-04:00
59.0,88.42215266589035,43.79873375460541,133.04557157717528,2015-06-07 16:00:00-04:00
60.0,89.76309486171073,45.13752703220752,134.38866269121394,2015-06-07 17:00:00-04:00
60.0,90.74544634494941,46.11962869638116,135.37126399351766,2015-06-07 18:00:00-04:00
61.0,91.41347478027446,46.79187861197811,136.0350709485708,2015-06-07 19:00:00-04:00
61.0,92.39321871224838,47.775063393266855,137.0113740312299,2015-06-07 20:00:00-04:00
65.0,92.74863577281727,48.129204637345076,137.36806690828945,2015-06-07 21:00:00-04:00
64.0,91.19804662057274,46.579645164713284,135.8164480764322,2015-06-07 22:00:00-04:00
64.0,89.37004842653971,44.750497917413526,133.9895989356659,2015-06-07 23:00:00-04:00
64.0,88.08374428862393,43.55069818897599,132.61679038827188,2015-06-08 00:00:00-04:00
64.0,82.07545751846163,37.54117185761322,126.60974317931004,2015-06-08 01:00:00-04:00
64.0,78.91929673899205,34.3879493565822,123.4506441214019,2015-06-08 02:00:00-04:00
64.0,75.13595229656076,30.605033712276146,119.66687088084538,2015-06-08 03:00:00-04:00
64.0,73.05047610453965,28.51846380356546,117.58248840551386,2015-06-08 04:00:00-04:00
62.0,72.9376137660737,28.406793966161082,117.46843356598632,2015-06-08 05:00:00-04:00
60.0,71.14261824614053,26.611576019766687,115.67366047251437,2015-06-08 06:00:00-04:00
61.0,68.8003209956185,24.26566369584455,113.33497829539246,2015-06-08 07:00:00-04:00
62.0,72.28104556603405,27.743238470331363,116.81885266173674,2015-06-08 08:00:00-04:00
112.0,78.64784067289906,34.1097882623982,123.18589308339993,2015-06-08 09:00:00-04:00
136.0,82.8968575240902,38.36101652033493,127.43269852784546,2015-06-08 10:00:00-04:00
131.0,88.15309487510528,43.61774763523195,132.6884421149786,2015-06-08 11:00:00-04:00
124.0,90.25369826443341,45.71352193205677,134.79387459681004,2015-06-08 12:00:00-04:00
124.0,92.19689586166507,47.65764788105423,136.7361438422759,2015-06-08 13:00:00-04:00
122.0,93.96483279254178,49.42914016884279,138.50052541624078,2015-06-08 14:00:00-04:00
117.0,96.70652842503436,52.163950711146455,141.2491061389223,2015-06-08 15:00:00-04:00
117.0,97.3029544334486,52.768428501898796,141.8374803649984,2015-06-08 16:00:00-04:00
116.0,102.07319338252555,57.54191826701354,146.60446849803753,2015-06-08 17:00:00-04:00
114.0,103.03106705837757,58.494674345958465,147.5674597707967,2015-06-08 18:00:00-04:00
104.0,103.63964188952882,59.10465780223278,148.17462597682487,2015-06-08 19:00:00-04:00
106.0,105.94741213145949,61.414464044194865,150.48036021872412,2015-06-08 20:00:00-04:00
107.0,108.19387599719292,63.662670980978575,152.72508101340725,2015-06-08 21:00:00-04:00
101.0,107.28415680523413,62.75412186454221,151.81419174592605,2015-06-08 22:00:00-04:00
103.0,101.10346025282949,56.57326996869575,145.63365053696324,2015-06-08 23:00:00-04:00
98.0,90.90418194570778,46.26205201562531,135.54631187579025,2015-06-09 00:00:00-04:00
97.0,86.57213601881026,41.93010378982191,131.2141682477986,2015-06-09 01:00:00-04:00
94.0,84.63579068054707,39.99497617238459,129.27660518870957,2015-06-09 02:00:00-04:00
93.0,82.04899841006267,37.404147363902,126.69384945622333,2015-06-09 03:00:00-04:00
96.0,81.87458677968797,37.23350701980589,126.51566653957005,2015-06-09 04:00:00-04:00
89.0,80.48870831861973,35.84782089672313,125.12959574051632,2015-06-09 05:00:00-04:00
86.0,77.81989553352105,33.17882192401517,122.46096914302693,2015-06-09 06:00:00-04:00
94.0,76.37731195613068,31.73584561723107,121.0187782950303,2015-06-09 07:00:00-04:00
94.0,78.7906344006212,34.13774808128003,123.44352071996238,2015-06-09 08:00:00-04:00
92.0,78.26950756901098,33.61462423920864,122.92439089881333,2015-06-09 09:00:00-04:00
99.0,84.25471598588979,39.60501955388888,128.90441241789068,2015-06-09 10:00:00-04:00
101.0,85.32790762067627,40.68166046887228,129.97415477248026,2015-06-09 11:00:00-04:00
99.0,87.79695463164859,43.1453189923352,132.44859027096197,2015-06-09 12:00:00-04:00
101.0,87.89986074705509,43.24747149679533,132.55224999731485,2015-06-09 13:00:00-04:00
100.0,91.39836247068415,46.75065486885764,136.04607007251064,2015-06-09 14:00:00-04:00
102.0,93.72786530778401,49.08063057972424,138.3751000358438,2015-06-09 15:00:00-04:00
104.0,96.00902474288351,51.36519805666797,140.65285142909906,2015-06-09 16:00:00-04:00
100.0,96.5814216807039,51.93916972797572,141.22367363343207,2015-06-09 17:00:00-04:00
97.0,94.98991588679064,50.34882646095802,139.63100531262324,2015-06-09 18:00:00-04:00
94.0,95.42830084327022,50.78664098508312,140.06996070145732,2015-06-09 19:00:00-04:00
94.0,96.55683235181775,51.912930137298694,141.2007345663368,2015-06-09 20:00:00-04:00
95.0,95.47668391410994,50.83445396636462,140.11891386185528,2015-06-09 21:00:00-04:00
92.0,94.02950492953022,49.390235900209206,138.66877395885123,2015-06-09 22:00:00-04:00
92.0,92.51240819727056,47.87307640675612,137.151739987785,2015-06-09 23:00:00-04:00
92.0,87.70973942374108,43.06881172548836,132.3506671219938,2015-06-10 00:00:00-04:00
92.0,87.08235460339849,42.44296097246678,131.7217482343302,2015-06-10 01:00:00-04:00
