Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
1.0,0.8959485577851409,-5.31526951239764,7.107166627967921,2015-06-01 00:00:00-04:00
1.0,0.8867662487284029,-5.324353289780275,7.097885787237081,2015-06-01 01:00:00-04:00
2.0,0.9866364643493073,-5.224494530436088,7.1977674591347025,2015-06-01 02:00:00-04:00
1.0,0.8409201167186584,-5.370206029808677,7.052046263245994,2015-06-01 03:00:00-04:00
1.0,0.9566390540536749,-5.254485936808624,7.167764044915973,2015-06-01 04:00:00-04:00
2.0,0.9649536892061192,-5.246227257568047,7.176134635980286,2015-06-01 05:00:00-04:00
0.0,0.8058839159424229,-5.405316167472544,7.01708399935739,2015-06-01 06:00:00-04:00
1.0,0.6438743793265838,-5.567439667047954,6.8551884257011215,2015-06-01 07:00:00-04:00
0.0,0.49793009736210037,-5.713408569152103,6.709268763876304,2015-06-01 08:00:00-04:00
1.0,0.5212715933690144,-5.690069233173345,6.732612419911375,2015-06-01 09:00:00-04:00
1.0,0.5766412603684099,-5.634862552843474,6.788145073580294,2015-06-01 10:00:00-04:00
0.0,0.5041647084209337,-5.707709517405028,6.716038934246895,2015-06-01 11:00:00-04:00
1.0,0.6325538042189973,-5.579580680826677,6.844688289264672,2015-06-01 12:00:00-04:00
0.0,0.6708793388783212,-5.542157083759896,6.883915761516539,2015-06-01 13:00:00-04:00
1.0,0.6141324464358231,-5.597519426426549,6.8257843192981955,2015-06-01 14:00:00-04:00
0.0,0.5347802862377637,-5.677241185954597,6.7468017584301245,2015-06-01 15:00:00-04:00
1.0,0.5447321389518827,-5.66832944604334,6.757793723947105,2015-06-01 16:00:00-04:00
1.0,0.7576018159491005,-5.456388009846043,6.971591641744244,2015-06-01 17:00:00-04:00
0.0,0.8328226971077202,-5.379581342811396,7.045226737026836,2015-06-01 18:00:00-04:00
1.0,0.6921297374717494,-5.519241895945541,6.903501370889041,2015-06-01 19:00:00-04:00
1.0,0.8976507949910175,-5.313666628905466,7.108968218887501,2015-06-01 20:00:00-04:00
1.0,1.0199285953428778,-5.19130773274042,7.231164923426174,2015-06-01 21:00:00-04:00
1.0,0.9201334707229183,-5.291108492153281,7.131375433599118,2015-06-01 22:00:00-04:00
2.0,1.0199690356770263,-5.191170509771543,7.2311085811255955,2015-06-01 23:00:00-04:00
1.0,1.0484377899050727,-5.178099505823922,7.274975085634067,2015-06-02 00:00:00-04:00
1.0,1.0934035445373849,-5.133114344488876,7.319921433563646,2015-06-02 01:00:00-04:00
