Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
58.0,55.664961943198314,38.45044651650896,72.87947736988767,2015-06-01 00:00:00-04:00
58.0,52.20258322145747,34.988341148293046,69.4168252946219,2015-06-01 01:00:00-04:00
58.0,49.759273336708134,32.54499971277269,66.97354696064357,2015-06-01 02:00:00-04:00
56.0,47.37970317740995,30.165442329385275,64.59396402543463,2015-06-01 03:00:00-04:00
57.0,46.59770385000655,29.383446039522223,63.81196166049088,2015-06-01 04:00:00-04:00
58.0,45.77379646714806,28.559383630296136,62.98820930399998,2015-06-01 05:00:00-04:00
57.0,45.86591427273578,28.651299199190063,63.080529346281494,2015-06-01 06:00:00-04:00
57.0,46.59858649159819,29.383476799077563,63.81369618411882,2015-06-01 07:00:00-04:00
56.0,48.162465499769695,30.947434906202226,65.37749609333716,2015-06-01 08:00:00-04:00
58.0,49.09373341519692,31.878873358857838,66.308593471536,2015-06-01 09:00:00-04:00
57.0,50.816220206229715,33.60076306580959,68.03167734664984,2015-06-01 10:00:00-04:00
57.0,53.85600043009977,36.6395170203733,71.07248383982625,2015-06-01 11:00:00-04:00
58.0,55.11630886340012,37.89923619768001,72.33338152912023,2015-06-01 12:00:00-04:00
57.0,54.25451096167896,37.034941028081434,71.47408089527649,2015-06-01 13:00:00-04:00
58.0,57.009971104109695,39.79425021992883,74.22569198829056,2015-06-01 14:00:00-04:00
59.0,56.79481235547014,39.578058151893174,74.01156655904711,2015-06-01 15:00:00-04:00
56.0,58.732876957722496,41.51322694085492,75.95252697459007,2015-06-01 16:00:00-04:00
58.0,56.79970240861509,39.577333791245046,74.02207102598513,2015-06-01 17:00:00-04:00
57.0,58.81375529353522,41.59576908655577,76.03174150051467,2015-06-01 18:00:00-04:00
59.0,59.405086407215904,42.18999140274385,76.62018141168795,2015-06-01 19:00:00-04:00
60.0,62.10655360103182,44.89175947061496,79.32134773144868,2015-06-01 20:00:00-04:00
58.0,63.287817864799024,46.072949879933184,80.50268584966486,2015-06-01 21:00:00-04:00
60.0,61.98924133781129,44.774355046311044,79.20412762931154,2015-06-01 22:00:00-04:00
59.0,59.478182840622615,42.26388357582282,76.69248210542241,2015-06-01 23:00:00-04:00
59.0,54.14280928549263,36.88583566704312,71.39978290394214,2015-06-02 00:00:00-04:00
59.0,53.927713613967924,36.670791629038106,71.18463559889774,2015-06-02 01:00:00-04:00
60.0,53.85452696699409,36.597476156589835,71.11157777739834,2015-06-02 02:00:00-04:00
57.0,52.56000434866389,35.303117155316535,69.81689154201123,2015-06-02 03:00:00-04:00
59.0,52.17900076794831,34.922180996046265,69.43582053985035,2015-06-02 04:00:00-04:00
58.0,51.93644229228274,34.67966328369899,69.1932213008665,2015-06-02 05:00:00-04:00
59.0,51.75611025591182,34.499334279191515,69.01288623263213,2015-06-02 06:00:00-04:00
59.0,52.025420380641854,34.7686023820216,69.28223837926211,2015-06-02 07:00:00-04:00
59.0,52.69563015222674,35.43786817928459,69.95339212516889,2015-06-02 08:00:00-04:00
61.0,52.879763148961956,35.62038047838172,70.1391458195422,2015-06-02 09:00:00-04:00
61.0,52.96676029702303,35.70733081773976,70.2261897763063,2015-06-02 10:00:00-04:00
61.0,53.432240839735215,36.17099656399332,70.6934851154771,2015-06-02 11:00:00-04:00
61.0,53.250406666898,35.98890577563438,70.51190755816162,2015-06-02 12:00:00-04:00
61.0,54.20980595416469,36.94010805088659,71.4795038574428,2015-06-02 13:00:00-04:00
59.0,52.585242031589196,35.32118161250885,69.84930245066954,2015-06-02 14:00:00-04:00
59.0,53.34684853842779,36.08405809577525,70.60963898108034,2015-06-02 15:00:00-04:00
58.0,54.26834511180276,37.010169709259756,71.52652051434576,2015-06-02 16:00:00-04:00
58.0,54.54145297145578,37.2830948614585,71.79981108145307,2015-06-02 17:00:00-04:00
58.0,53.73007631871545,36.47047535255906,70.98967728487183,2015-06-02 18:00:00-04:00
58.0,54.555796847041236,37.29707289246707,71.8145208016154,2015-06-02 19:00:00-04:00
61.0,56.15500327360779,38.89743280782085,73.41257373939473,2015-06-02 20:00:00-04:00
60.0,55.849765199913975,38.592369435137044,73.1071609646909,2015-06-02 21:00:00-04:00
62.0,55.472669921446425,38.21365060359514,72.73168923929771,2015-06-02 22:00:00-04:00
64.0,55.17819484077711,37.92049707190308,72.43589260965115,2015-06-02 23:00:00-04:00
60.0,54.14687430124674,36.88876987820326,71.40497872429022,2015-06-03 00:00:00-04:00
59.0,53.15526595015244,35.89807910351779,70.4124527967871,2015-06-03 01:00:00-04:00
60.0,52.87050502474878,35.61271481104401,70.12829523845355,2015-06-03 02:00:00-04:00
60.0,51.91607861649966,34.65893258919151,69.17322464380781,2015-06-03 03:00:00-04:00
60.0,51.81333171918793,34.55659847377852,69.07006496459734,2015-06-03 04:00:00-04:00
57.0,51.283319632848716,34.02603907173034,68.5406001939671,2015-06-03 05:00:00-04:00
58.0,51.59923344410514,34.34098598047333,68.85748090773694,2015-06-03 06:00:00-04:00
57.0,51.49876140294819,34.23977762439718,68.7577451814992,2015-06-03 07:00:00-04:00
61.0,51.999690442891875,34.73785647707325,69.2615244087105,2015-06-03 08:00:00-04:00
59.0,52.894766636194376,35.6324150044715,70.15711826791726,2015-06-03 09:00:00-04:00
61.0,53.506340126578536,36.242985474249295,70.76969477890778,2015-06-03 10:00:00-04:00
60.0,54.76754656451242,37.503007631455006,72.03208549756984,2015-06-03 11:00:00-04:00
57.0,54.53635493339293,37.27245084784863,71.80025901893723,2015-06-03 12:00:00-04:00
58.0,55.20966622621235,37.94678411719747,72.47254833522723,2015-06-03 13:00:00-04:00
58.0,55.04487651822609,37.78261775419666,72.30713528225553,2015-06-03 14:00:00-04:00
59.0,55.056617293649,37.794940661847704,72.31829392545029,2015-06-03 15:00:00-04:00
57.0,54.39412050636173,37.132420647190834,71.65582036553263,2015-06-03 16:00:00-04:00
59.0,54.199354862300645,36.93855788332358,71.4601518412777,2015-06-03 17:00:00-04:00
57.0,55.00959202162883,37.74815994149103,72.27102410176664,2015-06-03 18:00:00-04:00
58.0,54.688019972812896,37.42536894343644,71.95067100218935,2015-06-03 19:00:00-04:00
59.0,55.23737007956,37.97734084637995,72.49739931274004,2015-06-03 20:00:00-04:00
57.0,55.728587268399245,38.469998510985086,72.9871760258134,2015-06-03 21:00:00-04:00
60.0,55.54329083364349,38.2847219133195,72.80185975396748,2015-06-03 22:00:00-04:00
58.0,55.161712621637164,37.903128275017025,72.4202969682573,2015-06-03 23:00:00-04:00
58.0,54.9244965489183,37.66848897496115,72.18050412287545,2015-06-04 00:00:00-04:00
58.0,53.46288298827781,36.206799019400705,70.71896695715492,2015-06-04 01:00:00-04:00
59.0,53.100545099729544,35.84601111247156,70.35507908698753,2015-06-04 02:00:00-04:00
58.0,52.464465812016726,35.21079908433145,69.718132539702,2015-06-04 03:00:00-04:00
57.0,51.64362269732999,34.38963718892425,68.89760820573574,2015-06-04 04:00:00-04:00
58.0,51.66247800997867,34.40897805526936,68.91597796468798,2015-06-04 05:00:00-04:00
58.0,51.42397435619097,34.169239165795375,68.67870954658656,2015-06-04 06:00:00-04:00
58.0,52.02314524254518,34.76837201948773,69.27791846560264,2015-06-04 07:00:00-04:00
57.0,52.2289928819382,34.97302660534918,69.4849591585272,2015-06-04 08:00:00-04:00
57.0,52.82129048532443,35.5650125854432,70.07756838520567,2015-06-04 09:00:00-04:00
59.0,54.180099702497984,36.92255900062324,71.43764040437273,2015-06-04 10:00:00-04:00
57.0,54.403554581855516,37.14369100370898,71.66341816000205,2015-06-04 11:00:00-04:00
59.0,54.84089909796252,37.580605111232465,72.10119308469257,2015-06-04 12:00:00-04:00
58.0,55.60412640174148,38.34621093734375,72.86204186613921,2015-06-04 13:00:00-04:00
60.0,55.72147177994034,38.46317066081636,72.97977289906432,2015-06-04 14:00:00-04:00
58.0,55.3605626497486,38.10156108546575,72.61956421403146,2015-06-04 15:00:00-04:00
59.0,54.45014489462671,37.19192213152639,71.70836765772702,2015-06-04 16:00:00-04:00
59.0,54.403358000751695,37.14611594637076,71.66060005513262,2015-06-04 17:00:00-04:00
59.0,55.21738626367366,37.95775269580518,72.47701983154214,2015-06-04 18:00:00-04:00
59.0,54.93227952852597,37.67288112926346,72.19167792778848,2015-06-04 19:00:00-04:00
59.0,55.313049068266096,38.057241298663556,72.56885683786864,2015-06-04 20:00:00-04:00
61.0,55.9396713523244,38.68404242614835,73.19530027850045,2015-06-04 21:00:00-04:00
60.0,55.49989412020493,38.245654690805694,72.75413354960416,2015-06-04 22:00:00-04:00
60.0,55.02430309464758,37.76958731329667,72.27901887599849,2015-06-04 23:00:00-04:00
59.0,54.216890811528586,36.964983108836876,71.4687985142203,2015-06-05 00:00:00-04:00
60.0,53.895253997224884,36.64388564990119,71.14662234454858,2015-06-05 01:00:00-04:00
59.0,53.629567891042115,36.3783967342782,70.88073904780603,2015-06-05 02:00:00-04:00
59.0,51.691428038021705,34.43946256792688,68.94339350811653,2015-06-05 03:00:00-04:00
59.0,51.45005825308125,34.19790818680681,68.70220831935569,2015-06-05 04:00:00-04:00
59.0,51.01166572210968,33.760199583284894,68.26313186093446,2015-06-05 05:00:00-04:00
58.0,51.22628456801588,33.974851790727094,68.47771734530465,2015-06-05 06:00:00-04:00
59.0,51.149769608911164,33.897596676922035,68.4019425409003,2015-06-05 07:00:00-04:00
58.0,51.83030011126062,34.57511790098393,69.08548232153731,2015-06-05 08:00:00-04:00
60.0,51.98812952660536,34.73420273158888,69.24205632162185,2015-06-05 09:00:00-04:00
59.0,52.57978262122862,35.32723575412825,69.83232948832898,2015-06-05 10:00:00-04:00
59.0,52.988401743158285,35.73463520659523,70.24216827972134,2015-06-05 11:00:00-04:00
59.0,53.959287399501406,36.7061493754555,71.2124254235473,2015-06-05 12:00:00-04:00
58.0,54.51831859004902,37.25953889757527,71.77709828252277,2015-06-05 13:00:00-04:00
59.0,53.631027759710705,36.372390531884,70.8896649875374,2015-06-05 14:00:00-04:00
58.0,53.91211752859414,36.65097274718653,71.17326231000175,2015-06-05 15:00:00-04:00
59.0,54.12320806667776,36.86820728133183,71.3782088520237,2015-06-05 16:00:00-04:00
60.0,53.295358106875426,36.04075733393118,70.54995887981967,2015-06-05 17:00:00-04:00
59.0,53.857857696583224,36.602341541538756,71.1133738516277,2015-06-05 18:00:00-04:00
59.0,53.56814248950742,36.31559329149603,70.82069168751882,2015-06-05 19:00:00-04:00
59.0,55.1688464100085,37.918447780585005,72.41924503943198,2015-06-05 20:00:00-04:00
61.0,55.2063478750279,37.95564137120164,72.45705437885417,2015-06-05 21:00:00-04:00
61.0,55.20641726899401,37.95545693588224,72.45737760210578,2015-06-05 22:00:00-04:00
61.0,55.565163314130224,38.312705035181814,72.81762159307863,2015-06-05 23:00:00-04:00
61.0,54.75747891123482,37.50601294649577,72.00894487597387,2015-06-06 00:00:00-04:00
62.0,54.005729799315986,36.75476804929954,71.25669154933243,2015-06-06 01:00:00-04:00
